Proofreaders	NOUN	proofreader
PRINCE	PROPN	PRINCE
ZALESKI	PROPN	ZALESKI
M[atthew	X	m[atthew
]	X	]
P[hipps	X	p[hipps
]	X	]
Shiel	X	shiel
_	X	_
Come	VERB	come
now	ADV	now
,	PUNCT	,
and	CCONJ	and
let	VERB	let
us	PRON	we
reason	VERB	reason
together	ADV	together
.	PUNCT	.
_	PUNCT	_
ISAIAH	PROPN	ISAIAH
_	PUNCT	_
Of	ADP	of
the	DET	the
strange	ADJ	strange
things	NOUN	thing
that	PRON	that
befell	VERB	befall
the	DET	the
valiant	ADJ	valiant
Knight	PROPN	Knight
in	ADP	in
the	DET	the
Sable	PROPN	Sable
Mountain	PROPN	Mountain
;	PUNCT	;
and	CCONJ	and
how	SCONJ	how
he	PRON	he
imitated	VERB	imitate
the	DET	the
penance	NOUN	penance
of	ADP	of
Beltenebros	PROPN	Beltenebros
.	PUNCT	.
_	PUNCT	_
CERVANTES	PROPN	CERVANTES
[	X	[
Greek	PROPN	Greek
:	PUNCT	:
All'est'ekeino	X	all'est'ekeino
panta	X	panta
lekta	X	lekta
,	PUNCT	,
panta	X	panta
de	X	de
tolmaeta	X	tolmaeta
;	PUNCT	;
]	X	]
SOPHOCLES	PROPN	SOPHOCLES
1895	PROPN	1895
TO	PROPN	TO
MY	PROPN	MY
DEAR	PROPN	DEAR
MOTHER	PROPN	MOTHER
CONTENTS	NOUN	content
The	DET	the
Race	NOUN	race
of	ADP	of
Orven	PROPN	Orven
The	DET	the
Stone	NOUN	stone
of	ADP	of
the	DET	the
Edmundsbury	PROPN	Edmundsbury
Monks	PROPN	Monks
The	DET	the
S.S.	PROPN	S.S.
THE	DET	the
RACE	NOUN	race
OF	ADP	of
ORVEN	PROPN	ORVEN
Never	ADV	never
without	ADP	without
grief	NOUN	grief
and	CCONJ	and
pain	NOUN	pain
could	AUX	could
I	PRON	I
remember	VERB	remember
the	DET	the
fate	NOUN	fate
of	ADP	of
Prince	PROPN	Prince
Zaleski	PROPN	Zaleski
--	PUNCT	--
victim	NOUN	victim
of	ADP	of
a	DET	a
too	ADV	too
importunate	ADJ	importunate
,	PUNCT	,
too	ADV	too
unfortunate	ADJ	unfortunate
Love	NOUN	love
,	PUNCT	,
which	DET	which
the	DET	the
fulgor	NOUN	fulgor
of	ADP	of
the	DET	the
throne	NOUN	throne
itself	PRON	itself
could	AUX	could
not	PART	not
abash	VERB	abash
;	PUNCT	;
exile	NOUN	exile
perforce	ADV	perforce
from	ADP	from
his	PRON	his
native	ADJ	native
land	NOUN	land
,	PUNCT	,
and	CCONJ	and
voluntary	ADJ	voluntary
exile	NOUN	exile
from	ADP	from
the	DET	the
rest	NOUN	rest
of	ADP	of
men	NOUN	man
!	PUNCT	!
Having	VERB	have
renounced	VERB	renounce
the	DET	the
world	NOUN	world
,	PUNCT	,
over	ADP	over
which	DET	which
,	PUNCT	,
lurid	ADJ	lurid
and	CCONJ	and
inscrutable	ADJ	inscrutable
as	ADP	as
a	DET	a
falling	VERB	fall
star	NOUN	star
,	PUNCT	,
he	PRON	he
had	AUX	have
passed	VERB	pass
,	PUNCT	,
the	DET	the
world	NOUN	world
quickly	ADV	quickly
ceased	VERB	cease
to	PART	to
wonder	VERB	wonder
at	ADP	at
him	PRON	he
;	PUNCT	;
and	CCONJ	and
even	ADV	even
I	PRON	I
,	PUNCT	,
to	ADP	to
whom	PRON	whom
,	PUNCT	,
more	ADV	more
than	ADP	than
to	ADP	to
another	DET	another
,	PUNCT	,
the	DET	the
workings	NOUN	working
of	ADP	of
that	DET	that
just	ADV	just
and	CCONJ	and
passionate	ADJ	passionate
mind	NOUN	mind
had	AUX	have
been	AUX	be
revealed	VERB	reveal
,	PUNCT	,
half	ADV	half
forgot	VERB	forget
him	PRON	he
in	ADP	in
the	DET	the
rush	NOUN	rush
of	ADP	of
things	NOUN	thing
.	PUNCT	.
But	CCONJ	but
during	ADP	during
the	DET	the
time	NOUN	time
that	PRON	that
what	PRON	what
was	AUX	be
called	VERB	call
the	DET	the
'	PUNCT	'
Pharanx	PROPN	Pharanx
labyrinth	NOUN	labyrinth
'	PUNCT	'
was	AUX	be
exercising	VERB	exercise
many	ADJ	many
of	ADP	of
the	DET	the
heaviest	ADJ	heavy
brains	NOUN	brain
in	ADP	in
the	DET	the
land	NOUN	land
,	PUNCT	,
my	PRON	my
thought	NOUN	thought
turned	VERB	turn
repeatedly	ADV	repeatedly
to	ADP	to
him	PRON	he
;	PUNCT	;
and	CCONJ	and
even	ADV	even
when	SCONJ	when
the	DET	the
affair	NOUN	affair
had	AUX	have
passed	VERB	pass
from	ADP	from
the	DET	the
general	NOUN	general
attention	NOUN	attention
,	PUNCT	,
a	DET	a
bright	ADJ	bright
day	NOUN	day
in	ADP	in
Spring	PROPN	Spring
,	PUNCT	,
combined	VERB	combine
perhaps	ADV	perhaps
with	ADP	with
a	DET	a
latent	NOUN	latent
mistrust	NOUN	mistrust
of	ADP	of
the	DET	the
_	X	_
dénoûment	NOUN	dénoûment
_	PUNCT	_
of	ADP	of
that	DET	that
dark	ADJ	dark
plot	NOUN	plot
,	PUNCT	,
drew	VERB	draw
me	PRON	I
to	ADP	to
his	PRON	his
place	NOUN	place
of	ADP	of
hermitage	NOUN	hermitage
.	PUNCT	.
I	PRON	I
reached	VERB	reach
the	DET	the
gloomy	ADJ	gloomy
abode	NOUN	abode
of	ADP	of
my	PRON	my
friend	NOUN	friend
as	ADP	as
the	DET	the
sun	NOUN	sun
set	VERB	set
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
vast	NOUN	vast
palace	NOUN	palace
of	ADP	of
the	DET	the
older	ADJ	old
world	NOUN	world
standing	VERB	stand
lonely	ADJ	lonely
in	ADP	in
the	DET	the
midst	NOUN	midst
of	ADP	of
woodland	NOUN	woodland
,	PUNCT	,
and	CCONJ	and
approached	VERB	approach
by	ADP	by
a	DET	a
sombre	ADJ	sombre
avenue	NOUN	avenue
of	ADP	of
poplars	NOUN	poplar
and	CCONJ	and
cypresses	NOUN	cypress
,	PUNCT	,
through	ADP	through
which	DET	which
the	DET	the
sunlight	NOUN	sunlight
hardly	ADV	hardly
pierced	VERB	pierce
.	PUNCT	.
Up	ADP	up
this	DET	this
I	PRON	I
passed	VERB	pass
,	PUNCT	,
and	CCONJ	and
seeking	VERB	seek
out	ADP	out
the	DET	the
deserted	ADJ	deserted
stables	NOUN	stable
(	PUNCT	(
which	DET	which
I	PRON	I
found	VERB	find
all	ADV	all
too	ADV	too
dilapidated	ADJ	dilapidated
to	PART	to
afford	VERB	afford
shelter	NOUN	shelter
)	PUNCT	)
finally	ADV	finally
put	VERB	put
up	ADP	up
my	PRON	my
_	NOUN	_
calèche	X	calèche
_	PUNCT	_
in	ADP	in
the	DET	the
ruined	ADJ	ruined
sacristy	NOUN	sacristy
of	ADP	of
an	DET	an
old	ADJ	old
Dominican	PROPN	Dominican
chapel	NOUN	chapel
,	PUNCT	,
and	CCONJ	and
turned	VERB	turn
my	PRON	my
mare	NOUN	mare
loose	ADJ	loose
to	PART	to
browse	VERB	browse
for	ADP	for
the	DET	the
night	NOUN	night
on	ADP	on
a	DET	a
paddock	NOUN	paddock
behind	ADP	behind
the	DET	the
domain	NOUN	domain
.	PUNCT	.
As	ADP	as
I	PRON	I
pushed	VERB	push
back	ADP	back
the	DET	the
open	ADJ	open
front	ADJ	front
door	NOUN	door
and	CCONJ	and
entered	VERB	enter
the	DET	the
mansion	NOUN	mansion
,	PUNCT	,
I	PRON	I
could	AUX	could
not	PART	not
but	CCONJ	but
wonder	VERB	wonder
at	ADP	at
the	DET	the
saturnine	ADJ	saturnine
fancy	NOUN	fancy
that	PRON	that
had	AUX	have
led	VERB	lead
this	DET	this
wayward	ADJ	wayward
man	NOUN	man
to	PART	to
select	VERB	select
a	DET	a
brooding	VERB	brood
-	PUNCT	-
place	NOUN	place
so	ADV	so
desolate	ADJ	desolate
for	ADP	for
the	DET	the
passage	NOUN	passage
of	ADP	of
his	PRON	his
days	NOUN	day
.	PUNCT	.
I	PRON	I
regarded	VERB	regard
it	PRON	it
as	ADP	as
a	DET	a
vast	ADJ	vast
tomb	NOUN	tomb
of	ADP	of
Mausolus	PROPN	Mausolus
in	ADP	in
which	DET	which
lay	VERB	lie
deep	ADV	deep
sepulchred	VERB	sepulchre
how	ADJ	how
much	ADJ	much
genius	NOUN	genius
,	PUNCT	,
culture	NOUN	culture
,	PUNCT	,
brilliancy	NOUN	brilliancy
,	PUNCT	,
power	NOUN	power
!	PUNCT	!
The	DET	the
hall	NOUN	hall
was	AUX	be
constructed	VERB	construct
in	ADP	in
the	DET	the
manner	NOUN	manner
of	ADP	of
a	DET	a
Roman	ADJ	roman
_	PUNCT	_
