THROUGH	ADP	through
THE	DET	the
WALL	PROPN	WALL
BY	PROPN	BY
CLEVELAND	PROPN	CLEVELAND
MOFFETT	PROPN	MOFFETT
AUTHOR	NOUN	author
OF	ADP	of
THE	DET	the
BATTLE	NOUN	battle
,	PUNCT	,
ETC	PROPN	ETC
.	PUNCT	.
With	ADP	with
Illustrations	NOUN	illustration
by	ADP	by
H.	PROPN	H.
HEYER	PROPN	HEYER
NEW	PROPN	NEW
YORK	PROPN	YORK
1909	NUM	1909
TO	X	to
MY	PROPN	MY
WIFE	PROPN	WIFE
AND	CCONJ	and
OUR	PRON	our
DELIGHTFUL	ADJ	delightful
PARIS	PROPN	PARIS
HOME	PROPN	HOME
IN	ADP	in
THE	DET	the
VILLA	PROPN	VILLA
MONTMORENCY	PROPN	MONTMORENCY
,	PUNCT	,
WHERE	SCONJ	where
THIS	DET	this
BOOK	NOUN	book
WAS	AUX	be
WRITTEN	VERB	write
C.	PROPN	C.
M.	PROPN	M.
NEW	PROPN	NEW
YORK	PROPN	YORK
,	PUNCT	,
AUGUST	PROPN	AUGUST
1	NUM	1
,	PUNCT	,
1909	NUM	1909
.	PUNCT	.
CONTENTS	NOUN	content
CHAPTER	NOUN	chapter
I.--A	PUNCT	I.--A
BLOOD	NOUN	blood
-	PUNCT	-
RED	VERB	red
SKY	NOUN	sky
II.--COQUENIL	PROPN	II.--COQUENIL
'S	PART	's
GREATEST	ADJ	great
CASE	NOUN	case
III.--PRIVATE	ADJ	iii.--private
ROOM	NOUN	room
NUMBER	NOUN	number
SIX	NUM	six
"IV.--""IN"	PUNCT	"IV.--""IN"
THE	DET	the
NAME	NOUN	name
OF	ADP	of
THE	DET	the
LAW	NOUN	law
""""	PUNCT	""""
V.--COQUENIL	PROPN	V.--COQUENIL
GETS	VERB	get
IN	ADP	in
THE	DET	the
GAME	NOUN	game
VI.--THE	NOUN	vi.--the
WEAPON	NOUN	weapon
VII.--THE	PUNCT	VII.--THE
FOOTPRINTS	NOUN	footprint
VIII.--THROUGH	ADP	viii.--through
THE	DET	the
WALL	NOUN	wall
IX.--COQUENIL	PROPN	IX.--COQUENIL
MARKS	VERB	mark
HIS	PRON	his
MAN	NOUN	man
X.--GIBELIN	PROPN	X.--GIBELIN
SCORES	VERB	score
A	DET	a
POINT	NOUN	point
XI.--THE	NOUN	xi.--the
TOWERS	NOUN	tower
OF	ADP	of
NOTRE	PROPN	NOTRE
-	PUNCT	-
DAME	PROPN	DAME
XII.--BY	PROPN	XII.--BY
SPECIAL	ADJ	special
ORDER	NOUN	order
XIII.--LLOYD	PROPN	XIII.--LLOYD
AND	CCONJ	and
ALICE	PROPN	ALICE
XIV.--THE	PROPN	XIV.--THE
WOMAN	NOUN	woman
IN	ADP	in
THE	DET	the
CASE	NOUN	case
XV.--PUSSY	PROPN	XV.--PUSSY
WILMOTT	PROPN	WILMOTT
'S	PART	's
CONFESSION	NOUN	confession
XVI.--THE	NOUN	xvi.--the
THIRD	ADJ	third
PAIR	NOUN	pair
OF	ADP	of
BOOTS	NOUN	boot
"XVII.--""FROM"	ADP	"xvii.--""from"
HIGHER	PROPN	HIGHER
UP	ADP	up
""""	PUNCT	""""
XVIII.--A	NUM	xviii.--a
LONG	ADJ	long
LITTLE	ADJ	little
FINGER	NOUN	finger
XIX.--TOUCHING	VERB	xix.--touche
A	DET	a
YELLOW	NOUN	yellow
TOOTH	NOUN	tooth
XX.--THE	PUNCT	XX.--THE
MEMORY	NOUN	memory
OF	ADP	of
A	DET	a
DOG	NOUN	dog
XXI.--THE	NOUN	xxi.--the
WOOD	NOUN	wood
CARVER	NOUN	carver
XXII.--AT	PROPN	XXII.--AT
THE	DET	the
HAIRDRESSER	NOUN	hairdresser
'S	PART	's
XXIII.--GROENER	NOUN	xxiii.--groener
AT	ADP	at
BAY	PROPN	BAY
XXIV.--THIRTY	ADJ	xxiv.--thirty
IMPORTANT	ADJ	important
WORDS	NOUN	word
XXV.--THE	NOUN	xxv.--the
MOVING	NOUN	moving
PICTURE	NOUN	picture
XXVI.--COQUENIL	NOUN	xxvi.--coquenil
'S	PART	's
MOTHER	NOUN	mother
XXVII.--THE	NOUN	xxvii.--the
DIARY	NOUN	diary
XXVIII.--A	NOUN	xxviii.--a
GREAT	ADJ	great
CRIMINAL	NOUN	criminal
XXIX.--THE	NOUN	xxix.--the
LOST	ADJ	LOST
DOLLY	NOUN	dolly
XXX.--MRS	PROPN	XXX.--MRS
.	PROPN	.
LLOYD	PROPN	LLOYD
KITTREDGE	PROPN	KITTREDGE
LIST	NOUN	list
OF	ADP	of
ILLUSTRATIONS	NOUN	illustration
""""	PUNCT	""""
'	PUNCT	'
We	PRON	we
'll	AUX	will
show	VERB	show
'em	PRON	them
,	PUNCT	,
eh	INTJ	eh
,	PUNCT	,
Caesar	PROPN	Caesar
?	PUNCT	?
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Alice	PROPN	Alice
,	PUNCT	,
'	PUNCT	'
he	PRON	he
cried	VERB	cry
...	PUNCT	...
'	PUNCT	'
Say	VERB	say
it	PRON	it
is	AUX	be
n't	PART	not
true	ADJ	true
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
I	PRON	I
want	VERB	want
you	PRON	you
,	PUNCT	,
'	PUNCT	'
he	PRON	he
said	VERB	say
in	ADP	in
a	DET	a
low	ADJ	low
voice	NOUN	voice
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
I	PRON	I
did	AUX	do
n't	PART	not
_	PUNCT	_
resign	VERB	resign
_	X	_
;	PUNCT	;
I	PRON	I
was	AUX	be
discharged	VERB	discharge
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
On	ADP	on
the	DET	the
floor	NOUN	floor
lay	VERB	lay
a	DET	a
man	NOUN	man
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Ask	VERB	ask
Beau	PROPN	Beau
Cocono	PROPN	Cocono
,	PUNCT	,
'	PUNCT	'
he	PRON	he
called	VERB	call
back	ADP	back
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Alice	PROPN	Alice
,	PUNCT	,
I	PRON	I
am	AUX	be
innocent	ADJ	innocent
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Have	AUX	have
one	NUM	one
?	PUNCT	?
'	PUNCT	'
said	VERB	say
M.	PROPN	M.
Paul	PROPN	Paul
,	PUNCT	,
offering	VERB	offer
his	PRON	his
cigarette	NOUN	cigarette
case	NOUN	case
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
There	ADV	there
it	PRON	it
lies	VERB	lie
to	ADP	to
the	DET	the
left	NOUN	left
of	ADP	of
that	DET	that
heavy	ADJ	heavy
doorway	NOUN	doorway
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
_	PUNCT	_
Cherche	X	cherche
!	PUNCT	!
_	PUNCT	_
'	PUNCT	'
he	PRON	he
ordered	VERB	order
""""	PUNCT	""""
""""	PUNCT	""""
He	PRON	he
prolonged	VERB	prolong
his	PRON	his
victory	NOUN	victory
,	PUNCT	,
slowly	ADV	slowly
increasing	VERB	increase
the	DET	the
pressure	NOUN	pressure
""""	PUNCT	""""
""""	PUNCT	""""
Gibelin	PROPN	Gibelin
beamed	VERB	beam
.	PUNCT	.
'	PUNCT	'
The	DET	the
old	ADJ	old
school	NOUN	school
has	AUX	have
its	PRON	its
good	ADJ	good
points	NOUN	point
,	PUNCT	,
after	ADV	after
all	ADV	all
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
I	PRON	I
know	VERB	know
_	PUNCT	_
why	SCONJ	why
_	PUNCT	_
you	PRON	you
are	AUX	be
thinking	VERB	think
about	ADP	about
that	DET	that
prison	NOUN	prison
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
She	PRON	she
was	AUX	be
just	ADV	just
bending	VERB	bend
over	ADP	over
it	PRON	it
when	SCONJ	when
Coquenil	PROPN	Coquenil
entered	VERB	enter
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
Did	AUX	do
you	PRON	you
write	VERB	write
this	DET	this
?	PUNCT	?
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
And	CCONJ	and
when	SCONJ	when
he	PRON	he
could	AUX	could
think	VERB	think
no	ADV	no
longer	ADV	long
,	PUNCT	,
he	PRON	he
listened	VERB	listen
to	ADP	to
the	DET	the
pickpocket	NOUN	pickpocket
""""	PUNCT	""""
""""	PUNCT	""""
'	PUNCT	'
They	PRON	they
all	DET	all
swore	VERB	swear
black	ADJ	black
and	CCONJ	and
blue	ADJ	blue
that	SCONJ	that
Addison	PROPN	Addison
told	VERB	tell
the	DET	the
truth	NOUN	truth
'	PUNCT	'
""""	PUNCT	""""
""""	PUNCT	""""
A	DET	a
door	NOUN	door
was	AUX	be
