KINDRED	PROPN	KINDRED
OF	ADP	of
THE	DET	the
DUST	PROPN	DUST
by	ADP	by
PETER	PROPN	PETER
B.	PROPN	B.
KYNE	PROPN	KYNE
Author	NOUN	author
of	ADP	of
_	PUNCT	_
Cappy	PROPN	Cappy
Ricks	PROPN	Ricks
_	PUNCT	_
,	PUNCT	,
_	SYM	_
The	DET	the
Valley	PROPN	Valley
of	ADP	of
the	DET	the
Giants	PROPN	Giants
_	PUNCT	_
,	PUNCT	,
_	X	_
Webster	PROPN	Webster
--	PUNCT	--
Man	PROPN	Man
's	PART	's
Man	PROPN	Man
_	PUNCT	_
,	PUNCT	,
etc	X	etc
.	PUNCT	.
Illustrated	VERB	illustrate
by	ADP	by
Dean	PROPN	Dean
Cornwell	PROPN	Cornwell
1920	X	1920
TO	ADP	to
IRENE	PROPN	IRENE
MY	PROPN	MY
DEAR	PROPN	DEAR
,	PUNCT	,
TYRANNICAL	ADJ	tyrannical
,	PUNCT	,
PRACTICAL	ADJ	practical
LITTLE	ADJ	little
FOSTER	PROPN	FOSTER
-	PUNCT	-
SISTER	PROPN	SISTER
WITHOUT	ADP	without
WHOSE	PRON	whose
AID	NOUN	aid
AND	CCONJ	and
COMFORT	NOUN	comfort
,	PUNCT	,
HOOTS	NOUN	hoot
,	PUNCT	,
CHEERS	NOUN	cheer
AND	CCONJ	and
UNAUTHORIZED	ADJ	unauthorized
STRIKES	NOUN	strike
,	PUNCT	,
THE	DET	the
QUANTITY	NOUN	quantity
AND	CCONJ	and
QUALITY	NOUN	quality
OF	ADP	of
MY	PRON	my
ALLEGED	ADJ	alleged
LITERARY	ADJ	literary
OUTPUT	NOUN	output
WOULD	AUX	would
BE	AUX	be
APPRECIABLY	NOUN	appreciably
DIMINISHED	VERB	diminish
,	PUNCT	,
THIS	DET	this
BOOK	NOUN	book
IS	AUX	be
AFFECTIONATELY	VERB	AFFECTIONATELY
DEDICATED	VERB	dedicate
THE	DET	the
ILLUSTRATIONS	NOUN	illustration
Hector	PROPN	Hector
McKaye	PROPN	McKaye
was	AUX	be
bred	VERB	breed
of	ADP	of
an	DET	an
acquisitive	ADJ	acquisitive
race	NOUN	race
She	PRON	she
stole	VERB	steal
to	ADP	to
the	DET	the
old	ADJ	old
square	ADJ	square
piano	NOUN	piano
and	CCONJ	and
sang	VERB	sing
for	ADP	for
him	PRON	he
Donald	PROPN	Donald
bowed	VERB	bow
his	PRON	his
head	NOUN	head
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
ca	AUX	can
n't	PART	not
give	VERB	give
her	PRON	she
up	ADP	up
,	PUNCT	,
father	NOUN	father
""""	PUNCT	""""
""""	PUNCT	""""
I	PRON	I
'm	AUX	be
a	DET	a
man	NOUN	man
without	ADP	without
a	DET	a
home	NOUN	home
and	CCONJ	and
you	PRON	you
've	AUX	have
just	ADV	just
_	PUNCT	_
got	VERB	got
_	PUNCT	_
to	PART	to
take	VERB	take
me	PRON	I
in	ADP	in
,	PUNCT	,
Nan	PROPN	Nan
""""	PUNCT	""""
I	PRON	I
In	ADP	in
the	DET	the
living	NOUN	living
-	PUNCT	-
room	NOUN	room
of	ADP	of
The	DET	the
Dreamerie	PROPN	Dreamerie
,	PUNCT	,
his	PRON	his
home	NOUN	home
on	ADP	on
Tyee	PROPN	Tyee
Head	PROPN	Head
,	PUNCT	,
Hector	PROPN	Hector
McKaye	PROPN	McKaye
,	PUNCT	,
owner	NOUN	owner
of	ADP	of
the	DET	the
Tyee	PROPN	Tyee
Lumber	PROPN	Lumber
Company	PROPN	Company
and	CCONJ	and
familiarly	ADV	familiarly
known	VERB	know
as	ADP	as
""""	PUNCT	""""
The	PROPN	The
Laird	PROPN	Laird
,	PUNCT	,
""""	PUNCT	""""
was	AUX	be
wo	VERB	wo
nt	VERB	nt
to	PART	to
sit	VERB	sit
in	ADP	in
his	PRON	his
hours	NOUN	hour
of	ADP	of
leisure	NOUN	leisure
,	PUNCT	,
smoking	NOUN	smoking
and	CCONJ	and
building	NOUN	building
castles	NOUN	castle
in	ADP	in
Spain	PROPN	Spain
--	PUNCT	--
for	ADP	for
his	PRON	his
son	NOUN	son
Donald	PROPN	Donald
.	PUNCT	.
Here	ADV	here
he	PRON	he
planned	VERB	plan
the	DET	the
acquisition	NOUN	acquisition
of	ADP	of
more	ADJ	more
timber	NOUN	timber
and	CCONJ	and
the	DET	the
installation	NOUN	installation
of	ADP	of
an	DET	an
electric	ADJ	electric
-	PUNCT	-
light	NOUN	light
plant	NOUN	plant
to	PART	to
furnish	VERB	furnish
light	NOUN	light
,	PUNCT	,
heat	NOUN	heat
,	PUNCT	,
and	CCONJ	and
power	NOUN	power
to	ADP	to
his	PRON	his
own	ADJ	own
town	NOUN	town
of	ADP	of
Port	PROPN	Port
Agnew	PROPN	Agnew
;	PUNCT	;
ever	ADV	ever
and	CCONJ	and
anon	X	anon
he	PRON	he
would	AUX	would
gaze	VERB	gaze
through	ADP	through
the	DET	the
plate	NOUN	plate
-	PUNCT	-
glass	NOUN	glass
windows	NOUN	window
out	ADP	out
to	ADP	to
sea	NOUN	sea
and	CCONJ	and
watch	VERB	watch
for	ADP	for
his	PRON	his
ships	NOUN	ship
to	PART	to
come	VERB	come
home	ADV	home
.	PUNCT	.
Whenever	SCONJ	whenever
The	DET	the
Laird	PROPN	Laird
put	VERB	put
his	PRON	his
dreams	NOUN	dream
behind	ADP	behind
him	PRON	he
,	PUNCT	,
he	PRON	he
always	ADV	always
looked	VERB	look
seaward	ADV	seaward
.	PUNCT	.
In	ADP	in
the	DET	the
course	NOUN	course
of	ADP	of
time	NOUN	time
,	PUNCT	,
his	PRON	his
home	NOUN	home
-	PUNCT	-
bound	VERB	bind
skippers	NOUN	skipper
,	PUNCT	,
sighting	VERB	sight
the	DET	the
white	ADJ	white
house	NOUN	house
on	ADP	on
the	DET	the
headland	NOUN	headland
and	CCONJ	and
knowing	VERB	know
that	SCONJ	that
The	DET	the
Laird	PROPN	Laird
was	AUX	be
apt	ADJ	apt
to	PART	to
be	AUX	be
up	ADV	up
there	ADV	there
watching	VERB	watch
,	PUNCT	,
formed	VERB	form
the	DET	the
habit	NOUN	habit
of	ADP	of
doing	VERB	do
something	PRON	something
that	PRON	that
pleased	VERB	please
their	PRON	their
owner	NOUN	owner
mightily	ADV	mightily
.	PUNCT	.
When	SCONJ	when
the	DET	the
northwest	NOUN	northwest
trades	NOUN	trade
held	VERB	hold
steady	ADJ	steady
and	CCONJ	and
true	ADJ	true
,	PUNCT	,
and	CCONJ	and
while	SCONJ	while
the	DET	the
tide	NOUN	tide
was	AUX	be
still	ADV	still
at	ADP	at
the	DET	the
flood	NOUN	flood
,	PUNCT	,
they	PRON	they
would	AUX	would
scorn	VERB	scorn
the	DET	the
services	NOUN	service
of	ADP	of
the	DET	the
tug	NOUN	tug
that	PRON	that
went	VERB	go
out	ADV	out
to	PART	to
meet	VERB	meet
them	PRON	they
and	CCONJ	and
come	VERB	come
ramping	VERB	ramp
into	ADP	into
the	DET	the
bight	NOUN	bight
,	PUNCT	,
all	DET	all
their	PRON	their
white	ADJ	white
sails	NOUN	sail
set	VERB	set
and	CCONJ	and
the	DET	the
glory	NOUN	glory
of	ADP	of
the	DET	the
sun	NOUN	sun
upon	SCONJ	upon
them	PRON	they
;	PUNCT	;
as	ADP	as
they	PRON	they
swept	VERB	sweep
past	ADV	past
,	PUNCT	,
far	ADV	far
below	ADP	below
The	PROPN	The
Laird	PROPN	Laird
,	PUNCT	,
they	PRON	they
would	AUX	would
dip	VERB	dip
his	PRON	his
house	NOUN	house
-	PUNCT	-
flag	NOUN	flag
--	PUNCT	--
a	DET	a
burgee	NOUN	burgee
,	PUNCT	,
scarlet	ADJ	scarlet
-	PUNCT	-
edged	ADJ	edged
,	PUNCT	,
with	ADP	with
a	DET	a
fir	NOUN	fir
tree	NOUN	tree
embroidered	VERB	embroider
in	ADP	in
green	NOUN	green
on	ADP	on
a	DET	a
field	NOUN	field
of	ADP	of
white	NOUN	white
--	PUNCT	--
the	DET	the
symbol	NOUN	symbol
to	ADP	to
the	DET	the
world	NOUN	world
that	SCONJ	that
here	ADV	here
was	AUX	be
a	DET	a
McKaye	PROPN	McKaye
ship	NOUN	ship
.	PUNCT	.
And	CCONJ	and
when	SCONJ	when
the	DET	the
house	NOUN	house
-	PUNCT	-
flag	NOUN	flag
fluttered	VERB	flutter
half	ADJ	half
-	PUNCT	-
way	NOUN	way
to	ADP	to
the	DET	the
deck	NOUN	deck
and	CCONJ	and
climbed	VERB	climb
again	ADV	again
to	ADP	to
the	DET	the
masthead	NOUN	masthead
,	PUNCT	,
the	DET	the
soul	NOUN	soul
of	ADP	of
Hector	PROPN	Hector
McKaye	PROPN	McKaye
would	AUX	would
thrill	VERB	thrill
.	PUNCT	.
""""	PUNCT	""""
Guid	PROPN	Guid
lads	NOUN	lad
!	PUNCT	!
My	PRON	my
bonny	ADJ	bonny
brave	ADJ	brave
lads	NOUN	lad
!	PUNCT	!
""""	PUNCT	""""
he	PRON	he
would	AUX	would
murmur	VERB	murmur
aloud	ADV	aloud
,	PUNCT	,
with	ADP	with
just	ADV	just
a	DET	a
touch	NOUN	touch
of	ADP	of
his	PRON	his
parents	NOUN	parent
'	PART	'
accent	NOUN	accent
,	PUNCT	,
and	CCONJ	and
press	VERB	press
a	DET	a
button	NOUN	button
which	DET	which
discharged	VERB	discharge
an	DET	an
ancient	ADJ	ancient
brass	NOUN	brass
cannon	NOUN	cannon
mounted	VERB	mount
at	ADP	at
the	DET	the
edge	NOUN	edge
of	ADP	of
the	DET	the
cliff	NOUN	cliff
.	PUNCT	.
Whenever	SCONJ	whenever
he	PRON	he
saw	VERB	see
one	NUM	one
of	ADP	of
his	PRON	his
ships	NOUN	ship
in	ADP	in
the	DET	the
offing	NOUN	offing
--	PUNCT	--
and	CCONJ	and
he	PRON	he
could	AUX	could
identify	VERB	identify
his	PRON	his
ships	NOUN	ship
as	ADV	as
far	ADV	far
as	ADP	as
he	PRON	he
could	AUX	could
see	VERB	see
them	PRON	they
--	PUNCT	--
he	PRON	he
ordered	VERB	order
the	DET	the
gardener	NOUN	gardener
to	PART	to
load	VERB	load
this	DET	this
cannon	NOUN	cannon
.	PUNCT	.
Presently	ADV	presently
the	DET	the
masters	NOUN	master
began	VERB	begin
to	PART	to
dip	VERB	dip
the	DET	the
house	NOUN	house
-	PUNCT	-
