JOHN	PROPN	JOHN
THORNDYKE	PROPN	THORNDYKE
'S	PART	's
CASES	NOUN	case
RELATED	VERB	relate
BY	ADP	by
CHRISTOPHER	PROPN	CHRISTOPHER
JERVIS	PROPN	JERVIS
,	PUNCT	,
M.D.	PROPN	M.D.
AND	PROPN	AND
EDITED	VERB	edit
BY	ADP	by
R.	PROPN	R.
AUSTIN	PROPN	AUSTIN
FREEMAN	PROPN	FREEMAN
AUTHOR	PROPN	AUTHOR
OF	ADP	of
""""	PUNCT	""""
THE	DET	the
GOLDEN	PROPN	GOLDEN
POOL	PROPN	POOL
,	PUNCT	,
""""	PUNCT	""""
ETC	PROPN	ETC
.	PUNCT	.
WITH	ADP	with
SIX	ADJ	six
ILLUSTRATIONS	NOUN	illustration
BY	ADP	by
H.	PROPN	H.
M.	PROPN	M.
BROCK	PROPN	BROCK
,	PUNCT	,
AND	PROPN	AND
NINE	PROPN	NINE
FROM	ADP	from
PHOTOGRAPHS	PROPN	PHOTOGRAPHS
,	PUNCT	,
ETC	PROPN	ETC
.	PROPN	.
:	PUNCT	:
PROFESSOR	NOUN	professor
POPPELBAUM	PROPN	POPPELBAUM
IS	AUX	be
ENLIGHTENED	VERB	enlighten
.	PUNCT	.
]	X	]
TO	ADP	to
MY	PRON	my
FRIEND	NOUN	friend
FRANK	PROPN	FRANK
STANDFIELD	PROPN	STANDFIELD
IN	ADP	in
MEMORY	NOUN	memory
OF	ADP	of
MANY	ADJ	many
A	DET	a
PLEASANT	ADJ	pleasant
EVENING	NOUN	evening
SPENT	NOUN	spent
WITH	ADP	with
MICROSCOPE	NOUN	microscope
AND	CCONJ	and
CAMERA	NOUN	camera
THIS	DET	this
VOLUME	NOUN	volume
IS	AUX	be
DEDICATED	VERB	dedicate
PREFACE	NOUN	preface
The	DET	the
stories	NOUN	story
in	ADP	in
this	DET	this
collection	NOUN	collection
,	PUNCT	,
inasmuch	ADP	inasmuch
as	ADP	as
they	PRON	they
constitute	VERB	constitute
a	DET	a
somewhat	ADV	somewhat
new	ADJ	new
departure	NOUN	departure
in	ADP	in
this	DET	this
class	NOUN	class
of	ADP	of
literature	NOUN	literature
,	PUNCT	,
require	VERB	require
a	DET	a
few	ADJ	few
words	NOUN	word
of	ADP	of
introduction	NOUN	introduction
.	PUNCT	.
The	DET	the
primary	ADJ	primary
function	NOUN	function
of	ADP	of
all	DET	all
fiction	NOUN	fiction
is	AUX	be
to	PART	to
furnish	VERB	furnish
entertainment	NOUN	entertainment
to	ADP	to
the	DET	the
reader	NOUN	reader
,	PUNCT	,
and	CCONJ	and
this	DET	this
fact	NOUN	fact
has	AUX	have
not	PART	not
been	AUX	be
lost	VERB	lose
sight	NOUN	sight
of	ADP	of
.	PUNCT	.
But	CCONJ	but
the	DET	the
interest	NOUN	interest
of	ADP	of
so	ADV	so
-	PUNCT	-
called	VERB	call
""""	PUNCT	""""
detective	ADJ	detective
""""	PUNCT	""""
fiction	NOUN	fiction
is	AUX	be
,	PUNCT	,
I	PRON	I
believe	VERB	believe
,	PUNCT	,
greatly	ADV	greatly
enhanced	VERB	enhance
by	ADP	by
a	DET	a
careful	ADJ	careful
adherence	NOUN	adherence
to	ADP	to
the	DET	the
probable	ADJ	probable
,	PUNCT	,
and	CCONJ	and
a	DET	a
strict	ADJ	strict
avoidance	NOUN	avoidance
of	ADP	of
physical	ADJ	physical
impossibilities	NOUN	impossibility
;	PUNCT	;
and	CCONJ	and
,	PUNCT	,
in	ADP	in
accordance	NOUN	accordance
with	ADP	with
this	DET	this
belief	NOUN	belief
,	PUNCT	,
I	PRON	I
have	AUX	have
been	AUX	be
scrupulous	ADJ	scrupulous
in	ADP	in
confining	VERB	confine
myself	PRON	myself
to	ADP	to
authentic	ADJ	authentic
facts	NOUN	fact
and	CCONJ	and
practicable	ADJ	practicable
methods	NOUN	method
.	PUNCT	.
The	DET	the
stories	NOUN	story
have	AUX	have
,	PUNCT	,
for	ADP	for
the	DET	the
most	ADJ	most
part	NOUN	part
,	PUNCT	,
a	DET	a
medico	ADJ	medico
-	ADJ	-
legal	ADJ	legal
motive	NOUN	motive
,	PUNCT	,
and	CCONJ	and
the	DET	the
methods	NOUN	method
of	ADP	of
solution	NOUN	solution
described	VERB	describe
in	ADP	in
them	PRON	they
are	AUX	be
similar	ADJ	similar
to	ADP	to
those	DET	those
employed	VERB	employ
in	ADP	in
actual	ADJ	actual
practice	NOUN	practice
by	ADP	by
medical	ADJ	medical
