Twenty	NUM	twenty
Thousand	NUM	thousand
Leagues	NOUN	league
under	ADP	under
the	DET	the
Sea	NOUN	sea
by	ADP	by
Jules	PROPN	Jules
Verne	PROPN	Verne
Contents	NOUN	content
PART	NOUN	part
I	NOUN	i
CHAPTER	NOUN	chapter
I	NOUN	i
A	DET	a
SHIFTING	NOUN	shifting
REEF	NOUN	reef
CHAPTER	NOUN	chapter
II	NUM	ii
PRO	NOUN	pro
AND	CCONJ	and
CON	NOUN	con
CHAPTER	NOUN	chapter
III	NUM	iii
I	NUM	i
FORM	VERB	form
MY	PRON	my
RESOLUTION	NOUN	resolution
CHAPTER	NOUN	chapter
IV	NUM	iv
NED	PROPN	NED
LAND	NOUN	land
CHAPTER	NOUN	chapter
V	NUM	v
AT	ADP	at
A	DET	a
VENTURE	NOUN	venture
CHAPTER	NOUN	chapter
VI	NUM	vi
AT	ADP	at
FULL	ADJ	full
STEAM	NOUN	steam
CHAPTER	NOUN	chapter
VII	NUM	vii
AN	DET	an
UNKNOWN	ADJ	unknown
SPECIES	NOUN	specie
OF	ADP	of
WHALE	NOUN	whale
CHAPTER	NOUN	chapter
VIII	NUM	viii
MOBILIS	NOUN	mobilis
IN	ADP	in
MOBILI	PROPN	MOBILI
CHAPTER	NOUN	chapter
IX	NUM	ix
NED	PROPN	NED
LAND	PROPN	LAND
'S	PART	's
TEMPERS	NOUN	temper
CHAPTER	NOUN	chapter
X	NUM	x
THE	DET	the
MAN	NOUN	man
OF	ADP	of
THE	DET	the
SEAS	NOUN	seas
CHAPTER	NOUN	chapter
XI	NUM	xi
ALL	DET	all
BY	ADP	by
ELECTRICITY	NOUN	electricity
CHAPTER	NOUN	chapter
XII	NUM	xii
SOME	DET	some
FIGURES	NOUN	figure
CHAPTER	NOUN	chapter
XIII	NUM	xiii
THE	DET	the
BLACK	NOUN	black
RIVER	NOUN	river
CHAPTER	NOUN	chapter
XIV	NUM	xiv
A	DET	a
NOTE	NOUN	note
OF	ADP	of
INVITATION	NOUN	invitation
CHAPTER	NOUN	chapter
XV	NUM	xv
A	DET	a
WALK	NOUN	walk
ON	ADP	on
THE	DET	the
BOTTOM	NOUN	bottom
OF	ADP	of
THE	DET	the
SEA	NOUN	sea
CHAPTER	NOUN	chapter
XVI	NUM	xvi
A	DET	a
SUBMARINE	NOUN	submarine
FOREST	NOUN	forest
CHAPTER	NOUN	chapter
XVII	NUM	xvii
FOUR	NUM	four
THOUSAND	NOUN	thousand
LEAGUES	NOUN	league
UNDER	ADP	under
THE	DET	the
PACIFIC	NOUN	pacific
CHAPTER	NOUN	chapter
XVIII	NUM	xviii
VANIKORO	NOUN	vanikoro
CHAPTER	NOUN	chapter
XIX	NUM	xix
TORRES	NOUN	torre
STRAITS	VERB	strait
CHAPTER	NOUN	chapter
XX	NUM	xx
A	DET	a
FEW	NUM	few
DAYS	NOUN	day
ON	ADP	on
LAND	NOUN	land
CHAPTER	NOUN	chapter
XXI	NUM	xxi
CAPTAIN	PROPN	CAPTAIN
NEMO	PROPN	NEMO
'S	PART	's
THUNDERBOLT	NOUN	thunderbolt
CHAPTER	NOUN	chapter
XXII	NOUN	xxii
“	PUNCT	""""
ÆGRI	NOUN	ægri
SOMNIA	NOUN	somnia
”	PUNCT	""""
CHAPTER	NOUN	chapter
XXIII	NUM	xxiii
THE	DET	the
CORAL	ADJ	coral
KINGDOM	NOUN	kingdom
PART	NOUN	part
II	NOUN	ii
CHAPTER	NOUN	chapter
I	NOUN	i
THE	DET	the
INDIAN	PROPN	INDIAN
OCEAN	PROPN	OCEAN
CHAPTER	NOUN	chapter
II	NUM	ii
A	DET	a
NOVEL	NOUN	novel
PROPOSAL	NOUN	proposal
OF	ADP	of
CAPTAIN	PROPN	CAPTAIN
NEMO	PROPN	NEMO
'S	PROPN	'S
CHAPTER	NOUN	chapter
III	NUM	iii
A	DET	a
PEARL	NOUN	pearl
OF	ADP	of
TEN	NUM	ten
MILLIONS	NOUN	million
CHAPTER	NOUN	chapter
IV	NUM	iv
THE	DET	the
RED	ADJ	red
SEA	NOUN	sea
CHAPTER	NOUN	chapter
V	NUM	v
THE	DET	the
ARABIAN	PROPN	ARABIAN
TUNNEL	PROPN	TUNNEL
CHAPTER	NOUN	chapter
VI	NUM	vi
THE	DET	the
GRECIAN	PROPN	GRECIAN
ARCHIPELAGO	PROPN	ARCHIPELAGO
CHAPTER	NOUN	chapter
VII	NUM	vii
THE	DET	the
MEDITERRANEAN	PROPN	MEDITERRANEAN
IN	ADP	in
FORTY	NUM	forty
-	PUNCT	-
EIGHT	NUM	eight
HOURS	NOUN	hour
CHAPTER	NOUN	chapter
VIII	NUM	viii
VIGO	PROPN	VIGO
BAY	PROPN	BAY
CHAPTER	NOUN	chapter
IX	NUM	ix
A	DET	a
VANISHED	VERB	vanish
CONTINENT	NOUN	continent
CHAPTER	NOUN	chapter
X	NUM	x
THE	DET	the
SUBMARINE	NOUN	submarine
COAL	NOUN	coal
-	PUNCT	-
MINES	NOUN	mine
CHAPTER	NOUN	chapter
XI	NUM	xi
THE	DET	the
SARGASSO	PROPN	SARGASSO
SEA	NOUN	sea
CHAPTER	NOUN	chapter
XII	NUM	xii
CACHALOTS	NOUN	cachalot
AND	CCONJ	and
WHALES	NOUN	whale
CHAPTER	NOUN	chapter
XIII	NUM	xiii
THE	DET	the
ICEBERG	NOUN	iceberg
CHAPTER	NOUN	chapter
XIV	NUM	xiv
THE	DET	the
SOUTH	NOUN	south
POLE	NOUN	pole
CHAPTER	NOUN	chapter
XV	NUM	xv
ACCIDENT	NOUN	accident
OR	CCONJ	or
INCIDENT	NOUN	incident
?	PUNCT	?
CHAPTER	NOUN	chapter
XVI	NUM	xvi
WANT	NOUN	want
OF	ADP	of
AIR	NOUN	air
CHAPTER	NOUN	chapter
XVII	NUM	xvii
FROM	ADP	from
CAPE	PROPN	CAPE
HORN	PROPN	HORN
TO	ADP	to
THE	DET	the
AMAZON	NOUN	amazon
CHAPTER	NOUN	chapter
XVIII	NUM	xviii
THE	DET	the
POULPS	NOUN	poulps
CHAPTER	NOUN	chapter
XIX	NUM	xix
THE	DET	the
GULF	NOUN	gulf
STREAM	NOUN	stream
CHAPTER	NOUN	chapter
XX	NUM	xx
FROM	ADP	from
LATITUDE	NOUN	latitude
47	NUM	47
°	NOUN	°
24′	NUM	24′
TO	ADP	to
LONGITUDE	PROPN	LONGITUDE
17	NUM	17
°	NOUN	°
28′	NUM	28′
CHAPTER	NOUN	chapter
XXI	NUM	xxi
A	DET	a
HECATOMB	NOUN	hecatomb
CHAPTER	NOUN	chapter
XXII	NUM	xxii
THE	DET	the
LAST	ADJ	last
WORDS	NOUN	word
OF	ADP	of
CAPTAIN	NOUN	captain
NEMO	PROPN	NEMO
CHAPTER	NOUN	chapter
XXIII	NUM	xxiii
CONCLUSION	NOUN	conclusion
List	NOUN	list
of	ADP	of
Illustrations	NOUN	illustration
An	DET	an
old	ADJ	old
grey	ADJ	grey
-	PUNCT	-
bearded	ADJ	bearded
gunner	NOUN	gunner
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
.	PUNCT	.
Captain	PROPN	Captain
Nemo	PROPN	Nemo
's	PART	's
state	NOUN	state
-	PUNCT	-
room	NOUN	room
Captain	PROPN	Captain
Nemo	PROPN	Nemo
took	VERB	take
the	DET	the
Sun	PROPN	Sun
's	PART	's
altitude	NOUN	altitude
I	PRON	I
was	AUX	be
ready	ADJ	ready
to	PART	to
set	VERB	set
out	ADP	out
Conseil	NOUN	conseil
seized	VERB	seize
his	PRON	his
gun	NOUN	gun
All	DET	all
fell	VERB	fall
on	ADP	on
their	PRON	their
knees	NOUN	knee
in	ADP	in
an	DET	an
attitude	NOUN	attitude
of	ADP	of
prayer	NOUN	prayer
A	DET	a
terrible	ADJ	terrible
combat	NOUN	combat
began	VERB	begin
“	PUNCT	""""
A	DET	a
man	NOUN	man
!	PUNCT	!
A	DET	a
shipwrecked	ADJ	shipwrecked
sailor	NOUN	sailor
!	PUNCT	!
”	PUNCT	""""
I	PRON	I
cried	VERB	cry
The	DET	the
_	X	_
Nautilus	PROPN	Nautilus
_	PUNCT	_
was	AUX	be
floating	VERB	float
near	ADP	near
a	DET	a
mountain	NOUN	mountain
The	DET	the
_	X	_
Nautilus	PROPN	Nautilus
_	PUNCT	_
was	AUX	be
blocked	VERB	block
up	ADP	up
One	NUM	one
of	ADP	of
these	DET	these
long	ADJ	long
arms	NOUN	arm
glided	VERB	glide
through	ADP	through
the	DET	the
opening	NOUN	opening
The	DET	the
unfortunate	ADJ	unfortunate
vessel	NOUN	vessel
sank	VERB	sink
more	ADV	more
rapidly	ADV	rapidly
PART	NOUN	part
ONE	NUM	one
CHAPTER	NOUN	chapter
I	NUM	i
A	PROPN	A
SHIFTING	NOUN	shifting
REEF	PROPN	REEF
The	DET	the
year	NOUN	year
1866	NUM	1866
was	AUX	be
signalised	VERB	signalise
by	ADP	by
a	DET	a
remarkable	ADJ	remarkable
incident	NOUN	incident
,	PUNCT	,
a	DET	a
mysterious	ADJ	mysterious
and	CCONJ	and
puzzling	ADJ	puzzling
phenomenon	NOUN	phenomenon
,	PUNCT	,
which	DET	which
doubtless	ADV	doubtless
no	DET	no
one	NUM	one
has	AUX	have
yet	ADV	yet
forgotten	VERB	forget
.	PUNCT	.
Not	PART	not
to	PART	to
mention	NOUN	mention
rumours	NOUN	rumour
which	DET	which
agitated	VERB	agitate
the	DET	the
maritime	ADJ	maritime
population	NOUN	population
and	CCONJ	and
excited	VERB	excite
the	DET	the
public	ADJ	public
mind	NOUN	mind
,	PUNCT	,
even	ADV	even
in	ADP	in
the	DET	the
interior	NOUN	interior
of	ADP	of
continents	NOUN	continent
,	PUNCT	,
seafaring	VERB	seafare
men	NOUN	man
were	AUX	be
particularly	ADV	particularly
excited	ADJ	excited
.	PUNCT	.
Merchants	NOUN	merchant
,	PUNCT	,
common	ADJ	common
sailors	NOUN	sailor
,	PUNCT	,
captains	NOUN	captain
of	ADP	of
vessels	NOUN	vessel
,	PUNCT	,
skippers	NOUN	skipper
,	PUNCT	,
both	DET	both
of	ADP	of
Europe	PROPN	Europe
and	CCONJ	and
America	PROPN	America
,	PUNCT	,
naval	ADJ	naval
officers	NOUN	officer
of	ADP	of
all	DET	all
countries	NOUN	country
,	PUNCT	,
and	CCONJ	and
the	DET	the
Governments	NOUN	government
of	ADP	of
several	ADJ	several
states	NOUN	state
on	ADP	on
the	DET	the
two	NUM	two
continents	NOUN	continent
,	PUNCT	,
were	AUX	be
deeply	ADV	deeply
interested	ADJ	interested
in	ADP	in
the	DET	the
matter	NOUN	matter
.	PUNCT	.
For	ADP	for
some	DET	some
time	NOUN	time
past	ADJ	past
,	PUNCT	,
vessels	NOUN	vessel
had	AUX	have
been	AUX	be
met	VERB	meet
by	ADP	by
“	PUNCT	""""
an	DET	an
enormous	ADJ	enormous
thing	NOUN	thing
,	PUNCT	,
”	PUNCT	""""
a	DET	a
long	ADJ	long
object	NOUN	object
,	PUNCT	,
spindle	ADJ	spindle
-	PUNCT	-
shaped	ADJ	shaped
,	PUNCT	,
occasionally	ADV	occasionally
phosphorescent	ADJ	phosphorescent
,	PUNCT	,
and	CCONJ	and
infinitely	ADV	infinitely
larger	ADJ	large
and	CCONJ	and
more	ADV	more
rapid	ADJ	rapid
in	ADP	in
its	PRON	its
movements	NOUN	movement
than	ADP	than
a	DET	a
whale	NOUN	whale
.	PUNCT	.
The	DET	the
facts	NOUN	fact
relating	VERB	relate
to	ADP	to
