Supertales	PROPN	Supertales
of	ADP	of
Modern	ADJ	modern
Mystery	NOUN	mystery
NEVER	PROPN	NEVER
-	PUNCT	-
FAIL	PROPN	FAIL
BLAKE	PROPN	BLAKE
by	PROPN	by
ARTHUR	PROPN	ARTHUR
STRINGER	PROPN	STRINGER
Mckinlay	PROPN	Mckinlay
,	PUNCT	,
Stone	PROPN	Stone
&	CCONJ	&
Mackenzie	PROPN	Mackenzie
New	PROPN	New
York	PROPN	York
Copyright	NOUN	copyright
,	PUNCT	,
1913	NUM	1913
,	PUNCT	,
by	ADP	by
The	DET	the
Bobbs	PROPN	Bobbs
-	PUNCT	-
Merrill	PROPN	Merrill
Company	PROPN	Company
NEVER	PROPN	NEVER
-	PUNCT	-
FAIL	PROPN	FAIL
BLAKE	PROPN	BLAKE
I	PROPN	I
Blake	PROPN	Blake
,	PUNCT	,
the	DET	the
Second	PROPN	Second
Deputy	PROPN	Deputy
,	PUNCT	,
raised	VERB	raise
his	PRON	his
gloomy	ADJ	gloomy
hound	NOUN	hound
's	PART	's
eyes	NOUN	eye
as	ADP	as
the	DET	the
door	NOUN	door
opened	VERB	open
and	CCONJ	and
a	DET	a
woman	NOUN	woman
stepped	VERB	step
in	ADV	in
.	PUNCT	.
Then	ADV	then
he	PRON	he
dropped	VERB	drop
them	PRON	they
again	ADV	again
.	PUNCT	.
""""	PUNCT	""""
Hello	INTJ	hello
,	PUNCT	,
Elsie	PROPN	Elsie
!	PUNCT	!
""""	PUNCT	""""
he	PRON	he
said	VERB	say
,	PUNCT	,
without	ADP	without
looking	VERB	look
at	ADP	at
her	PRON	she
.	PUNCT	.
The	DET	the
woman	NOUN	woman
stood	VERB	stand
a	DET	a
moment	NOUN	moment
staring	VERB	stare
at	ADP	at
him	PRON	he
.	PUNCT	.
Then	ADV	then
she	PRON	she
advanced	VERB	advance
thoughtfully	ADV	thoughtfully
toward	ADP	toward
his	PRON	his
table	NOUN	table
desk	NOUN	desk
.	PUNCT	.
""""	PUNCT	""""
Hello	INTJ	hello
,	PUNCT	,
Jim	PROPN	Jim
!	PUNCT	!
""""	PUNCT	""""
she	PRON	she
answered	VERB	answer
,	PUNCT	,
as	ADP	as
she	PRON	she
sank	VERB	sink
into	ADP	into
the	DET	the
empty	ADJ	empty
chair	NOUN	chair
at	ADP	at
the	DET	the
desk	NOUN	desk
end	NOUN	end
.	PUNCT	.
The	DET	the
rustling	NOUN	rustling
of	ADP	of
silk	NOUN	silk
suddenly	ADV	suddenly
ceased	VERB	cease
.	PUNCT	.
An	DET	an
aphrodisiac	NOUN	aphrodisiac
odor	NOUN	odor
of	ADP	of
ambergris	NOUN	ambergris
crept	VERB	creep
through	ADP	through
the	DET	the
Deputy	PROPN	Deputy
-	PUNCT	-
Commissioner	PROPN	Commissioner
's	PART	's
office	NOUN	office
.	PUNCT	.
The	DET	the
woman	NOUN	woman
looped	VERB	loop
up	ADP	up
her	PRON	her
veil	NOUN	veil
,	PUNCT	,
festooning	VERB	festoon
it	PRON	it
about	ADP	about
the	DET	the
undulatory	ADJ	undulatory
roll	NOUN	roll
of	ADP	of
her	PRON	her
hat	NOUN	hat
brim	NOUN	brim
.	PUNCT	.
Blake	PROPN	Blake
continued	VERB	continue
his	PRON	his
solemnly	ADV	solemnly
preoccupied	ADJ	preoccupied
study	NOUN	study
of	ADP	of
the	DET	the
desk	NOUN	desk
top	NOUN	top
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
sent	VERB	send
for	ADP	for
me	PRON	I
,	PUNCT	,
""""	PUNCT	""""
the	DET	the
woman	NOUN	woman
finally	ADV	finally
said	VERB	say
.	PUNCT	.
It	PRON	it
was	AUX	be
more	ADV	more
a	DET	a
reminder	NOUN	reminder
than	ADP	than
a	DET	a
question	NOUN	question
.	PUNCT	.
And	CCONJ	and
the	DET	the
voice	NOUN	voice
,	PUNCT	,
for	ADP	for
all	DET	all
its	PRON	its
quietness	NOUN	quietness
,	PUNCT	,
carried	VERB	carry
no	DET	no
sense	NOUN	sense
of	ADP	of
timidity	NOUN	timidity
.	PUNCT	.
The	DET	the
woman	NOUN	woman
's	PART	's
pale	ADJ	pale
face	NOUN	face
,	PUNCT	,
where	SCONJ	where
the	DET	the
undulating	VERB	undulate
hat	NOUN	hat
brim	NOUN	brim
left	VERB	leave
the	DET	the
shadowy	ADJ	shadowy
eyes	NOUN	eye
still	ADV	still
more	ADV	more
shadowy	ADJ	shadowy
,	PUNCT	,
seemed	VERB	seem
fortified	VERB	fortify
with	ADP	with
a	DET	a
calm	ADJ	calm
sense	NOUN	sense
of	ADP	of
power	NOUN	power
.	PUNCT	.
It	PRON	it
was	AUX	be
something	PRON	something
more	ADJ	more
than	ADP	than
a	DET	a
dormant	ADJ	dormant
consciousness	NOUN	consciousness
of	ADP	of
beauty	NOUN	beauty
,	PUNCT	,
though	SCONJ	though
the	DET	the
knowledge	NOUN	knowledge
that	SCONJ	that
men	NOUN	man
would	AUX	would
turn	VERB	turn
back	ADV	back
to	ADP	to
a	DET	a
face	NOUN	face
so	ADV	so
wistful	ADJ	wistful
as	ADP	as
hers	PRON	hers
,	PUNCT	,
and	CCONJ	and
their	PRON	their
judgment	NOUN	judgment
could	AUX	could
be	AUX	be
dulled	VERB	dull
by	ADP	by
a	DET	a
smile	NOUN	smile
so	ADJ	so
narcotizing	ADJ	narcotizing
,	PUNCT	,
had	AUX	have
not	PART	not
a	DET	a
little	ADJ	little
to	PART	to
do	AUX	do
with	ADP	with
the	DET	the
woman	NOUN	woman
's	PART	's
achieved	VERB	achieve
serenity	NOUN	serenity
.	PUNCT	.
There	PRON	there
was	AUX	be
nothing	PRON	nothing
outwardly	ADV	outwardly
sinister	ADJ	sinister
about	ADP	about
her	PRON	she
.	PUNCT	.
This	DET	this
fact	NOUN	fact
had	AUX	have
always	ADV	always
left	VERB	leave
her	PRON	she
doubly	ADV	doubly
dangerous	ADJ	dangerous
as	ADP	as
a	DET	a
law	NOUN	law
-	PUNCT	-
breaker	NOUN	breaker
.	PUNCT	.
Blake	PROPN	Blake
himself	PRON	himself
,	PUNCT	,
for	ADP	for
all	DET	all
his	PRON	his
dewlap	NOUN	dewlap
and	CCONJ	and
his	PRON	his
two	NUM	two
hundred	NUM	hundred
pounds	NOUN	pound
of	ADP	of
lethargic	ADJ	lethargic
beefiness	NOUN	beefiness
,	PUNCT	,
felt	VERB	feel
a	DET	a
vague	ADJ	vague
and	CCONJ	and
inward	ADJ	inward
stirring	NOUN	stirring
as	ADP	as
he	PRON	he
finally	ADV	finally
lifted	VERB	lift
his	PRON	his
head	NOUN	head
and	CCONJ	and
looked	VERB	look
at	ADP	at
her	PRON	she
.	PUNCT	.
He	PRON	he
