NAUDSONCE	PROPN	NAUDSONCE
Bishop	PROPN	Bishop
Berkeley	PROPN	Berkeley
's	PART	's
famous	ADJ	famous
question	NOUN	question
about	ADP	about
the	DET	the
sound	NOUN	sound
of	ADP	of
a	DET	a
falling	VERB	fall
tree	NOUN	tree
may	AUX	may
have	AUX	have
no	DET	no
standing	NOUN	standing
in	ADP	in
Science	NOUN	science
.	PUNCT	.
But	CCONJ	but
there	PRON	there
is	AUX	be
a	DET	a
highly	ADV	highly
interesting	ADJ	interesting
question	NOUN	question
about	ADP	about
""""	PUNCT	""""
sound	NOUN	sound
""""	PUNCT	""""
that	PRON	that
Science	NOUN	science
needs	VERB	need
to	PART	to
consider	VERB	consider
....	PUNCT	....
BY	ADP	by
H.	PROPN	H.
BEAM	PROPN	BEAM
PIPER	PROPN	PIPER
ILLUSTRATED	VERB	illustrate
BY	ADP	by
MOREY	PROPN	MOREY
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
The	DET	the
sun	NOUN	sun
warmed	VERB	warm
Mark	PROPN	Mark
Howell	PROPN	Howell
's	PART	's
back	NOUN	back
pleasantly	ADV	pleasantly
.	PUNCT	.
Underfoot	NOUN	underfoot
,	PUNCT	,
the	DET	the
mosslike	ADJ	mosslike
stuff	NOUN	stuff
was	AUX	be
soft	ADJ	soft
and	CCONJ	and
yielding	ADJ	yielding
,	PUNCT	,
and	CCONJ	and
there	PRON	there
was	AUX	be
a	DET	a
fragrance	NOUN	fragrance
in	ADP	in
the	DET	the
air	NOUN	air
unlike	ADJ	unlike
anything	PRON	anything
he	PRON	he
had	AUX	have
ever	ADV	ever
smelled	VERB	smell
.	PUNCT	.
He	PRON	he
was	AUX	be
going	VERB	go
to	PART	to
like	VERB	like
this	DET	this
planet	NOUN	planet
;	PUNCT	;
he	PRON	he
knew	VERB	know
it	PRON	it
.	PUNCT	.
The	DET	the
question	NOUN	question
was	AUX	be
,	PUNCT	,
how	SCONJ	how
would	AUX	would
it	PRON	it
,	PUNCT	,
and	CCONJ	and
its	PRON	its
people	NOUN	people
,	PUNCT	,
like	ADP	like
him	PRON	he
?	PUNCT	?
He	PRON	he
watched	VERB	watch
the	DET	the
little	ADJ	little
figures	NOUN	figure
advancing	VERB	advance
across	ADP	across
the	DET	the
fields	NOUN	field
from	ADP	from
the	DET	the
mound	NOUN	mound
,	PUNCT	,
with	ADP	with
the	DET	the
village	NOUN	village
out	ADP	out
of	ADP	of
sight	NOUN	sight
on	ADP	on
the	DET	the
other	ADJ	other
end	NOUN	end
of	ADP	of
it	PRON	it
and	CCONJ	and
the	DET	the
combat	NOUN	combat
-	PUNCT	-
car	NOUN	car
circling	VERB	circle
lazily	ADV	lazily
on	ADV	on
contragravity	ADV	contragravity
above	ADV	above
.	PUNCT	.
Major	PROPN	Major
Luis	PROPN	Luis
Gofredo	PROPN	Gofredo
,	PUNCT	,
the	DET	the
Marine	PROPN	Marine
officer	NOUN	officer
,	PUNCT	,
spoke	VERB	speak
without	ADP	without
lowering	VERB	lower
his	PRON	his
binoculars	NOUN	binocular
:	PUNCT	:
""""	PUNCT	""""
They	PRON	they
have	AUX	have
a	DET	a
tubular	ADJ	tubular
thing	NOUN	thing
about	ADP	about
twelve	NUM	twelve
feet	NOUN	foot
long	ADJ	long
;	PUNCT	;
six	NUM	six
of	ADP	of
them	PRON	they
are	AUX	be
carrying	VERB	carry
it	PRON	it
on	ADP	on
poles	NOUN	pole
,	PUNCT	,
three	NUM	three
to	ADP	to
a	DET	a
side	NOUN	side
,	PUNCT	,
and	CCONJ	and
a	DET	a
couple	NOUN	couple
more	ADJ	more
are	AUX	be
walking	VERB	walk
behind	ADP	behind
it	PRON	it
.	PUNCT	.
Mark	PROPN	Mark
,	PUNCT	,
do	AUX	do
you	PRON	you
think	VERB	think
it	PRON	it
could	AUX	could
be	AUX	be
a	DET	a
cannon	NOUN	cannon
?	PUNCT	?
""""	PUNCT	""""
So	ADV	so
far	ADV	far
,	PUNCT	,
he	PRON	he
did	AUX	do
n't	PART	not
know	VERB	know
enough	ADJ	enough
to	PART	to
have	AUX	have
an	DET	an
opinion	NOUN	opinion
,	PUNCT	,
and	CCONJ	and
said	VERB	say
so	ADV	so
,	PUNCT	,
adding	VERB	add
:	PUNCT	:
""""	PUNCT	""""
What	PRON	what
I	PRON	I
saw	VERB	see
of	ADP	of
the	DET	the
village	NOUN	village
in	ADP	in
the	DET	the
screen	NOUN	screen
from	ADP	from
the	DET	the
car	NOUN	car
,	PUNCT	,
it	PRON	it
looked	VERB	look
pretty	ADV	pretty
primitive	ADJ	primitive
.	PUNCT	.
Of	ADV	of
course	ADV	course
,	PUNCT	,
gunpowder	NOUN	gunpowder
's	AUX	be
one	NUM	one
of	ADP	of
those	DET	those
things	NOUN	thing
a	ADJ	a
primitive	ADJ	primitive
people	NOUN	people
could	AUX	could
discover	VERB	discover
by	ADP	by
accident	NOUN	accident
,	PUNCT	,
if	SCONJ	if
the	DET	the
ingredients	NOUN	ingredient
were	AUX	be
available	ADJ	available
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
We	PRON	we
wo	AUX	will
n't	PART	not
take	VERB	take
any	DET	any
chances	NOUN	chance
,	PUNCT	,
then	ADV	then
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
You	PRON	you
think	VERB	think
they	PRON	they
're	AUX	be
hostile	ADJ	hostile
?	PUNCT	?
I	PRON	I
was	AUX	be
hoping	VERB	hope
they	PRON	they
were	AUX	be
coming	VERB	come
out	ADP	out
to	ADP	to
parley	PROPN	parley
with	ADP	with
us	PRON	we
.	PUNCT	.
""""	PUNCT	""""
That	DET	that
was	AUX	be
Paul	PROPN	Paul
Meillard	PROPN	Meillard
.	PUNCT	.
He	PRON	he
had	AUX	have
a	DET	a
right	NOUN	right
to	PART	to
be	AUX	be
anxious	ADJ	anxious
;	PUNCT	;
his	PRON	his
whole	ADJ	whole
future	NOUN	future
in	ADP	in
the	DET	the
Colonial	PROPN	Colonial
Office	PROPN	Office
would	AUX	would
be	AUX	be
made	VERB	make
or	CCONJ	or
ruined	VERB	ruin
by	ADP	by
what	PRON	what
was	AUX	be
going	VERB	go
to	PART	to
happen	VERB	happen
here	ADV	here
.	PUNCT	.
The	DET	the
joint	ADJ	joint
Space	PROPN	Space
Navy	PROPN	Navy
-	PUNCT	-
Colonial	PROPN	Colonial
Office	PROPN	Office
expedition	NOUN	expedition
was	AUX	be
looking	VERB	look
for	ADP	for
new	ADJ	new
planets	NOUN	planet
suitable	ADJ	suitable
for	ADP	for
colonization	NOUN	colonization
;	PUNCT	;
they	PRON	they
had	AUX	have
been	AUX	be
out	ADV	out
,	PUNCT	,
now	ADV	now
,	PUNCT	,
for	ADP	for
four	NUM	four
years	NOUN	year
,	PUNCT	,
which	DET	which
was	AUX	be
close	ADJ	close
to	ADP	to
maximum	NOUN	maximum
for	ADP	for
an	DET	an
exploring	NOUN	exploring
expedition	NOUN	expedition
.	PUNCT	.
They	PRON	they
had	AUX	have
entered	VERB	enter
eleven	NUM	eleven
systems	NOUN	system
,	PUNCT	,
and	CCONJ	and
made	VERB	make
landings	NOUN	landing
on	ADP	on
eight	NUM	eight
planets	NOUN	planet
.	PUNCT	.
Three	NUM	three
had	AUX	have
been	AUX	be
reasonably	ADV	reasonably
close	ADJ	close
to	ADP	to
Terra	PROPN	Terra
-	PUNCT	-
type	NOUN	type
.	PUNCT	.
There	PRON	there
had	AUX	have
been	AUX	be
Fafnir	PROPN	Fafnir
;	PUNCT	;
conditions	NOUN	condition
there	ADV	there
would	AUX	would
correspond	VERB	correspond
to	ADP	to
Terra	PROPN	Terra
during	ADP	during
the	DET	the
Cretaceous	ADJ	cretaceous
Period	PROPN	Period
,	PUNCT	,
but	CCONJ	but
any	DET	any
Cretaceous	ADJ	cretaceous
dinosaur	NOUN	dinosaur
would	AUX	would
have	AUX	have
been	AUX	be
cute	ADJ	cute
and	CCONJ	and
cuddly	ADJ	cuddly
to	ADP	to
the	DET	the
things	NOUN	thing
on	ADP	on
Fafnir	PROPN	Fafnir
.	PUNCT	.
Then	ADV	then
there	PRON	there
had	AUX	have
been	AUX	be
Imhotep	PROPN	Imhotep
;	PUNCT	;
in	ADP	in
twenty	NUM	twenty
or	CCONJ	or
thirty	NUM	thirty
thousand	NUM	thousand
years	NOUN	year
,	PUNCT	,
it	PRON	it
would	AUX	would
be	AUX	be
a	DET	a
