SIGHT	PROPN	SIGHT
UNSEEN	PROPN	UNSEEN
By	ADP	by
Mary	PROPN	Mary
Roberts	PROPN	Roberts
Rinehart	PROPN	Rinehart
I	PROPN	I
The	DET	the
rather	ADV	rather
extraordinary	ADJ	extraordinary
story	NOUN	story
revealed	VERB	reveal
by	ADP	by
the	DET	the
experiments	NOUN	experiment
of	ADP	of
the	DET	the
Neighborhood	PROPN	Neighborhood
Club	PROPN	Club
have	AUX	have
been	AUX	be
until	ADP	until
now	ADV	now
a	DET	a
matter	NOUN	matter
only	ADV	only
of	ADP	of
private	ADJ	private
record	NOUN	record
.	PUNCT	.
But	CCONJ	but
it	PRON	it
seems	VERB	seem
to	ADP	to
me	PRON	I
,	PUNCT	,
as	ADP	as
an	DET	an
active	ADJ	active
participant	NOUN	participant
in	ADP	in
the	DET	the
investigations	NOUN	investigation
,	PUNCT	,
that	SCONJ	that
they	PRON	they
should	AUX	should
be	AUX	be
given	VERB	give
to	ADP	to
the	DET	the
public	NOUN	public
;	PUNCT	;
not	PART	not
so	ADV	so
much	ADV	much
for	ADP	for
what	PRON	what
they	PRON	they
will	AUX	will
add	VERB	add
to	ADP	to
the	DET	the
existing	VERB	exist
data	NOUN	datum
on	ADP	on
psychical	ADJ	psychical
research	NOUN	research
,	PUNCT	,
for	ADP	for
from	ADP	from
that	DET	that
angle	NOUN	angle
they	PRON	they
were	AUX	be
not	PART	not
unusual	ADJ	unusual
,	PUNCT	,
but	CCONJ	but
as	ADP	as
yet	ADV	yet
another	DET	another
exploration	NOUN	exploration
into	ADP	into
that	DET	that
still	ADV	still
uncharted	ADJ	uncharted
territory	NOUN	territory
,	PUNCT	,
the	DET	the
human	ADJ	human
mind	NOUN	mind
.	PUNCT	.
The	DET	the
psycho	NOUN	psycho
-	PUNCT	-
analysts	NOUN	analyst
have	AUX	have
taught	VERB	teach
us	PRON	we
something	PRON	something
about	ADP	about
the	DET	the
individual	ADJ	individual
mind	NOUN	mind
.	PUNCT	.
They	PRON	they
have	AUX	have
their	PRON	their
own	ADJ	own
patter	NOUN	patter
,	PUNCT	,
of	ADP	of
complexes	NOUN	complex
and	CCONJ	and
primal	ADJ	primal
instincts	NOUN	instinct
,	PUNCT	,
of	ADP	of
the	DET	the
unconscious	NOUN	unconscious
,	PUNCT	,
which	DET	which
is	AUX	be
a	DET	a
sort	NOUN	sort
of	ADP	of
bonded	VERB	bond
warehouse	NOUN	warehouse
from	ADP	from
which	DET	which
we	PRON	we
clandestinely	ADV	clandestinely
withdraw	VERB	withdraw
our	PRON	our
stored	VERB	store
thoughts	NOUN	thought
and	CCONJ	and
impressions	NOUN	impression
.	PUNCT	.
They	PRON	they
lay	VERB	lie
to	ADP	to
this	DET	this
unconscious	ADJ	unconscious
mind	NOUN	mind
of	ADP	of
ours	NOUN	our
all	DET	all
phenomena	NOUN	phenomenon
that	PRON	that
can	AUX	can
not	PART	not
otherwise	ADV	otherwise
be	AUX	be
labeled	VERB	label
,	PUNCT	,
and	CCONJ	and
ascribe	VERB	ascribe
such	ADJ	such
demonstrations	NOUN	demonstration
of	ADP	of
power	NOUN	power
as	ADP	as
can	AUX	can
not	PART	not
thus	ADV	thus
be	AUX	be
explained	VERB	explain
to	ADP	to
trickery	NOUN	trickery
,	PUNCT	,
to	ADP	to
black	ADJ	black
silk	NOUN	silk
threads	NOUN	thread
and	CCONJ	and
folding	NOUN	folding
rods	NOUN	rod
,	PUNCT	,
to	ADP	to
slates	NOUN	slate
with	ADP	with
false	ADJ	false
sides	NOUN	side
and	CCONJ	and
a	DET	a
medium	NOUN	medium
with	ADP	with
chalk	NOUN	chalk
on	ADP	on
his	PRON	his
finger	NOUN	finger
nail	NOUN	nail
.	PUNCT	.
In	ADP	in
other	ADJ	other
words	NOUN	word
,	PUNCT	,
they	PRON	they
give	VERB	give
us	PRON	we
subjective	ADJ	subjective
mind	NOUN	mind
but	CCONJ	but
never	ADV	never
objective	ADJ	objective
mind	NOUN	mind
.	PUNCT	.
They	PRON	they
take	VERB	take
the	DET	the
mind	NOUN	mind
and	CCONJ	and
its	PRON	its
reactions	NOUN	reaction
on	ADP	on
itself	PRON	itself
and	CCONJ	and
on	ADP	on
the	DET	the
body	NOUN	body
.	PUNCT	.
But	CCONJ	but
what	PRON	what
about	ADP	about
objective	ADJ	objective
mind	NOUN	mind
?	PUNCT	?
Does	AUX	do
it	PRON	it
make	VERB	make
its	PRON	its
only	ADJ	only
outward	ADJ	outward
manifestations	NOUN	manifestation
through	ADP	through
speech	NOUN	speech
and	CCONJ	and
action	NOUN	action
?	PUNCT	?
Can	AUX	can
