More	ADJ	More
About	ADP	about
Peggy	PROPN	Peggy
,	PUNCT	,
by	ADP	by
Mrs	PROPN	Mrs
G.	PROPN	G.
de	PROPN	de
Horne	PROPN	Horne
Vaizey	PROPN	Vaizey
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
This	DET	this
is	AUX	be
another	DET	another
excellent	ADJ	excellent
book	NOUN	book
by	ADP	by
Mrs	PROPN	Mrs
de	PROPN	de
Horne	PROPN	Horne
Vaizey	PROPN	Vaizey
,	PUNCT	,
dating	VERB	date
from	ADP	from
the	DET	the
end	NOUN	end
of	ADP	of
the	DET	the
nineteenth	ADJ	nineteenth
century	NOUN	century
.	PUNCT	.
While	SCONJ	while
of	ADP	of
course	ADV	course
it	PRON	it
is	AUX	be
dated	VERB	date
in	ADP	in
its	PRON	its
references	NOUN	reference
to	ADP	to
the	DET	the
world	NOUN	world
around	ADP	around
its	PRON	its
actors	NOUN	actor
,	PUNCT	,
yet	ADV	yet
nevertheless	ADV	nevertheless
their	PRON	their
emotions	NOUN	emotion
are	AUX	be
well	ADV	well
-	PUNCT	-
described	VERB	describe
,	PUNCT	,
and	CCONJ	and
no	ADV	no
doubt	ADV	doubt
are	AUX	be
timeless	ADJ	timeless
.	PUNCT	.
In	ADP	in
some	DET	some
ways	NOUN	way
the	DET	the
world	NOUN	world
around	ADP	around
the	DET	the
people	NOUN	people
in	ADP	in
the	DET	the
book	NOUN	book
is	AUX	be
recognisable	ADJ	recognisable
today	NOUN	today
,	PUNCT	,
in	ADP	in
a	DET	a
way	NOUN	way
which	DET	which
a	DET	a
book	NOUN	book
written	VERB	write
thirty	NUM	thirty
or	CCONJ	or
forty	NUM	forty
years	NOUN	year
before	ADV	before
would	AUX	would
not	PART	not
have	AUX	have
been	AUX	be
.	PUNCT	.
They	PRON	they
have	AUX	have
electricity	NOUN	electricity
,	PUNCT	,
telephones	NOUN	telephone
,	PUNCT	,
trains	NOUN	train
,	PUNCT	,
buses	NOUN	bus
,	PUNCT	,
and	CCONJ	and
many	ADJ	many
other	ADJ	other
things	NOUN	thing
that	PRON	that
we	PRON	we
still	ADV	still
use	VERB	use
regularly	ADV	regularly
today	NOUN	today
.	PUNCT	.
Of	ADV	of
course	ADV	course
one	NUM	one
major	ADJ	major
difference	NOUN	difference
is	AUX	be
that	SCONJ	that
few	ADJ	few
people	NOUN	people
today	NOUN	today
have	AUX	have
servants	NOUN	servant
,	PUNCT	,
while	SCONJ	while
middle	ADJ	middle
-	PUNCT	-
class	NOUN	class
and	CCONJ	and
upper	ADJ	upper
-	PUNCT	-
class	NOUN	class
families	NOUN	family
of	ADP	of
the	DET	the
eighteen	NUM	eighteen
nineties	NOUN	ninety
would	AUX	would
certainly	ADV	certainly
have	AUX	have
had	AUX	have
them	PRON	they
.	PUNCT	.
Today	NOUN	today
we	PRON	we
travel	VERB	travel
by	ADP	by
aeroplane	NOUN	aeroplane
,	PUNCT	,
while	SCONJ	while
in	ADP	in
those	DET	those
days	NOUN	day
,	PUNCT	,
and	CCONJ	and
indeed	ADV	indeed
for	ADP	for
much	ADJ	much
of	ADP	of
my	PRON	my
own	ADJ	own
life	NOUN	life
,	PUNCT	,
we	PRON	we
travelled	VERB	travel
by	ADP	by
ship	NOUN	ship
and	CCONJ	and
train	NOUN	train
.	PUNCT	.
It	PRON	it
was	AUX	be
normal	ADJ	normal
when	SCONJ	when
travelling	VERB	travel
back	ADV	back
to	ADP	to
England	PROPN	England
from	ADP	from
India	PROPN	India
to	PART	to
disembark	VERB	disembark
at	ADP	at
Marseilles	PROPN	Marseilles
,	PUNCT	,
and	CCONJ	and
come	VERB	come
on	ADP	on
to	ADP	to
the	DET	the
Channel	PROPN	Channel
Ports	PROPN	Ports
by	ADP	by
train	NOUN	train
,	PUNCT	,
perhaps	ADV	perhaps
even	ADV	even
spending	VERB	spend
a	DET	a
week	NOUN	week
or	CCONJ	or
two	NUM	two
in	ADP	in
Italy	PROPN	Italy
,	PUNCT	,
en	ADP	en
route	NOUN	route
.	PUNCT	.
I	PRON	I
have	AUX	have
done	VERB	do
it	PRON	it
myself	PRON	myself
.	PUNCT	.
So	ADV	so
it	PRON	it
is	AUX	be
not	PART	not
so	ADV	so
very	ADV	very
dated	ADJ	dated
after	ADV	after
all	ADV	all
.	PUNCT	.
But	CCONJ	but
I	PRON	I
do	AUX	do
think	VERB	think
there	PRON	there
is	AUX	be
a	DET	a
real	ADJ	real
value	NOUN	value
in	ADP	in
reading	VERB	read
the	DET	the
book	NOUN	book
.	PUNCT	.
Oddly	ADV	oddly
enough	ADV	enough
,	PUNCT	,
I	PRON	I
think	VERB	think
that	SCONJ	that
a	DET	a
boy	NOUN	boy
would	AUX	would
benefit	VERB	benefit
from	ADP	from
reading	VERB	read
any	DET	any
of	ADP	of
the	DET	the
author	NOUN	author
's	PART	's
books	NOUN	book
,	PUNCT	,
more	ADV	more
than	ADP	than
a	DET	a
girl	NOUN	girl
would	AUX	would
,	PUNCT	,
because	SCONJ	because
it	PRON	it
would	AUX	would
give	VERB	give
him	PRON	he
an	DET	an
insight	NOUN	insight
into	ADP	into
the	DET	the
girlish	ADJ	girlish
mind	NOUN	mind
which	DET	which
he	PRON	he
could	AUX	could
not	PART	not
so	ADV	so
easily	ADV	easily
otherwise	ADV	otherwise
obtain	VERB	obtain
.	PUNCT	.
And	CCONJ	and
as	ADP	as
the	DET	the
young	ADJ	young
ladies	NOUN	lady
of	ADP	of
this	DET	this
book	NOUN	book
are	AUX	be
trying	VERB	try
to	PART	to
sort	VERB	sort
out	ADP	out
whom	PRON	whom
they	PRON	they
should	AUX	should
marry	VERB	marry
,	PUNCT	,
matters	NOUN	matter
do	AUX	do
get	VERB	get
quite	ADV	quite
girlish	ADJ	girlish
.	PUNCT	.
N.H.	PUNCT	N.H.
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
_	PUNCT	_
MORE	ADJ	MORE
ABOUT	ADP	about
PEGGY	PROPN	PEGGY
BY	PROPN	BY
MRS	PROPN	MRS
.	PROPN	.
GEORGE	PROPN	GEORGE
DE	PROPN	DE
HORNE	PROPN	HORNE
VAIZEY	PROPN	VAIZEY
CHAPTER	NOUN	chapter
ONE	NUM	one
.	PUNCT	.
It	PRON	it
was	AUX	be
mid	PROPN	mid
-	PROPN	-
January	PROPN	January
,	PUNCT	,
and	CCONJ	and
at	ADP	at
home	NOUN	home
in	ADP	in
England	PROPN	England
the	DET	the
ground	NOUN	ground
was	AUX	be
white	ADJ	white
with	ADP	with
snow	NOUN	snow
,	PUNCT	,
but	CCONJ	but
the	DET	the
sun	NOUN	sun
shone	VERB	shine
down	ADP	down
with	ADP	with
brazen	ADJ	brazen
glare	NOUN	glare
on	ADP	on
the	DET	the
blue	ADJ	blue
waters	NOUN	water
of	ADP	of
the	DET	the
Bay	PROPN	Bay
of	ADP	of
Bengal	PROPN	Bengal
,	PUNCT	,
along	ADP	along
which	DET	which
a	DET	a
P	NOUN	p
and	CCONJ	and
O	NOUN	o
steamer	NOUN	steamer
was	AUX	be
gliding	VERB	glide
on	ADP	on
its	PRON	its
homeward	NOUN	homeward
way	NOUN	way
.	PUNCT	.
An	DET	an
awning	NOUN	awning
was	AUX	be
hoisted	VERB	hoist
over	ADP	over
the	DET	the
deck	NOUN	deck
,	PUNCT	,
but	CCONJ	but
not	PART	not
a	DET	a
breath	NOUN	breath
of	ADP	of
wind	NOUN	wind
fluttered	VERB	flutter
its	PRON	its
borders	NOUN	border
,	PUNCT	,
and	CCONJ	and
the	DET	the
passengers	NOUN	passenger
lay	VERB	lie
back	ADV	back
in	ADP	in
their	PRON	their
deck	NOUN	deck
-	PUNCT	-
chairs	NOUN	chair
too	ADV	too
limp	ADJ	limp
and	CCONJ	and
idle	ADJ	idle
to	PART	to
do	AUX	do
more	ADJ	more
than	ADP	than
flick	VERB	flick
over	ADP	over
the	DET	the
pages	NOUN	page
of	ADP	of
the	DET	the
books	NOUN	book
which	DET	which
they	PRON	they
were	AUX	be
pretending	VERB	pretend
to	PART	to
read	VERB	read
.	PUNCT	.
It	PRON	it
was	AUX	be
only	ADV	only
twenty	NUM	twenty
-	PUNCT	-
four	NUM	four
hours	NOUN	hour
since	SCONJ	since
they	PRON	they
had	AUX	have
left	VERB	leave
Calcutta	PROPN	Calcutta
,	PUNCT	,
and	CCONJ	and
they	PRON	they
were	AUX	be
still	ADV	still
in	ADP	in
that	DET	that
early	ADJ	early
stage	NOUN	stage
of	ADP	of
journeying	NOUN	journeying
when	SCONJ	when
they	PRON	they
looked	VERB	look
askance	ADV	askance
