file	NOUN	file
was	AUX	be
produced	VERB	produce
from	ADP	from
scans	NOUN	scan
of	ADP	of
public	ADJ	public
domain	NOUN	domain
material	NOUN	material
produced	VERB	produce
by	ADP	by
Microsoft	PROPN	Microsoft
for	ADP	for
their	PRON	their
Live	PROPN	Live
Search	PROPN	Search
Books	PROPN	Books
site	NOUN	site
.	PUNCT	.
)	PUNCT	)
Dave	PROPN	Dave
Porter	PROPN	Porter
Series	PROPN	Series
DAVE	PROPN	DAVE
PORTER	PROPN	PORTER
IN	ADP	in
THE	DET	the
GOLD	PROPN	GOLD
FIELDS	PROPN	FIELDS
OR	PROPN	OR
,	PUNCT	,
THE	DET	the
SEARCH	PROPN	SEARCH
FOR	ADP	for
THE	DET	the
LANDSLIDE	PROPN	LANDSLIDE
MINE	PROPN	MINE
BY	PROPN	BY
EDWARD	PROPN	EDWARD
STRATEMEYER	PROPN	STRATEMEYER
Author	PROPN	Author
of	ADP	of
""""	PUNCT	""""
Dave	PROPN	Dave
Porter	PROPN	Porter
at	ADP	at
Oak	PROPN	Oak
Hall	PROPN	Hall
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
The	DET	the
Lakeport	PROPN	Lakeport
Series	PROPN	Series
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Pan	ADJ	pan
-	ADJ	-
American	PROPN	American
Series	PROPN	Series
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Old	PROPN	Old
Glory	PROPN	Glory
Series	PROPN	Series
,	PUNCT	,
""""	PUNCT	""""
etc	X	etc
.	PUNCT	.
_	PUNCT	_
ILLUSTRATED	VERB	illustrate
BY	ADP	by
WALTER	PROPN	WALTER
ROGERS	PROPN	ROGERS
_	PUNCT	_
BOSTON	PROPN	BOSTON
LOTHROP	PROPN	LOTHROP
,	PUNCT	,
LEE	PROPN	LEE
&	CCONJ	&
SHEPARD	PROPN	SHEPARD
CO	PROPN	CO
.	PUNCT	.
Published	VERB	publish
,	PUNCT	,
August	PROPN	August
,	PUNCT	,
1914	NUM	1914
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1914	NUM	1914
,	PUNCT	,
BY	ADP	by
LOTHROP	PROPN	LOTHROP
,	PUNCT	,
LEE	PROPN	LEE
&	CCONJ	&
SHEPARD	PROPN	SHEPARD
CO	PROPN	CO
.	PUNCT	.
_	PUNCT	_
All	DET	all
rights	NOUN	right
reserved	VERB	reserve
_	PUNCT	_
DAVE	PROPN	DAVE
PORTER	PROPN	PORTER
IN	ADP	in
THE	DET	the
GOLD	PROPN	GOLD
FIELDS	PROPN	FIELDS
Norwood	PROPN	Norwood
Press	PROPN	Press
BERWICK	PROPN	BERWICK
AND	CCONJ	and
SMITH	PROPN	SMITH
CO	PROPN	CO
.	PROPN	.
Norwood	PROPN	Norwood
,	PUNCT	,
Mass.	PROPN	Mass.
U.	PROPN	U.
S.	PROPN	S.
A.	PROPN	A.
:	PUNCT	:
""""	PUNCT	""""
A	DET	a
NUGGET	NOUN	nugget
!	PUNCT	!
A	DET	a
NUGGET	NOUN	nugget
OF	ADP	of
GOLD	NOUN	gold
!	PUNCT	!
""""	PUNCT	""""
CRIED	VERB	cry
DAVE	PROPN	DAVE
.	PUNCT	.
]	X	]
CONTENTS	NOUN	content
PREFACE	PROPN	PREFACE
I.	PUNCT	I.
THE	DET	the
LANDSLIDE	PROPN	LANDSLIDE
MINE	PROPN	MINE
II	PROPN	II
.	PUNCT	.
DAVE	PROPN	DAVE
PORTER	PROPN	PORTER
'S	PART	's
PAST	PROPN	PAST
III	NOUN	iii
.	PUNCT	.
CAUGHT	VERB	catch
IN	ADP	in
A	DET	a
STORM	NOUN	storm
IV	NOUN	iv
.	PUNCT	.
A	DET	a
QUESTION	NOUN	question
OF	ADP	of
STOCKS	NOUN	stocks
V.	PUNCT	V.
A	DET	a
TRAP	NOUN	trap
FOR	ADP	for
JOB	PROPN	JOB
HASKERS	PROPN	HASKERS
VI	NOUN	vi
