EBEN	PROPN	EBEN
HOLDEN	PROPN	HOLDEN
A	DET	a
TALE	NOUN	tale
OF	ADP	of
THE	DET	the
NORTH	PROPN	NORTH
COUNTRY	PROPN	COUNTRY
By	ADP	by
Irving	PROPN	Irving
Bacheller	PROPN	Bacheller
PREFACE	PROPN	PREFACE
Early	ADV	early
in	ADP	in
the	DET	the
last	ADJ	last
century	NOUN	century
the	DET	the
hardy	ADJ	hardy
wood	NOUN	wood
-	PUNCT	-
choppers	NOUN	chopper
began	VERB	begin
to	PART	to
come	VERB	come
west	NOUN	west
,	PUNCT	,
out	ADP	out
of	ADP	of
Vermont	PROPN	Vermont
.	PUNCT	.
They	PRON	they
founded	VERB	found
their	PRON	their
homes	NOUN	home
in	ADP	in
the	DET	the
Adirondack	PROPN	Adirondack
wildernesses	NOUN	wilderness
and	CCONJ	and
cleared	VERB	clear
their	PRON	their
rough	ADJ	rough
acres	NOUN	acre
with	ADP	with
the	DET	the
axe	NOUN	axe
and	CCONJ	and
the	DET	the
charcoal	NOUN	charcoal
pit	NOUN	pit
.	PUNCT	.
After	ADP	after
years	NOUN	year
of	ADP	of
toil	NOUN	toil
in	ADP	in
a	DET	a
rigorous	ADJ	rigorous
climate	NOUN	climate
they	PRON	they
left	VERB	leave
their	PRON	their
sons	NOUN	son
little	ADJ	little
besides	SCONJ	besides
a	DET	a
stumpy	ADJ	stumpy
farm	NOUN	farm
and	CCONJ	and
a	DET	a
coon	NOUN	coon
-	PUNCT	-
skin	NOUN	skin
overcoat	NOUN	overcoat
.	PUNCT	.
Far	ADV	far
from	ADP	from
the	DET	the
centres	NOUN	centre
of	ADP	of
life	NOUN	life
their	PRON	their
amusements	NOUN	amusement
,	PUNCT	,
their	PRON	their
humours	NOUN	humour
,	PUNCT	,
their	PRON	their
religion	NOUN	religion
,	PUNCT	,
their	PRON	their
folk	NOUN	folk
lore	NOUN	lore
,	PUNCT	,
their	PRON	their
views	NOUN	view
of	ADP	of
things	NOUN	thing
had	AUX	have
in	ADP	in
them	PRON	they
the	DET	the
flavour	NOUN	flavour
of	ADP	of
the	DET	the
timber	NOUN	timber
lands	NOUN	land
,	PUNCT	,
the	DET	the
simplicity	NOUN	simplicity
of	ADP	of
childhood	NOUN	childhood
.	PUNCT	.
Every	DET	every
son	NOUN	son
was	AUX	be
nurtured	VERB	nurture
in	ADP	in
the	DET	the
love	NOUN	love
of	ADP	of
honour	NOUN	honour
and	CCONJ	and
of	ADP	of
industry	NOUN	industry
,	PUNCT	,
and	CCONJ	and
the	DET	the
hope	NOUN	hope
of	ADP	of
sometime	ADV	sometime
being	AUX	be
president	NOUN	president
.	PUNCT	.
It	PRON	it
is	AUX	be
to	PART	to
be	AUX	be
feared	VERB	fear
this	DET	this
latter	ADJ	latter
