Transcribed	VERB	transcribe
from	ADP	from
the	DET	the
1890	NUM	1890
Macmillan	PROPN	Macmillan
and	CCONJ	and
Co.	PROPN	Co.
edition	NOUN	edition
by	ADP	by
David	PROPN	David
Price	PROPN	Price
,	PUNCT	,
email	X	email
ccx074@pglaf.org	X	ccx074@pglaf.org
THE	DET	the
DOVE	PROPN	DOVE
IN	PROPN	IN
THE	DET	the
EAGLE	PROPN	EAGLE
'S	PART	's
NEST	PROPN	NEST
BY	PROPN	BY
CHARLOTTE	PROPN	CHARLOTTE
M.	PROPN	M.
YONGE	PROPN	YONGE
[	PUNCT	[
Picture	NOUN	picture
:	PUNCT	:
Sitting	VERB	sit
at	ADP	at
the	DET	the
desk	NOUN	desk
]	X	]
_	PUNCT	_
ILLUSTRATED	VERB	illustrate
BY	ADP	by
W.	PROPN	W.
J.	PROPN	J.
HENNESSY	PROPN	HENNESSY
_	PUNCT	_
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
London	PROPN	London
MACMILLAN	PROPN	MACMILLAN
AND	CCONJ	and
CO	PROPN	CO
.	PROPN	.
AND	CCONJ	and
NEW	PROPN	NEW
YORK	PROPN	YORK
1890	NUM	1890
_	X	_
The	DET	the
Right	NOUN	right
of	ADP	of
Translation	NOUN	translation
is	AUX	be
Reserved	VERB	reserve
_	PUNCT	_
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
_	PUNCT	_
First	ADJ	first
Edition	PROPN	Edition
_	PUNCT	_
(	PUNCT	(
2	NUM	2
vols	NOUN	vol
.	PUNCT	.
Crown	PROPN	Crown
8vo	NUM	8vo
)	PUNCT	)
,	PUNCT	,
1866	NUM	1866
.	PUNCT	.
_	PUNCT	_
New	PROPN	New
Edition	PROPN	Edition
_	PUNCT	_
(	PUNCT	(
1	NUM	1
vol	NOUN	vol
.	NOUN	.
Crown	PROPN	Crown
8vo	NUM	8vo
)	PUNCT	)
,	PUNCT	,
1869	NUM	1869
.	PUNCT	.
_	PUNCT	_
Reprinted	VERB	reprint
_	PUNCT	_
1871	NUM	1871
;	PUNCT	;
January	PROPN	January
and	CCONJ	and
November	PROPN	November
1873	NUM	1873
;	PUNCT	;
1875	NUM	1875
;	PUNCT	;
1876	NUM	1876
;	PUNCT	;
1879	NUM	1879
;	PUNCT	;
1882	NUM	1882
;	PUNCT	;
1883	NUM	1883
;	PUNCT	;
1884	NUM	1884
;	PUNCT	;
1888	NUM	1888
.	PUNCT	.
_	PUNCT	_
New	PROPN	New
Edition	PROPN	Edition
_	PUNCT	_
,	PUNCT	,
1889	NUM	1889
.	PUNCT	.
_	PUNCT	_
Reprinted	VERB	reprint
_	X	_
1890	NUM	1890
