[	X	[
Frontispiece	NOUN	frontispiece
:	PUNCT	:
""""	PUNCT	""""
But	CCONJ	but
,	PUNCT	,
Hugo	PROPN	Hugo
dear	NOUN	dear
,	PUNCT	,
""""	PUNCT	""""
she	PRON	she
said	VERB	say
,	PUNCT	,
""""	PUNCT	""""
why	SCONJ	why
did	AUX	do
you	PRON	you
not	PART	not
tell	VERB	tell
me	PRON	I
long	ADV	long
ago	ADV	ago
?	PUNCT	?
""""	PUNCT	""""
]	X	]
A	DET	a
LAME	ADJ	lame
DOG	PROPN	DOG
'S	PART	's
DIARY	NOUN	DIARY
S.	PROPN	S.
Macnaughtan	PROPN	Macnaughtan
Thomas	PROPN	Thomas
Nelson	PROPN	Nelson
and	CCONJ	and
Sons	PROPN	Sons
,	PUNCT	,
London	PROPN	London
,	PUNCT	,
Edinburgh	PROPN	Edinburgh
,	PUNCT	,
and	CCONJ	and
New	PROPN	New
York	PROPN	York
1908	NUM	1908
A	DET	a
LAME	ADJ	lame
DOG	PROPN	DOG
'S	PART	's
DIARY	PROPN	DIARY
.	PUNCT	.
CHAPTER	NOUN	chapter
I.	NUM	i.
Perhaps	ADV	perhaps
curiosity	NOUN	curiosity
has	AUX	have
never	ADV	never
been	AUX	be
more	ADV	more
keen	ADJ	keen
,	PUNCT	,
nor	CCONJ	nor
mystery	NOUN	mystery
more	ADV	more
baffling	ADJ	baffling
,	PUNCT	,
than	ADP	than
has	AUX	have
been	AUX	be
the	DET	the
case	NOUN	case
during	ADP	during
the	DET	the
last	ADJ	last
few	ADJ	few
weeks	NOUN	week
.	PUNCT	.
There	PRON	there
have	AUX	have
been	AUX	be
""""	PUNCT	""""
a	DET	a
few	ADJ	few
friends	NOUN	friend
to	ADP	to
tea	NOUN	tea
""""	PUNCT	""""
at	ADP	at
almost	ADV	almost
every	DET	every
house	NOUN	house
in	ADP	in
the	DET	the
village	NOUN	village
to	PART	to
see	VERB	see
if	SCONJ	if
in	ADP	in
this	DET	this
way	NOUN	way
any	DET	any
reasonable	ADJ	reasonable
conclusions	NOUN	conclusion
can	AUX	can
be	AUX	be
arrived	VERB	arrive
at	ADP	at
,	PUNCT	,
and	CCONJ	and
even	ADV	even
Palestrina	PROPN	Palestrina
is	AUX	be
satisfied	VERB	satisfy
with	ADP	with
the	DET	the
number	NOUN	number
of	ADP	of
people	NOUN	people
who	PRON	who
have	AUX	have
taken	VERB	take
the	DET	the
trouble	NOUN	trouble
to	PART	to
walk	VERB	walk
up	ADP	up
the	DET	the
hill	NOUN	hill
and	CCONJ	and
chat	VERB	chat
by	ADP	by
my	PRON	my
sofa	NOUN	sofa
in	ADP	in
the	DET	the
afternoons	NOUN	afternoon
.	PUNCT	.
But	CCONJ	but
although	SCONJ	although
each	DET	each
lady	NOUN	lady
who	PRON	who
has	AUX	have
called	VERB	call
has	AUX	have
remarked	VERB	remark
that	SCONJ	that
she	PRON	she
is	AUX	be
in	ADP	in
the	DET	the
secret	ADJ	secret
,	PUNCT	,
but	CCONJ	but
at	ADP	at
present	NOUN	present
is	AUX	be
not	PART	not
at	ADP	at
liberty	NOUN	liberty
to	PART	to
say	VERB	say
anything	PRON	anything
about	ADP	about
it	PRON	it
,	PUNCT	,
we	PRON	we
are	AUX	be
inclined	ADJ	inclined
to	PART	to
think	VERB	think
that	SCONJ	that
this	DET	this
is	AUX	be
vain	ADJ	vain
boasting	NOUN	boasting
,	PUNCT	,
or	CCONJ	or
at	ADP	at
least	ADJ	least
selfish	ADJ	selfish
reticence	NOUN	reticence
.	PUNCT	.
The	DET	the
two	NUM	two
Miss	PROPN	Miss
Traceys	PROPN	Traceys
have	AUX	have
announced	VERB	announce
to	ADP	to
almost	ADV	almost
every	DET	every
caller	NOUN	caller
at	ADP	at
their	PRON	their
little	ADJ	little
cottage	NOUN	cottage
during	ADP	during
the	DET	the
last	ADJ	last
two	NUM	two
years	NOUN	year
that	SCONJ	that
they	PRON	they
intend	VERB	intend
to	PART	to
build	VERB	build
.	PUNCT	.
We	PRON	we
have	AUX	have
all	DET	all
been	AUX	be
naturally	ADV	naturally
a	DET	a
good	ADJ	good
deal	NOUN	deal
impressed	ADJ	impressed
by	ADP	by
this	DET	this
statement	NOUN	statement
,	PUNCT	,
and	CCONJ	and
although	SCONJ	although
it	PRON	it
was	AUX	be
never	ADV	never
plainly	ADV	plainly
said	VERB	say
what	PRON	what
the	DET	the
structure	NOUN	structure
was	AUX	be
to	PART	to
be	AUX	be
,	PUNCT	,
we	PRON	we
had	AUX	have
had	AUX	have
for	ADP	for
a	DET	a
long	ADJ	long
time	NOUN	time
a	DET	a
notion	NOUN	notion
of	ADP	of
a	DET	a
detached	ADJ	detached
house	NOUN	house
on	ADP	on
the	DET	the
Common	PROPN	Common
.	PUNCT	.
And	CCONJ	and
surely	ADV	surely
enough	ADV	enough
the	DET	the
foundation	NOUN	foundation
-	PUNCT	-
stone	NOUN	stone
was	AUX	be
laid	VERB	lay
last	ADJ	last
year	NOUN	year
by	ADP	by
Miss	PROPN	Miss
Ruby	PROPN	Ruby
Tracey	PROPN	Tracey
with	ADP	with
some	DET	some
ceremony	NOUN	ceremony
,	PUNCT	,
and	CCONJ	and
the	DET	the
first	ADJ	first
turf	NOUN	turf
of	ADP	of
the	DET	the
garden	NOUN	garden
was	AUX	be
cut	VERB	cut
by	ADP	by
Miss	PROPN	Miss
Tracey	PROPN	Tracey
,	PUNCT	,
and	CCONJ	and
only	ADV	only
last	ADJ	last
month	NOUN	month
the	DET	the
whole	NOUN	whole
of	ADP	of
the	DET	the
Fern	PROPN	Fern
Cottage	PROPN	Cottage
furniture	NOUN	furniture
was	AUX	be
removed	VERB	remove
in	ADP	in
a	DET	a
van	NOUN	van
to	ADP	to
Fairview	PROPN	Fairview
,	PUNCT	,
as	ADP	as
the	DET	the
new	ADJ	new
house	NOUN	house
is	AUX	be
called	VERB	call
--	PUNCT	--
the	DET	the
handsomer	NOUN	handsomer
pieces	NOUN	piece
placed	VERB	place
upon	SCONJ	upon
the	DET	the
outside	NOUN	outside
of	ADP	of
the	DET	the
van	NOUN	van
,	PUNCT	,
and	CCONJ	and
the	DET	the
commoner	NOUN	commoner
and	CCONJ	and
least	ADJ	least
creditable	ADJ	creditable
of	ADP	of
the	DET	the
bedroom	NOUN	bedroom
furniture	NOUN	furniture
within	ADV	within
.	PUNCT	.
Every	DET	every
one	NUM	one
was	AUX	be
at	ADP	at
his	PRON	his
or	CCONJ	or
her	PRON	her
window	NOUN	window
on	ADP	on
the	DET	the
day	NOUN	day
that	PRON	that
the	DET	the
Miss	PROPN	Miss
Traceys	PROPN	Traceys
'	PART	'
furniture	NOUN	furniture
,	PUNCT	,
with	ADP	with
the	DET	the
best	ADJ	good
cabinet	NOUN	cabinet
and	CCONJ	and
the	DET	the
inlaid	ADJ	inlaid
card	NOUN	card
-	PUNCT	-
table	NOUN	table
duly	ADV	duly
displayed	VERB	display
,	PUNCT	,
was	AUX	be
driven	VERB	drive
in	ADP	in
state	NOUN	state
by	ADP	by
the	DET	the
driver	NOUN	driver
of	ADP	of
the	DET	the
station	NOUN	station
omnibus	NOUN	omnibus
through	ADP	through
the	DET	the
town	NOUN	town
.	PUNCT	.
A	DET	a
rumour	NOUN	rumour
got	VERB	get
abroad	ADV	abroad
that	SCONJ	that
even	ADV	even
more	ADV	more
beautiful	ADJ	beautiful
things	NOUN	thing
were	AUX	be
concealed	VERB	conceal
from	ADP	from
view	NOUN	view
inside	ADP	inside
the	DET	the
van	NOUN	van
,	PUNCT	,
and	CCONJ	and
the	DET	the
Miss	PROPN	Miss
Traceys	PROPN	Traceys
satisfied	VERB	satisfy
their	PRON	their
consciences	NOUN	conscience
by	ADP	by
saying	VERB	say
,	PUNCT	,
""""	PUNCT	""""
We	PRON	we
did	AUX	do
not	PART	not
spread	VERB	spread
the	DET	the
rumour	NOUN	rumour
,	PUNCT	,
and	CCONJ	and
we	PRON	we
shall	AUX	shall
not	PART	not
contradict	VERB	contradict
it	PRON	it
.	PUNCT	.
""""	PUNCT	""""
But	CCONJ	but
the	DET	the
mystery	NOUN	mystery
concerns	VERB	concern
the	DET	the
furniture	NOUN	furniture
in	ADP	in
quite	DET	quite
a	DET	a
secondary	ADJ	secondary
sort	NOUN	sort
of	ADP	of
way	NOUN	way
,	PUNCT	,
and	CCONJ	and
it	PRON	it
is	AUX	be
only	ADV	only
important	ADJ	important
as	ADP	as
being	AUX	be
the	DET	the
means	NOUN	means
of	ADP	of
giving	VERB	give
rise	NOUN	rise
to	ADP	to
the	DET	the
much	ADV	much
-	PUNCT	-
discussed	VERB	discuss
rumour	NOUN	rumour
in	ADP	in
the	DET	the
town	NOUN	town
.	PUNCT	.
For	ADP	for
mark	NOUN	mark
,	PUNCT	,
the	DET	the
drawing	NOUN	drawing
-	PUNCT	-
room	NOUN	room
furniture	NOUN	furniture
was	AUX	be
taken	VERB	take
at	ADP	at
once	ADV	once
and	CCONJ	and
stored	VERB	store
in	ADP	in
a	DET	a
spare	ADJ	spare
bedroom	NOUN	bedroom
,	PUNCT	,
and	CCONJ	and
the	DET	the
drawing	NOUN	drawing
-	PUNCT	-
room	NOUN	room
was	AUX	be
left	VERB	leave
unfurnished	ADJ	unfurnished
.	PUNCT	.
This	DET	this
fact	NOUN	fact
might	AUX	might
have	AUX	have
remained	VERB	remain
in	ADJ	in
obscurity	NOUN	obscurity
,	PUNCT	,
for	ADP	for
in	ADP	in
winter	NOUN	winter
time	NOUN	time
,	PUNCT	,
at	ADP	at
least	ADJ	least
,	PUNCT	,
it	PRON	it
is	AUX	be
not	PART	not
unusual	ADJ	unusual
for	ADP	for
ladies	NOUN	lady
to	PART	to
receive	VERB	receive
guests	NOUN	guest
in	ADP	in
the	DET	the
dining	NOUN	dining
-	PUNCT	-
room	NOUN	room
with	ADP	with
