scanned	VERB	scan
images	NOUN	image
of	ADP	of
public	ADJ	public
domain	NOUN	domain
material	NOUN	material
from	ADP	from
the	DET	the
Google	PROPN	Google
Print	PROPN	Print
archive	NOUN	archive
.	PUNCT	.
The	DET	the
Pocket	PROPN	Pocket
Books	PROPN	Books
A	DET	a
series	NOUN	series
designed	VERB	design
to	PART	to
represent	VERB	represent
the	DET	the
three	NUM	three
aspects	NOUN	aspect
of	ADP	of
American	ADJ	american
romance,--adventure	NOUN	romance,--adventure
,	PUNCT	,
mystery	NOUN	mystery
and	CCONJ	and
humor	NOUN	humor
THE	DET	the
AMETHYST	PROPN	AMETHYST
BOX	PROPN	BOX
By	ADP	by
Anna	PROPN	Anna
Katharine	PROPN	Katharine
Green	PROPN	Green
A	DET	a
detective	NOUN	detective
story	NOUN	story
of	ADP	of
a	DET	a
Newport	PROPN	Newport
wedding	NOUN	wedding
THE	DET	the
HOUSE	PROPN	HOUSE
IN	PROPN	IN
THE	DET	the
MIST	PROPN	MIST
By	ADP	by
Anna	PROPN	Anna
Katharine	PROPN	Katharine
Green	PROPN	Green
A	DET	a
tale	NOUN	tale
of	ADP	of
unexpected	ADJ	unexpected
fortunes	NOUN	fortune
.	PUNCT	.
Including	VERB	include
also	ADV	also
The	DET	the
Ruby	PROPN	Ruby
and	CCONJ	and
the	DET	the
Caldron	PROPN	Caldron
ENCHANTMENT	PROPN	ENCHANTMENT
By	ADP	by
Harold	PROPN	Harold
MacGrath	PROPN	MacGrath
Short	ADJ	short
stories	NOUN	story
of	ADP	of
whimsical	ADJ	whimsical
adventure	NOUN	adventure
THE	DET	the
PRINCESS	PROPN	PRINCESS
ELOPES	PROPN	ELOPES
By	ADP	by
Harold	PROPN	Harold
MacGrath	PROPN	MacGrath
An	DET	an
extravagant	ADJ	extravagant
romance	NOUN	romance
of	ADP	of
a	DET	a
European	ADJ	european
Duchy	NOUN	duchy
THE	DET	the
MOTORMANIACS	PROPN	MOTORMANIACS
By	ADP	by
Lloyd	PROPN	Lloyd
Osbourne	PROPN	Osbourne
Tales	NOUN	tale
of	ADP	of
the	DET	the
road	NOUN	road
and	CCONJ	and
the	DET	the
automobile	NOUN	automobile
THE	DET	the
HOUSE	PROPN	HOUSE
IN	ADP	in
THE	DET	the
MIST	PROPN	MIST
_	PUNCT	_
By	ADP	by
_	PUNCT	_
ANNA	PROPN	ANNA
KATHARINE	PROPN	KATHARINE
GREEN	PROPN	GREEN
Author	NOUN	author
of	ADP	of
The	DET	the
Millionaire	PROPN	Millionaire
Baby	PROPN	Baby
The	DET	the
Amethyst	PROPN	Amethyst
Box	PROPN	Box
The	DET	the
Filigree	PROPN	Filigree
Ball	PROPN	Ball
,	PUNCT	,
etc	X	etc
.	X	.
,	PUNCT	,
etc	X	etc
.	PUNCT	.
INDIANAPOLIS	PROPN	INDIANAPOLIS
THE	DET	the
BOBBS	PROPN	BOBBS
-	PUNCT	-
MERRILL	PROPN	MERRILL
COMPANY	PROPN	COMPANY
PUBLISHERS	PROPN	PUBLISHERS
COPYRIGHT	PROPN	COPYRIGHT
1905	NUM	1905
THE	DET	the
BOBBS	PROPN	BOBBS
-	PUNCT	-
MERRILL	PROPN	MERRILL
COMPANY	PROPN	COMPANY
