book	NOUN	book
was	AUX	be
produced	VERB	produce
from	ADP	from
images	NOUN	image
made	VERB	make
available	ADJ	available
by	ADP	by
the	DET	the
HathiTrust	PROPN	HathiTrust
Digital	PROPN	Digital
Library	PROPN	Library
.	PUNCT	.
)	PUNCT	)
The	DET	the
Chase	PROPN	Chase
of	ADP	of
the	DET	the
Golden	PROPN	Golden
Plate	PROPN	Plate
:	PUNCT	:
""""	PUNCT	""""
'	PUNCT	'
You	PRON	you
really	ADV	really
do	AUX	do
not	PART	not
love	VERB	love
him	PRON	he
,	PUNCT	,
anyway	ADV	anyway
,	PUNCT	,
'	PUNCT	'
he	PRON	he
ventured	VERB	venture
""""	PUNCT	""""
]	X	]
The	DET	the
Chase	PROPN	Chase
of	ADP	of
the	DET	the
Golden	PROPN	Golden
Plate	PROPN	Plate
By	ADP	by
Jacques	PROPN	Jacques
Futrelle	PROPN	Futrelle
With	ADP	with
Illustrations	NOUN	illustration
by	ADP	by
Will	PROPN	Will
Grefé	PROPN	Grefé
and	PROPN	and
Decorations	NOUN	decoration
by	ADP	by
E.	PROPN	E.
A.	PROPN	A.
Poucher	PROPN	Poucher
New	PROPN	New
York	PROPN	York
Dodd	PROPN	Dodd
,	PUNCT	,
Mead	PROPN	Mead
&	CCONJ	&
Company	PROPN	Company
1906	NUM	1906
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1906	NUM	1906
,	PUNCT	,
BY	PROPN	BY
THE	DET	the
CURTIS	PROPN	CURTIS
PUBLISHING	PROPN	PUBLISHING
COMPANY	PROPN	COMPANY
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1906	NUM	1906
,	PUNCT	,
BY	PROPN	BY
DODD	PROPN	DODD
,	PUNCT	,
MEAD	PROPN	MEAD
&	CCONJ	&
COMPANY	PROPN	COMPANY
_	PUNCT	_
Published	VERB	publish
,	PUNCT	,
October	PROPN	October
,	PUNCT	,
1906	NUM	1906
_	PUNCT	_
To	ADP	to
_	PUNCT	_
Three	NUM	three
Women	NOUN	woman
I	PRON	I
Love	VERB	love
_	PUNCT	_
:	PUNCT	:
FAMA	PROPN	FAMA
,	PUNCT	,
and	CCONJ	and
MAYZIE	PROPN	MAYZIE
,	PUNCT	,
and	CCONJ	and
BERTA	PROPN	BERTA
The	DET	the
Chase	PROPN	Chase
of	ADP	of
the	DET	the
Golden	ADJ	golden
Plate	NOUN	plate
PART	PROPN	PART
I	PROPN	I
THE	DET	the
BURGLAR	PROPN	BURGLAR
AND	CCONJ	and
THE	DET	the
GIRL	PROPN	GIRL
CHAPTER	PROPN	CHAPTER
I	PROPN	I
Cardinal	PROPN	Cardinal
Richelieu	PROPN	Richelieu
and	CCONJ	and
the	DET	the
Mikado	PROPN	Mikado
stepped	VERB	step
out	ADV	out
on	ADP	on
a	DET	a
narrow	ADJ	narrow
balcony	NOUN	balcony
overlooking	VERB	overlook
the	DET	the
entrance	NOUN	entrance
to	ADP	to
Seven	PROPN	Seven
Oaks	PROPN	Oaks
,	PUNCT	,
lighted	VERB	light
their	PRON	their
cigarettes	NOUN	cigarette
and	CCONJ	and
stood	VERB	stand
idly	ADV	idly
watching	VERB	watch
the	DET	the
throng	NOUN	throng
as	ADP	as
it	PRON	it
poured	VERB	pour
up	ADP	up
the	DET	the
wide	ADJ	wide
marble	NOUN	marble
steps	NOUN	step
.	PUNCT	.
Here	ADV	here
was	AUX	be
an	DET	an
over	ADV	over
-	PUNCT	-
corpulent	ADJ	corpulent
Dowager	PROPN	Dowager
Empress	PROPN	Empress
of	ADP	of
China	PROPN	China
,	PUNCT	,
there	ADV	there
an	DET	an
Indian	PROPN	Indian
warrior	NOUN	warrior
in	ADP	in
full	ADJ	full
paint	NOUN	paint
and	CCONJ	and
toggery	NOUN	toggery
,	PUNCT	,
and	CCONJ	and
mincing	VERB	mince
along	ADP	along
behind	ADP	behind
him	PRON	he
two	NUM	two
giggling	VERB	giggle
Geisha	PROPN	Geisha
girls	NOUN	girl
