JEANNE	PROPN	JEANNE
OF	ADP	of
THE	DET	the
MARSHES	PROPN	MARSHES
BY	PROPN	BY
E.	PUNCT	E.
PHILLIPS	PROPN	PHILLIPS
OPPENHEIM	PROPN	OPPENHEIM
AUTHOR	NOUN	author
OF	ADP	of
""""	PUNCT	""""
A	DET	a
MAKER	NOUN	maker
OF	ADP	of
HISTORY	NOUN	history
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
THE	DET	the
MISSIONER	NOUN	missioner
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
THE	DET	the
GOVERNORS	NOUN	governor
,	PUNCT	,
""""	PUNCT	""""
ETC	PROPN	ETC
.	PUNCT	.
ILLUSTRATED	VERB	illustrate
BY	ADP	by
J.	PROPN	J.
V.	PROPN	V.
McFALL	PROPN	McFALL
AND	CCONJ	and
C.	PROPN	C.
E.	PROPN	E.
BROCK	PROPN	BROCK
BOOK	PROPN	BOOK
I	PROPN	I
CHAPTER	NOUN	chapter
I	NUM	i
The	DET	the
Princess	PROPN	Princess
opened	VERB	open
her	PRON	her
eyes	NOUN	eye
at	ADP	at
the	DET	the
sound	NOUN	sound
of	ADP	of
her	PRON	her
maid	NOUN	maid
's	PART	's
approach	NOUN	approach
.	PUNCT	.
She	PRON	she
turned	VERB	turn
her	PRON	her
head	NOUN	head
impatiently	ADV	impatiently
toward	ADP	toward
the	DET	the
door	NOUN	door
.	PUNCT	.
""""	PUNCT	""""
Annette	PROPN	Annette
,	PUNCT	,
""""	PUNCT	""""
she	PRON	she
said	VERB	say
coldly	ADV	coldly
,	PUNCT	,
""""	PUNCT	""""
did	AUX	do
you	PRON	you
misunderstand	VERB	misunderstand
me	PRON	I
?	PUNCT	?
Did	AUX	do
I	PRON	I
not	PART	not
say	VERB	say
that	SCONJ	that
I	PRON	I
was	AUX	be
on	ADP	on
no	DET	no
account	NOUN	account
to	PART	to
be	AUX	be
disturbed	VERB	disturb
this	DET	this
afternoon	NOUN	afternoon
?	PUNCT	?
""""	PUNCT	""""
Annette	PROPN	Annette
was	AUX	be
the	DET	the
picture	NOUN	picture
of	ADP	of
despair	NOUN	despair
.	PUNCT	.
Eyebrows	NOUN	eyebrow
and	CCONJ	and
hands	NOUN	hand
betrayed	VERB	betray
alike	ADV	alike
both	CCONJ	both
her	PRON	her
agitation	NOUN	agitation
of	ADP	of
mind	NOUN	mind
and	CCONJ	and
her	PRON	her
nationality	NOUN	nationality
.	PUNCT	.
""""	PUNCT	""""
Madame	PROPN	Madame
,	PUNCT	,
""""	PUNCT	""""
she	PRON	she
said	VERB	say
,	PUNCT	,
""""	PUNCT	""""
did	AUX	do
I	PRON	I
not	PART	not
say	VERB	say
so	ADV	so
to	ADP	to
monsieur	NOUN	monsieur
?	PUNCT	?
I	PRON	I
begged	VERB	beg
him	PRON	he
to	PART	to
call	VERB	call
again	ADV	again
.	PUNCT	.
I	PRON	I
told	VERB	tell
him	PRON	he
that	SCONJ	that
madame	NOUN	madame
was	AUX	be
lying	VERB	lie
down	ADP	down
with	ADP	with
a	DET	a
bad	ADJ	bad
headache	NOUN	headache
,	PUNCT	,
and	CCONJ	and
that	SCONJ	that
it	PRON	it
was	AUX	be
as	ADV	as
much	ADJ	much
as	ADP	as
my	PRON	my
place	NOUN	place
was	AUX	be
worth	ADJ	worth
to	PART	to
disturb	VERB	disturb
her	PRON	she
.	PUNCT	.
What	PRON	what
did	AUX	do
he	PRON	he
answer	VERB	answer
?	PUNCT	?
Only	ADV	only
this	DET	this
.	PUNCT	.
That	SCONJ	that
it	PRON	it
would	AUX	would
be	AUX	be
as	ADV	as
much	ADJ	much
as	ADP	as
my	PRON	my
place	NOUN	place
was	AUX	be
worth	ADJ	worth
if	SCONJ	if
I	PRON	I
did	AUX	do
not	PART	not
come	VERB	come
up	ADV	up
and	CCONJ	and
tell	VERB	tell
you	PRON	you
that	SCONJ	that
he	PRON	he
was	AUX	be
here	ADV	here
to	PART	to
see	VERB	see
you	PRON	you
on	ADP	on
a	DET	a
very	ADV	very
urgent	ADJ	urgent
matter	NOUN	matter
.	PUNCT	.
Indeed	ADV	indeed
,	PUNCT	,
madame	NOUN	madame
,	PUNCT	,
he	PRON	he
was	AUX	be
very	ADV	very
,	PUNCT	,
very	ADV	very
impatient	ADJ	impatient
with	ADP	with
me	PRON	I
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Of	ADP	of
whom	PRON	whom
are	AUX	be
you	PRON	you
talking	VERB	talk
?	PUNCT	?
""""	PUNCT	""""
the	DET	the
Princess	NOUN	princess
asked	VERB	ask
.	PUNCT	.
""""	PUNCT	""""
But	CCONJ	but
of	ADP	of
Major	PROPN	Major
Forrest	PROPN	Forrest
,	PUNCT	,
madame	NOUN	madame
,	PUNCT	,
""""	PUNCT	""""
Annette	PROPN	Annette
declared	VERB	declare
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
is	AUX	be
he	PRON	he
who	PRON	who
waits	VERB	wait
below	ADP	below
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
Princess	NOUN	princess
closed	VERB	close
her	PRON	her
eyes	NOUN	eye
for	ADP	for
a	DET	a
moment	NOUN	moment
and	CCONJ	and
then	ADV	then
slowly	ADV	slowly
opened	VERB	open
them	PRON	they
.	PUNCT	.
She	PRON	she
stretched	VERB	stretch
out	ADP	out
her	PRON	her
hand	NOUN	hand
,	PUNCT	,
and	CCONJ	and
from	ADP	from
a	DET	a
table	NOUN	table
by	ADP	by
her	PRON	her
side	NOUN	side
took	VERB	take
up	ADP	up
a	DET	a
small	ADJ	small
gilt	NOUN	gilt
mirror	NOUN	mirror
.	PUNCT	.
""""	PUNCT	""""
Turn	VERB	turn
on	ADP	on
the	DET	the
lights	NOUN	light
,	PUNCT	,
Annette	PROPN	Annette
,	PUNCT	,
""""	PUNCT	""""
she	PRON	she
commanded	VERB	command
.	PUNCT	.
The	DET	the
maid	NOUN	maid
illuminated	VERB	illuminate
the	DET	the
darkened	VERB	darken
room	NOUN	room
.	PUNCT	.
The	DET	the
Princess	NOUN	princess
gazed	VERB	gaze
at	ADP	at
herself	PRON	herself
in	ADP	in
the	DET	the
mirror	NOUN	mirror
,	PUNCT	,
and	CCONJ	and
reaching	VERB	reach
out	ADV	out
again	ADV	again
took	VERB	take
a	DET	a
small	ADJ	small
powder	NOUN	powder
-	PUNCT	-
puff	NOUN	puff
from	ADP	from
its	PRON	its
case	NOUN	case
and	CCONJ	and
gently	ADV	gently
dabbed	VERB	dab
her	PRON	her
face	NOUN	face
.	PUNCT	.
Then	ADV	then
she	PRON	she
laid	VERB	lay
both	DET	both
mirror	NOUN	mirror
and	CCONJ	and
powder	NOUN	powder
-	PUNCT	-
puff	NOUN	puff
back	ADV	back
in	ADP	in
their	PRON	their
places	NOUN	place
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
will	AUX	will
tell	VERB	tell
monsieur	NOUN	monsieur
,	PUNCT	,
""""	PUNCT	""""
she	PRON	she
said	VERB	say
,	PUNCT	,
""""	PUNCT	""""
that	SCONJ	that
I	PRON	I
am	AUX	be
very	ADV	very
unwell	ADJ	unwell
indeed	ADV	indeed
,	PUNCT	,
but	CCONJ	but
that	SCONJ	that
since	SCONJ	since
he	PRON	he
is	AUX	be
here	ADV	here
and	CCONJ	and
his	PRON	his
business	NOUN	business
is	AUX	be
urgent	ADJ	urgent
I	PRON	I
will	AUX	will
see	VERB	see
him	PRON	he
.	PUNCT	.
Turn	VERB	turn
out	ADP	out
the	DET	the
lights	NOUN	light
,	PUNCT	,
Annette	PROPN	Annette
.	PUNCT	.
I	PRON	I
am	AUX	be
not	PART	not
fit	ADJ	fit
to	PART	to
be	AUX	be
seen	VERB	see
.	PUNCT	.
And	CCONJ	and
move	VERB	move
my	PRON	my
couch	NOUN	couch
a	DET	a
little	ADJ	little
,	PUNCT	,
so	ADV	so
.	PUNCT	.
""""	PUNCT	""""
""""	PUNCT	""""
Madame	PROPN	Madame
is	AUX	be
only	ADV	only
a	DET	a
little	ADJ	little
pale	ADJ	pale
,	PUNCT	,
""""	PUNCT	""""
the	DET	the
maid	NOUN	maid
said	VERB	say
reassuringly	ADV	reassuringly
.	PUNCT	.
""""	PUNCT	""""
That	DET	that
makes	VERB	make
nothing	PRON	nothing
.	PUNCT	.
These	DET	these
Englishwomen	NOUN	englishwoman
have	AUX	have
all	ADV	all
too	ADV	too
much	ADJ	much
colour	NOUN	colour
.	PUNCT	.
I	PRON	I
go	VERB	go
to	PART	to
tell	VERB	tell
monsieur	X	monsieur
.	PUNCT	.
""""	PUNCT	""""
She	PRON	she
disappeared	VERB	disappear
,	PUNCT	,
and	CCONJ	and
the	DET	the
Princess	NOUN	princess
lay	VERB	lie
still	ADV	still
upon	SCONJ	upon
her	PRON	her
couch	NOUN	couch
,	PUNCT	,
thinking	VERB	think
.	PUNCT	.
Soon	ADV	soon
she	PRON	she
heard	VERB	hear
steps	NOUN	step
outside	ADV	outside
,	PUNCT	,
and	CCONJ	and
with	ADP	with
a	DET	a
little	ADJ	little
sigh	NOUN	sigh
she	PRON	she
turned	VERB	turn
her	PRON	her
head	NOUN	head
toward	ADP	toward
the	DET	the
door	NOUN	door
.	PUNCT	.
The	DET	the
man	NOUN	man
who	PRON	who
entered	VERB	enter
was	AUX	be
tall	ADJ	tall
,	PUNCT	,
and	CCONJ	and
of	ADP	of
the	DET	the
ordinary	ADJ	ordinary
type	NOUN	type
of	ADP	of
well	ADV	well
-	PUNCT	-
born	VERB	bear
Englishmen	NOUN	englishman
.	PUNCT	.
He	PRON	he
was	AUX	be
carefully	ADV	carefully
dressed	VERB	dress
,	PUNCT	,
and	CCONJ	and
his	PRON	his
somewhat	ADV	somewhat
scanty	ADJ	scanty
hair	NOUN	hair
was	AUX	be
arranged	VERB	arrange
to	ADP	to
the	DET	the
best	ADJ	good
advantage	NOUN	advantage
.	PUNCT	.
His	PRON	his
features	NOUN	feature
were	AUX	be
hard	ADJ	hard
and	CCONJ	and
lifeless	ADJ	lifeless
.	PUNCT	.
His	PRON	his
eyes	NOUN	eye
were	AUX	be
just	ADV	just
a	DET	a
shade	NOUN	shade
too	ADV	too
close	ADJ	close
together	ADV	together
.	PUNCT	.
The	DET	the
maid	NOUN	maid
ushered	VERB	usher
him	PRON	he
in	ADV	in
and	CCONJ	and
withdrew	VERB	withdraw
at	ADP	at
once	ADV	once
