UNVEILING	VERB	unveil
A	DET	a
PARALLEL	NOUN	parallel
.	PUNCT	.
A	PROPN	A
Romance	NOUN	romance
by	ADP	by
TWO	NUM	two
WOMEN	NOUN	woman
OF	ADP	of
THE	DET	the
WEST	PROPN	WEST
Copyright	NOUN	copyright
1893	NUM	1893
,	PUNCT	,
by	ADP	by
Arena	PROPN	Arena
Publishing	PROPN	Publishing
Company	PROPN	Company
.	PUNCT	.
All	DET	all
rights	NOUN	right
reserved	VERB	reserve
.	PUNCT	.
TABLE	NOUN	table
OF	ADP	of
CONTENTS	NOUN	content
.	PUNCT	.
PAGE	NOUN	page
.	PUNCT	.
Chapter	NOUN	chapter
I.	NUM	i.
A	DET	a
Remarkable	ADJ	remarkable
Acquaintance	NOUN	acquaintance
5	NUM	5
Chapter	NOUN	chapter
II	NUM	ii
.	PUNCT	.
A	DET	a
Woman	NOUN	woman
28	NUM	28
Chapter	NOUN	chapter
III	NUM	iii
.	PUNCT	.
The	DET	the
Auroras	PROPN	Auroras
'	PART	'
Annual	PROPN	Annual
59	NUM	59
Chapter	NOUN	chapter
IV	NUM	iv
.	PUNCT	.
Elodia	PROPN	Elodia
88	NUM	88
Chapter	NOUN	chapter
V.	NUM	v.
The	DET	the
Vaporizer	PROPN	Vaporizer
106	NUM	106
Chapter	NOUN	chapter
VI	NUM	vi
.	PUNCT	.
Cupid	PROPN	Cupid
's	PART	's
Gardens	PROPN	Gardens
124	NUM	124
Chapter	NOUN	chapter
VII	NUM	vii
.	PUNCT	.
New	ADJ	new
Friends	NOUN	friend
147	NUM	147
Chapter	NOUN	chapter
VIII	NUM	viii
.	PUNCT	.
A	DET	a
Talk	NOUN	talk
With	ADP	with
Elodia	PROPN	Elodia
157	NUM	157
Chapter	NOUN	chapter
IX	NUM	ix
.	PUNCT	.
Journeying	VERB	journey
Upward	ADV	upward
190	NUM	190
Chapter	NOUN	chapter
X.	NUM	x.
The	DET	the
Master	NOUN	master
220	NUM	220
Chapter	NOUN	chapter
XI	NUM	xi
.	PUNCT	.
A	DET	a
Comparison	NOUN	comparison
248	NUM	248
Chapter	NOUN	chapter
1	NUM	1
.	NUM	.
A	DET	a
REMARKABLE	ADJ	remarkable
ACQUAINTANCE	NOUN	acquaintance
.	PUNCT	.
""""	PUNCT	""""
A	DET	a
new	ADJ	new
person	NOUN	person
is	AUX	be
to	ADP	to
me	PRON	I
always	ADV	always
a	DET	a
great	ADJ	great
event	NOUN	event
,	PUNCT	,
and	CCONJ	and
hinders	VERB	hinder
me	PRON	I
from	ADP	from
sleep	NOUN	sleep
.	PUNCT	.
""""	PUNCT	""""
--EMERSON	PROPN	--EMERSON
.	PUNCT	.
You	PRON	you
know	VERB	know
how	SCONJ	how
certain	ADJ	certain
kinds	NOUN	kind
of	ADP	of
music	NOUN	music
will	AUX	will
beat	VERB	beat
everything	PRON	everything
out	ADP	out
of	ADP	of
your	PRON	your
consciousness	NOUN	consciousness
except	SCONJ	except
a	DET	a
wild	ADJ	wild
delirium	NOUN	delirium
of	ADP	of
joy	NOUN	joy
;	PUNCT	;
how	SCONJ	how
love	NOUN	love
of	ADP	of
a	DET	a
woman	NOUN	woman
will	AUX	will
take	VERB	take
up	ADP	up
every	DET	every
cranny	NOUN	cranny
of	ADP	of
space	NOUN	space
in	ADP	in
your	PRON	your
being,--and	NOUN	being,--and
fill	VERB	fill
the	DET	the
universe	NOUN	universe
beside,--so	ADV	beside,--so
that	SCONJ	that
people	NOUN	people
who	PRON	who
are	AUX	be
not	PART	not
en	ADP	en
rapport	NOUN	rapport
with	ADP	with
the	DET	the
strains	NOUN	strain
that	PRON	that
delight	VERB	delight
you	PRON	you
,	PUNCT	,
or	CCONJ	or
with	ADP	with
the	DET	the
beauty	NOUN	beauty
that	PRON	that
enthralls	VERB	enthrall
you	PRON	you
,	PUNCT	,
seem	VERB	seem
pitiable	ADJ	pitiable
creatures	NOUN	creature
,	PUNCT	,
not	PART	not
in	ADP	in
touch	NOUN	touch
with	ADP	with
the	DET	the
Divine	PROPN	Divine
Harmony	PROPN	Harmony
,	PUNCT	,
with	ADP	with
Supreme	PROPN	Supreme
Loveliness	NOUN	loveliness
.	PUNCT	.
So	SCONJ	so
it	PRON	it
was	AUX	be
with	ADP	with
me	PRON	I
,	PUNCT	,
when	SCONJ	when
I	PRON	I
set	VERB	set
my	PRON	my
feet	NOUN	foot
on	ADP	on
Mars	PROPN	Mars
!	PUNCT	!
My	PRON	my
soul	NOUN	soul
leaped	VERB	leap
to	ADP	to
its	PRON	its
highest	ADJ	high
altitude	NOUN	altitude
and	CCONJ	and
I	PRON	I
had	AUX	have
but	ADV	but
one	NUM	one
vast	ADJ	vast
"thought,--""I"	PUNCT	"thought,--""I"
have	AUX	have
triumphed	VERB	triumph
;	PUNCT	;
I	PRON	I
am	AUX	be
here	ADV	here
!	PUNCT	!
And	CCONJ	and
I	PRON	I
am	AUX	be
alone	ADJ	alone
;	PUNCT	;
Earth	PROPN	Earth
is	AUX	be
unconscious	ADJ	unconscious
of	ADP	of
the	DET	the
glory	NOUN	glory
that	PRON	that
is	AUX	be
mine	ADJ	mine
!	PUNCT	!
""""	PUNCT	""""
I	PRON	I
shall	AUX	shall
not	PART	not
weary	VERB	weary
you	PRON	you
with	ADP	with
an	DET	an
account	NOUN	account
of	ADP	of
my	PRON	my
voyage	NOUN	voyage
,	PUNCT	,
since	SCONJ	since
you	PRON	you
are	AUX	be
more	ADV	more
interested	ADJ	interested
in	ADP	in
the	DET	the
story	NOUN	story
of	ADP	of
my	PRON	my
sojourn	NOUN	sojourn
on	ADP	on
the	DET	the
red	ADJ	red
planet	NOUN	planet
than	ADP	than
in	ADP	in
the	DET	the
manner	NOUN	manner
of	ADP	of
my	PRON	my
getting	VERB	get
there	ADV	there
.	PUNCT	.
It	PRON	it
is	AUX	be
not	PART	not
literally	ADV	literally
red	ADJ	red
,	PUNCT	,
by	ADP	by
the	DET	the
way	NOUN	way
;	PUNCT	;
that	DET	that
which	DET	which
makes	VERB	make
it	PRON	it
appear	VERB	appear
so	ADV	so
at	ADP	at
this	DET	this
distance	NOUN	distance
is	AUX	be
its	PRON	its
atmosphere,--its	NOUN	atmosphere,--its
""""	PUNCT	""""
"sky,""--which"	PUNCT	"sky,""--which"
is	AUX	be
of	ADP	of
a	DET	a
soft	ADJ	soft
roseate	ADJ	roseate
color	NOUN	color
,	PUNCT	,
instead	ADV	instead
of	ADP	of
being	AUX	be
blue	ADJ	blue
like	ADP	like
ours	NOUN	our
.	PUNCT	.
It	PRON	it
is	AUX	be
as	ADV	as
beautiful	ADJ	beautiful
as	ADP	as
a	DET	a
blush	NOUN	blush
.	PUNCT	.
I	PRON	I
will	AUX	will
just	ADV	just
say	VERB	say
,	PUNCT	,
that	SCONJ	that
the	DET	the
time	NOUN	time
consumed	VERB	consume
in	ADP	in
making	VERB	make
the	DET	the
journey	NOUN	journey
was	AUX	be
incredibly	ADV	incredibly
brief	ADJ	brief
.	PUNCT	.
Having	VERB	have
launched	VERB	launch
my	PRON	my
aeroplane	NOUN	aeroplane
on	ADP	on
the	DET	the
current	NOUN	current
of	ADP	of
attraction	NOUN	attraction
which	DET	which
flows	VERB	flow
uninterruptedly	ADV	uninterruptedly
between	ADP	between
this	DET	this
world	NOUN	world
and	CCONJ	and
that	DET	that
,	PUNCT	,
traveling	NOUN	traveling
was	AUX	be
as	ADV	as
swift	ADJ	swift
as	ADP	as
thought	VERB	think
.	PUNCT	.
My	PRON	my
impression	NOUN	impression
is	AUX	be
that	SCONJ	that
my	PRON	my
speed	NOUN	speed
was	AUX	be
constantly	ADV	constantly
accelerated	VERB	accelerate
until	ADP	until
I	PRON	I
neared	VERB	near
my	PRON	my
journey	NOUN	journey
's	PART	's
end	NOUN	end
,	PUNCT	,
when	SCONJ	when
the	DET	the
planet	NOUN	planet
's	PART	's
pink	ADJ	pink
envelope	NOUN	envelope
interposed	VERB	interpose
its	PRON	its
soft	ADJ	soft
resistance	NOUN	resistance
to	PART	to
prevent	VERB	prevent
a	DET	a
destructive	ADJ	destructive
landing	NOUN	landing
.	PUNCT	.
I	PRON	I
settled	VERB	settle
down	ADV	down
as	ADV	as
gently	ADV	gently
as	ADP	as
a	DET	a
dove	NOUN	dove
alights	VERB	alight
,	PUNCT	,
and	CCONJ	and
the	DET	the
sensation	NOUN	sensation
was	AUX	be
the	DET	the
most	ADV	most
ecstatic	ADJ	ecstatic
I	PRON	I
have	AUX	have
ever	ADV	ever
experienced	VERB	experience
.	PUNCT	.
When	SCONJ	when
I	PRON	I
could	AUX	could
distinguish	VERB	distinguish
trees	NOUN	tree
,	PUNCT	,
flowers	NOUN	flower
,	PUNCT	,
green	ADJ	green
fields	NOUN	field
,	PUNCT	,
streams	NOUN	stream
of	ADP	of
water	NOUN	water
,	PUNCT	,
and	CCONJ	and
people	NOUN	people
moving	VERB	move
about	ADV	about
in	ADP	in
the	DET	the
streets	NOUN	street
of	ADP	of
a	DET	a
beautiful	ADJ	beautiful
city	NOUN	city
,	PUNCT	,
it	PRON	it
was	AUX	be
as	ADP	as
if	SCONJ	if
some	DET	some
hitherto	ADV	hitherto
unsuspected	ADJ	unsuspected
chambers	NOUN	chamber
of	ADP	of
my	PRON	my
soul	NOUN	soul
were	AUX	be
flung	VERB	fling
open	ADJ	open
to	PART	to
let	VERB	let
in	ADP	in
new	ADJ	new
tides	NOUN	tide
of	ADP	of
feeling	NOUN	feeling
.	PUNCT	.
My	PRON	my
coming	NOUN	coming
had	AUX	have
been	AUX	be
discovered	VERB	discover
.	PUNCT	.
A	DET	a
college	NOUN	college
of	ADP	of
astronomers	NOUN	astronomer
in	ADP	in
an	DET	an
observatory	NOUN	observatory
which	DET	which
stands	VERB	stand
on	ADP	on
an	DET	an
elevation	NOUN	elevation
just	ADV	just
outside	ADP	outside
the	DET	the
city	NOUN	city
,	PUNCT	,
had	AUX	have
their	PRON	their
great	ADJ	great
telescope	NOUN	telescope
directed	VERB	direct
toward	ADP	toward
the	DET	the
Earth,--just	ADV	earth,--just
as	ADP	as
our	PRON	our
telescopes	NOUN	telescope
were	AUX	be
directed	VERB	direct
to	ADP	to
Mars	PROPN	Mars
at	ADP	at
that	DET	that
time,--and	PUNCT	time,--and
they	PRON	they
saw	VERB	see
me	PRON	I
and	CCONJ	and
made	VERB	make
me	PRON	I
out	ADP	out
when	SCONJ	when
I	PRON	I
was	AUX	be
yet	ADV	yet
a	DET	a
great	ADJ	great
way	NOUN	way
off	ADV	off
.	PUNCT	.
They	PRON	they
were	AUX	be
able	ADJ	able
to	PART	to
determine	VERB	determine
the	DET	the
exact	ADJ	exact
spot	NOUN	spot
whereon	SCONJ	whereon
I	PRON	I
would	AUX	would
land	VERB	land
,	PUNCT	,
about	ADP	about
a	DET	a
mile	NOUN	mile
distant	ADJ	distant
from	ADP	from
the	DET	the
observatory	NOUN	observatory
,	PUNCT	,
and	CCONJ	and
repaired	VERB	repair
thither	DET	thither
with	ADP	with
all	DET	all
possible	ADJ	possible
speed,--and	NOUN	speed,--and
they	PRON	they
have	AUX	have
very	ADV	very
perfect	ADJ	perfect
means	NOUN	mean
of	ADP	of
locomotion	NOUN	locomotion
,	PUNCT	,
superior	ADJ	superior
even	ADV	even
to	ADP	to
our	PRON	our
electrical	ADJ	electrical
contrivances	NOUN	contrivance
.	PUNCT	.
Before	ADP	before
I	PRON	I
had	AUX	have
time	NOUN	time
