GRAUSTARK	PROPN	GRAUSTARK
By	ADP	by
George	PROPN	George
Barr	PROPN	Barr
McCutcheon	PROPN	McCutcheon
I.	PUNCT	I.
MR	PROPN	MR
.	PROPN	.
GRENFALL	PROPN	GRENFALL
LORRY	PROPN	LORRY
SEEKS	VERB	seek
ADVENTURE	NOUN	adventure
Mr.	PROPN	Mr.
Grenfall	PROPN	Grenfall
Lorry	PROPN	Lorry
boarded	VERB	board
the	DET	the
east	NOUN	east
-	PUNCT	-
bound	VERB	bind
express	NOUN	express
at	ADP	at
Denver	PROPN	Denver
with	ADP	with
all	DET	all
the	DET	the
air	NOUN	air
of	ADP	of
a	DET	a
martyr	NOUN	martyr
.	PUNCT	.
He	PRON	he
had	AUX	have
traveled	VERB	travel
pretty	ADV	pretty
much	ADV	much
all	DET	all
over	ADP	over
the	DET	the
world	NOUN	world
,	PUNCT	,
and	CCONJ	and
he	PRON	he
was	AUX	be
not	PART	not
without	ADP	without
resources	NOUN	resource
,	PUNCT	,
but	CCONJ	but
the	DET	the
prospect	NOUN	prospect
of	ADP	of
a	DET	a
twenty	NUM	twenty
-	PUNCT	-
five	NUM	five
hundred	NUM	hundred
mile	NOUN	mile
journey	NOUN	journey
alone	ADV	alone
filled	VERB	fill
him	PRON	he
with	ADP	with
dismay	NOUN	dismay
.	PUNCT	.
The	DET	the
country	NOUN	country
he	PRON	he
knew	VERB	know
;	PUNCT	;
the	DET	the
scenery	NOUN	scenery
had	AUX	have
long	ADV	long
since	ADV	since
lost	VERB	lose
its	PRON	its
attractions	NOUN	attraction
for	ADP	for
him	PRON	he
;	PUNCT	;
countless	ADJ	countless
newsboys	NOUN	newsboy
had	AUX	have
failed	VERB	fail
to	PART	to
tempt	VERB	tempt
him	PRON	he
with	ADP	with
the	DET	the
literature	NOUN	literature
they	PRON	they
thrust	VERB	thrust
in	ADP	in
his	PRON	his
face	NOUN	face
,	PUNCT	,
and	CCONJ	and
as	ADP	as
for	ADP	for
his	PRON	his
fellow	ADJ	fellow
-	PUNCT	-
passengers	NOUN	passenger
--	PUNCT	--
well	INTJ	well
,	PUNCT	,
he	PRON	he
preferred	VERB	prefer
to	PART	to
be	AUX	be
alone	ADV	alone
.	PUNCT	.
And	CCONJ	and
so	SCONJ	so
it	PRON	it
was	AUX	be
that	SCONJ	that
he	PRON	he
gloomily	ADV	gloomily
motioned	VERB	motion
the	DET	the
porter	NOUN	porter
to	ADP	to
his	PRON	his
boxes	NOUN	box
and	CCONJ	and
mounted	VERB	mount
the	DET	the
steps	NOUN	step
with	ADP	with
weariness	NOUN	weariness
.	PUNCT	.
As	ADP	as
it	PRON	it
happened	VERB	happen
,	PUNCT	,
Mr.	PROPN	Mr.
Grenfall	PROPN	Grenfall
Lorry	PROPN	Lorry
did	AUX	do
not	PART	not
have	AUX	have
a	DET	a
dull	ADJ	dull
moment	NOUN	moment
after	ADP	after
the	DET	the
train	NOUN	train
started	VERB	start
.	PUNCT	.
He	PRON	he
stumbled	VERB	stumble
on	ADP	on
a	DET	a
figure	NOUN	figure
that	PRON	that
leaned	VERB	lean
toward	ADP	toward
the	DET	the
window	NOUN	window
in	ADP	in
the	DET	the
dark	NOUN	dark
passageway	NOUN	passageway
.	PUNCT	.
With	ADP	with
reluctant	ADJ	reluctant
civility	NOUN	civility
he	PRON	he
apologized	VERB	apologize
;	PUNCT	;
a	DET	a
lady	NOUN	lady
stood	VERB	stand
up	ADP	up
to	PART	to
let	VERB	let
him	PRON	he
pass	VERB	pass
,	PUNCT	,
and	CCONJ	and
for	ADP	for
an	DET	an
instant	NOUN	instant
in	ADP	in
the	DET	the
half	ADJ	half
light	NOUN	light
their	PRON	their
eyes	NOUN	eye
met	VERB	meet
,	PUNCT	,
and	CCONJ	and
that	DET	that
is	AUX	be
why	SCONJ	why
the	DET	the
miles	NOUN	mile
rushed	VERB	rush
by	ADP	by
with	ADP	with
incredible	ADJ	incredible
speed	NOUN	speed
.	PUNCT	.
Mr.	PROPN	Mr.
Lorry	PROPN	Lorry
had	AUX	have
been	AUX	be
dawdling	VERB	dawdle
away	ADP	away
the	DET	the
months	NOUN	month
in	ADP	in
Mexico	PROPN	Mexico
and	CCONJ	and
California	PROPN	California
.	PUNCT	.
For	ADP	for
years	NOUN	year
he	PRON	he
had	AUX	have
felt	VERB	feel
,	PUNCT	,
together	ADV	together
with	ADP	with
many	ADJ	many
other	ADJ	other
people	NOUN	people
,	PUNCT	,
that	SCONJ	that
a	NOUN	a
sea	NOUN	sea
-	PUNCT	-
voyage	NOUN	voyage
was	AUX	be
the	DET	the
essential	ADJ	essential
beginning	NOUN	beginning
of	ADP	of
every	DET	every
journey	NOUN	journey
;	PUNCT	;
he	PRON	he
had	AUX	have
started	VERB	start
round	ADP	round
the	DET	the
world	NOUN	world
soon	ADV	soon
after	ADP	after
leaving	VERB	leave
Cambridge	PROPN	Cambridge
;	PUNCT	;
he	PRON	he
had	AUX	have
fished	VERB	fish
through	ADP	through
Norway	PROPN	Norway
and	CCONJ	and
hunted	VERB	hunt
in	ADP	in
India	PROPN	India
,	PUNCT	,
and	CCONJ	and
shot	VERB	shoot
everything	PRON	everything
from	ADP	from
grouse	NOUN	grouse
on	ADP	on
the	DET	the
Scottish	ADJ	scottish
moors	NOUN	moor
to	ADP	to
the	DET	the
rapids	NOUN	rapid
above	ADP	above
Assouan	PROPN	Assouan
.	PUNCT	.
He	PRON	he
had	AUX	have
run	VERB	run
in	ADP	in
and	CCONJ	and
out	ADP	out
of	ADP	of
countless	ADJ	countless
towns	NOUN	town
and	CCONJ	and
countries	NOUN	country
on	ADP	on
the	DET	the
coast	NOUN	coast
of	ADP	of
South	PROPN	South
America	PROPN	America
;	PUNCT	;
he	PRON	he
had	AUX	have
done	VERB	do
Russia	PROPN	Russia
and	CCONJ	and
the	DET	the
Rhone	PROPN	Rhone
valley	NOUN	valley
and	CCONJ	and
Brittany	PROPN	Brittany
and	CCONJ	and
Damascus	PROPN	Damascus
;	PUNCT	;
he	PRON	he
had	AUX	have
seen	VERB	see
them	PRON	they
all	DET	all
--	PUNCT	--
but	CCONJ	but
not	PART	not
until	ADP	until
then	ADV	then
did	AUX	do
it	PRON	it
occur	VERB	occur
to	ADP	to
him	PRON	he
that	SCONJ	that
there	PRON	there
might	AUX	might
be	AUX	be
something	PRON	something
of	ADP	of
interest	NOUN	interest
nearer	ADP	nearer
home	NOUN	home
.	PUNCT	.
True	ADJ	true
he	PRON	he
had	AUX	have
thought	VERB	think
of	ADP	of
joining	VERB	join
some	DET	some
Englishmen	PROPN	Englishmen
on	ADP	on
a	DET	a
hunting	NOUN	hunting
tour	NOUN	tour
in	ADP	in
the	DET	the
Rockies	PROPN	Rockies
,	PUNCT	,
but	CCONJ	but
that	DET	that
had	AUX	have
fallen	VERB	fall
through	ADP	through
.	PUNCT	.
When	SCONJ	when
the	DET	the
idea	NOUN	idea
of	ADP	of
Mexico	PROPN	Mexico
did	AUX	do
occur	VERB	occur
to	ADP	to
him	PRON	he
he	PRON	he
gave	VERB	give
orders	NOUN	order
to	PART	to
pack	VERB	pack
his	PRON	his
things	NOUN	thing
,	PUNCT	,
purchased	VERB	purchase
interminable	ADJ	interminable
green	ADJ	green
tickets	NOUN	ticket
,	PUNCT	,
dined	VERB	dine
unusually	ADV	unusually
well	ADV	well
at	ADP	at
his	PRON	his
club	NOUN	club
,	PUNCT	,
and	CCONJ	and
was	AUX	be
off	ADV	off
in	ADP	in
no	DET	no
time	NOUN	time
to	ADP	to
the	DET	the
unknown	ADJ	unknown
West	PROPN	West
.	PUNCT	.
There	PRON	there
was	AUX	be
a	DET	a
theory	NOUN	theory
in	ADP	in
his	PRON	his
family	NOUN	family
that	SCONJ	that
it	PRON	it
would	AUX	would
have	AUX	have
been	AUX	be
a	DET	a
decenter	NOUN	decenter
thing	NOUN	thing
for	ADP	for
him	PRON	he
to	PART	to
stop	VERB	stop
running	VERB	run
about	ADV	about
and	CCONJ	and
settle	VERB	settle
down	ADP	down
to	ADP	to
work	NOUN	work
.	PUNCT	.
But	CCONJ	but
his	PRON	his
thoughtful	ADJ	thoughtful
father	NOUN	father
had	AUX	have
given	VERB	give
him	PRON	he
a	DET	a
wealthy	ADJ	wealthy
mother	NOUN	mother
,	PUNCT	,
and	CCONJ	and
as	ADP	as
earning	VERB	earn
a	DET	a
living	NOUN	living
was	AUX	be
not	PART	not
a	DET	a
necessity	NOUN	necessity
,	PUNCT	,
he	PRON	he
failed	VERB	fail
to	PART	to
see	VERB	see
why	SCONJ	why
it	PRON	it
was	AUX	be
a	DET	a
duty	NOUN	duty
.	PUNCT	.
“	PUNCT	""""
Work	NOUN	work
is	AUX	be
becoming	VERB	become
to	ADP	to
some	DET	some
men	NOUN	man
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
once	ADV	once
declared	VERB	declare
,	PUNCT	,
“	PUNCT	""""
like	ADP	like
whiskers	NOUN	whisker
or	CCONJ	or
red	ADJ	red
ties	NOUN	tie
,	PUNCT	,
but	CCONJ	but
it	PRON	it
does	AUX	do
not	PART	not
follow	VERB	follow
that	SCONJ	that
all	DET	all
men	NOUN	man
can	AUX	can
stand	VERB	stand
it	PRON	it
.	PUNCT	.
”	PUNCT	""""
After	ADP	after
that	DET	that
the	DET	the
family	NOUN	family
found	VERB	find
him	PRON	he
“	PUNCT	""""
hopeless	ADJ	hopeless
,	PUNCT	,
”	PUNCT	""""
and	CCONJ	and
the	DET	the
argument	NOUN	argument
dropped	VERB	drop
.	PUNCT	.
He	PRON	he
was	AUX	be
just	ADV	just
under	ADP	under
thirty	NUM	thirty
years	NOUN	year
,	PUNCT	,
as	ADV	as
good	ADV	good
-	PUNCT	-
looking	VERB	look
as	ADP	as
most	ADJ	most
men	NOUN	man
,	PUNCT	,
with	ADP	with
no	DET	no
one	NOUN	one
dependent	ADJ	dependent
upon	SCONJ	upon
him	PRON	he
and	CCONJ	and
an	DET	an
income	NOUN	income
that	PRON	that
had	AUX	have
withstood	VERB	withstand
both	DET	both
the	DET	the
Maison	PROPN	Maison
Doree	PROPN	Doree
and	CCONJ	and
a	DET	a
dahabeah	PROPN	dahabeah
on	ADP	on
the	DET	the
Nile	PROPN	Nile
.	PUNCT	.
He	PRON	he
never	ADV	never
tired	VERB	tire
of	ADP	of
seeing	VERB	see
things	NOUN	thing
and	CCONJ	and
peoples	NOUN	people
and	CCONJ	and
places	NOUN	place
.	PUNCT	.
“	PUNCT	""""
There	PRON	there
's	AUX	be
game	NOUN	game
to	PART	to
be	AUX	be
found	VERB	find
anywhere	ADV	anywhere
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
said	VERB	say
,	PUNCT	,
“	PUNCT	""""
only	ADV	only
it	PRON	it
's	AUX	be
sometimes	ADV	sometimes
out	ADP	out
of	ADP	of
season	NOUN	season
.	PUNCT	.
If	SCONJ	if
I	PRON	I
had	AUX	have
my	PRON	my
way	NOUN	way
--	PUNCT	--
and	CCONJ	and
millions	NOUN	million
--	PUNCT	--
I	PRON	I
should	AUX	should
run	VERB	run
a	DET	a
newspaper	NOUN	newspaper
.	PUNCT	.
Then	ADV	then
all	DET	all
the	DET	the
excitements	NOUN	excitement
would	AUX	would
come	VERB	come
to	ADP	to
me	PRON	I
.	PUNCT	.
As	ADP	as
it	PRON	it
is	AUX	be
