provided	VERB	provide
by	ADP	by
the	DET	the
Internet	PROPN	Internet
Archive	PROPN	Archive
ANTHONY	PROPN	ANTHONY
THE	DET	the
ABSOLUTE	PROPN	ABSOLUTE
By	ADP	by
Samuel	PROPN	Samuel
Merwin	PROPN	Merwin
Author	NOUN	author
Of	ADP	of
“	PUNCT	""""
The	DET	the
Citadel	PROPN	Citadel
,	PUNCT	,
”	PUNCT	""""
Etc	PROPN	Etc
.	PUNCT	.
Illustrated	VERB	illustrate
By	ADP	by
R.	PROPN	R.
M.	PROPN	M.
Crosby	PROPN	Crosby
New	PROPN	New
York	PROPN	York
The	DET	the
Century	PROPN	Century
Co.	PROPN	Co.
1914	NUM	1914
:	PUNCT	:
0001	NUM	0001
]	X	]
:	PUNCT	:
0010	NUM	0010
]	X	]
:	PUNCT	:
0011	NUM	0011
]	X	]
ANTHONY	PROPN	ANTHONY
THE	DET	the
ABSOLUTE	PROPN	ABSOLUTE
_	X	_
At	ADP	at
Sea	NOUN	sea
--	PUNCT	--
March	PROPN	March
28th	NOUN	28th
.	PUNCT	.
_	PUNCT	_
|THIS	DET	|this
evening	NOUN	evening
I	PRON	I
told	VERB	tell
Sir	PROPN	Sir
Robert	PROPN	Robert
What's	VERB	what'
-	PUNCT	-
His	PRON	his
-	PUNCT	-
Name	NOUN	name
he	PRON	he
was	AUX	be
a	DET	a
fool	NOUN	fool
.	PUNCT	.
I	PRON	I
was	AUX	be
quite	ADV	quite
right	ADJ	right
in	ADP	in
this	DET	this
.	PUNCT	.
He	PRON	he
is	AUX	be
.	PUNCT	.
Every	DET	every
evening	NOUN	evening
since	SCONJ	since
the	DET	the
ship	NOUN	ship
left	VERB	leave
Vancouver	PROPN	Vancouver
he	PRON	he
has	AUX	have
presided	VERB	preside
over	ADP	over
the	DET	the
round	ADJ	round
table	NOUN	table
in	ADP	in
the	DET	the
middle	NOUN	middle
of	ADP	of
the	DET	the
smoking	NOUN	smoking
-	PUNCT	-
room	NOUN	room
.	PUNCT	.
There	ADV	there
he	PRON	he
sips	VERB	sip
his	PRON	his
coffee	NOUN	coffee
and	CCONJ	and
liqueur	NOUN	liqueur
,	PUNCT	,
and	CCONJ	and
holds	VERB	hold
forth	ADP	forth
on	ADP	on
every	DET	every
subject	NOUN	subject
known	VERB	know
to	ADP	to
the	DET	the
mind	NOUN	mind
of	ADP	of
man	NOUN	man
.	PUNCT	.
Each	DET	each
subject	NOUN	subject
is	AUX	be
his	PRON	his
subject	NOUN	subject
.	PUNCT	.
He	PRON	he
is	AUX	be
an	DET	an
elderly	ADJ	elderly
person	NOUN	person
,	PUNCT	,
with	ADP	with
a	DET	a
bad	NOUN	bad
face	NOUN	face
and	CCONJ	and
a	DET	a
drooping	VERB	droop
left	ADJ	left
eyelid	NOUN	eyelid
.	PUNCT	.
He	PRON	he
wears	VERB	wear
a	DET	a
monocle	NOUN	monocle
;	PUNCT	;
and	CCONJ	and
carries	VERB	carry
his	PRON	his
handkerchief	NOUN	handkerchief
in	ADP	in
his	PRON	his
left	ADJ	left
sleeve	NOUN	sleeve
.	PUNCT	.
They	PRON	they
tell	VERB	tell
me	PRON	I
that	SCONJ	that
he	PRON	he
is	AUX	be
in	ADP	in
the	DET	the
British	PROPN	British
Service	PROPN	Service
--	PUNCT	--
a	DET	a
judge	NOUN	judge
somewhere	ADV	somewhere
down	ADV	down
in	ADP	in
Malaysia	PROPN	Malaysia
,	PUNCT	,
where	SCONJ	where
they	PRON	they
drink	VERB	drink
more	ADJ	more
than	ADP	than
is	AUX	be
good	ADJ	good
for	ADP	for
them	PRON	they
.	PUNCT	.
I	PRON	I
believe	VERB	believe
it	PRON	it
.	PUNCT	.
He	PRON	he
tosses	VERB	toss
about	ADP	about
his	PRON	his
_	PUNCT	_
obiter	X	obiter
dicta	X	dicta
_	PUNCT	_
as	ADP	as
if	SCONJ	if
he	PRON	he
were	AUX	be
pope	NOUN	pope
of	ADP	of
the	DET	the
human	NOUN	human
intellect	NOUN	intellect
.	PUNCT	.
A	DET	a
garrulous	ADJ	garrulous
pope	NOUN	pope
.	PUNCT	.
Surely	ADV	surely
the	DET	the
mind	NOUN	mind
of	ADP	of
a	DET	a
judge	NOUN	judge
,	PUNCT	,
when	SCONJ	when
exposed	VERB	expose
,	PUNCT	,
is	AUX	be
a	DET	a
dreadful	ADJ	dreadful
thing	NOUN	thing
!	PUNCT	!
Go	VERB	go
where	SCONJ	where
I	PRON	I
will	AUX	will
,	PUNCT	,
of	ADP	of
an	DET	an
evening	NOUN	evening
,	PUNCT	,
there	PRON	there
is	AUX	be
no	DET	no
peace	NOUN	peace
for	ADP	for
me	PRON	I
.	PUNCT	.
In	ADP	in
the	DET	the
“	PUNCT	""""
social	ADJ	social
hall	NOUN	hall
”	PUNCT	""""
some	DET	some
ungoverned	ADJ	ungoverned
young	ADJ	young
thing	NOUN	thing
is	AUX	be
eternally	ADV	eternally
at	ADP	at
the	DET	the
piano--“On	PUNCT	piano--“On
the	DET	the
Mississippi	PROPN	Mississippi
”	PUNCT	""""
and	CCONJ	and
“	PUNCT	""""
The	DET	the
Robert	PROPN	Robert
E.	PROPN	E.
Lee	PROPN	Lee
”	PUNCT	""""
and	CCONJ	and
the	DET	the
other	ADJ	other
musical	ADJ	musical
literature	NOUN	literature
of	ADP	of
the	DET	the
