MARY	PROPN	MARY
ROBERTS	PROPN	ROBERTS
RINEHART	PROPN	RINEHART
'S	PART	's
CRIME	NOUN	crime
BOOK	NOUN	book
Containing	VERB	contain
Three	NUM	three
Complete	ADJ	complete
Stories	NOUN	story
THE	DET	the
AFTER	ADP	after
HOUSE	VERB	HOUSE
LOCKED	VERB	lock
DOORS	NOUN	door
THE	DET	the
RED	PROPN	RED
LAMP	PROPN	LAMP
New	PROPN	New
York	PROPN	York
Grosset	PROPN	Grosset
&	CCONJ	&
Dunlap	PROPN	Dunlap
,	PUNCT	,
Publishers	PROPN	Publishers
By	ADP	by
arrangement	NOUN	arrangement
with	ADP	with
Farrar	PROPN	Farrar
&	CCONJ	&
Rinehart	PROPN	Rinehart
Copyright	NOUN	copyright
,	PUNCT	,
1914	NUM	1914
,	PUNCT	,
1925	NUM	1925
,	PUNCT	,
by	ADP	by
Mary	PROPN	Mary
Roberts	PROPN	Roberts
Rinehart	PROPN	Rinehart
Printed	VERB	print
in	ADP	in
the	DET	the
United	PROPN	United
States	PROPN	States
of	ADP	of
America	PROPN	America
All	DET	all
Rights	NOUN	right
Reserved	VERB	reserve
LOCKED	VERB	lock
DOORS	NOUN	door
I	PUNCT	I
“	PUNCT	""""
You	PRON	you
promised	VERB	promise
,	PUNCT	,
”	PUNCT	""""
I	PRON	I
reminded	VERB	remind
Mr.	PROPN	Mr.
Patton	PROPN	Patton
,	PUNCT	,
“	PUNCT	""""
to	PART	to
play	VERB	play
with	ADP	with
cards	NOUN	card
on	ADP	on
the	DET	the
table	NOUN	table
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
My	PRON	my
dear	ADJ	dear
young	ADJ	young
lady	NOUN	lady
,	PUNCT	,
”	PUNCT	""""
he	PRON	he
replied	VERB	reply
,	PUNCT	,
“	PUNCT	""""
I	PRON	I
have	AUX	have
no	DET	no
cards	NOUN	card
!	PUNCT	!
I	PRON	I
suspect	VERB	suspect
a	DET	a
game	NOUN	game
,	PUNCT	,
that	DET	that
's	AUX	be
all	DET	all
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
Then	ADV	then
—	PUNCT	—
do	AUX	do
you	PRON	you
need	VERB	need
me	PRON	I
?	PUNCT	?
”	PUNCT	""""
The	DET	the
detective	NOUN	detective
bent	VERB	bend
forward	ADV	forward
,	PUNCT	,
his	PRON	his
arms	NOUN	arm
on	ADP	on
his	PRON	his
desk	NOUN	desk
,	PUNCT	,
and	CCONJ	and
looked	VERB	look
me	PRON	I
over	ADV	over
carefully	ADV	carefully
.	PUNCT	.
“	PUNCT	""""
What	PRON	what
