Team	NOUN	team
at	ADP	at
http://www.pgdp.net	X	http://www.pgdp.net
(	PUNCT	(
This	DET	this
file	NOUN	file
was	AUX	be
produced	VERB	produce
from	ADP	from
images	NOUN	image
generously	ADV	generously
made	VERB	make
available	ADJ	available
by	ADP	by
The	DET	the
Internet	PROPN	Internet
Archive	PROPN	Archive
/	SYM	/
American	PROPN	American
Libraries	PROPN	Libraries
.	PUNCT	.
)	PUNCT	)
MONICA	PROPN	MONICA
.	PUNCT	.
MONICA	PROPN	MONICA
A	PROPN	A
Novel	NOUN	novel
.	PUNCT	.
BY	PROPN	BY
EVELYN	PROPN	EVELYN
EVERETT	PROPN	EVERETT
-	PUNCT	-
GREEN	PROPN	GREEN
.	PUNCT	.
Author	NOUN	author
of	ADP	of
“	PUNCT	""""
Torwood	PROPN	Torwood
's	PART	's
Trust	PROPN	Trust
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
The	DET	the
Last	ADJ	last
of	ADP	of
the	DET	the
Dacres	PROPN	Dacres
,	PUNCT	,
”	PUNCT	""""
“	PUNCT	""""
Ruthven	PROPN	Ruthven
of	ADP	of
Ruthven	PROPN	Ruthven
,	PUNCT	,
”	PUNCT	""""
Etc	X	etc
.	PUNCT	.
_	PUNCT	_
IN	ADP	in
THREE	NUM	three
VOLUMES	NOUN	volume
.	PUNCT	.
_	PUNCT	_
VOL	NOUN	vol
.	NOUN	.
II	NUM	ii
.	PUNCT	.
LONDON	PROPN	LONDON
:	PUNCT	:
WARD	PROPN	WARD
AND	CCONJ	and
DOWNEY	PROPN	DOWNEY
,	PUNCT	,
12	NUM	12
,	PUNCT	,
YORK	PROPN	YORK
STREET	PROPN	STREET
,	PUNCT	,
COVENT	PROPN	COVENT
GARDEN	PROPN	GARDEN
,	PUNCT	,
W.C.	PROPN	W.C.
1889	NUM	1889
.	PUNCT	.
PRINTED	VERB	print
BY	PROPN	BY
KELLY	PROPN	KELLY
AND	CCONJ	and
CO	PROPN	CO
.	PROPN	.
,	PUNCT	,
GATE	PROPN	GATE
STREET	PROPN	STREET
,	PUNCT	,
LINCOLN	PROPN	LINCOLN
'S	PART	's
INN	PROPN	INN
FIELDS	PROPN	FIELDS
,	PUNCT	,
AND	CCONJ	and
KINGSTON	PROPN	KINGSTON
-	PUNCT	-
ON	ADP	on
-	PUNCT	-
THAMES	PROPN	THAMES
.	PUNCT	.
CONTENTS	NOUN	content
.	PUNCT	.
CHAPTER	NOUN	chapter
THE	DET	the
TWELFTH	NOUN	twelfth
.	PUNCT	.
PAGE	NOUN	page
Mrs.	PROPN	Mrs.
Bellamy	PROPN	Bellamy
1	NUM	1
CHAPTER	NOUN	chapter
THE	DET	the
THIRTEENTH	NOUN	thirteenth
.	PUNCT	.
Randolph	PROPN	Randolph
's	PART	's
Story	NOUN	story
23	NUM	23
CHAPTER	NOUN	chapter
THE	DET	the
FOURTEENTH	NOUN	fourteenth
.	PUNCT	.
Storm	NOUN	storm
and	CCONJ	and
