online	ADJ	online
Distributed	PROPN	Distributed
Proofreaders	PROPN	Proofreaders
Canada	PROPN	Canada
team	NOUN	team
at	ADP	at
http://www.pgdpcanada.net	X	http://www.pgdpcanada.net
THE	DET	the
GIRL	PROPN	GIRL
OF	ADP	of
THE	DET	the
GOLDEN	PROPN	GOLDEN
GATE	PROPN	GATE
BY	PROPN	BY
WILLIAM	PROPN	WILLIAM
BROWN	PROPN	BROWN
MELONEY	PROPN	MELONEY
NEW	PROPN	NEW
YORK	PROPN	YORK
GROSSET	PROPN	GROSSET
&	CCONJ	&
DUNLAP	PROPN	DUNLAP
PUBLISHERS	PROPN	PUBLISHERS
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1913	NUM	1913
,	PUNCT	,
BY	PROPN	BY
WILLIAM	PROPN	WILLIAM
BROWN	PROPN	BROWN
MELONEY	PROPN	MELONEY
COPYRIGHT	PROPN	COPYRIGHT
,	PUNCT	,
1913	NUM	1913
,	PUNCT	,
BY	PROPN	BY
EDWARD	PROPN	EDWARD
J.	PROPN	J.
CLODE	PROPN	CLODE
THE	DET	the
GIRL	PROPN	GIRL
OF	ADP	of
THE	DET	the
GOLDEN	PROPN	GOLDEN
GATE	PROPN	GATE
CHAPTER	NOUN	chapter
I	PROPN	I
The	DET	the
general	ADJ	general
steamship	NOUN	steamship
agency	NOUN	agency
on	ADP	on
The	DET	the
Bund	PROPN	Bund
was	AUX	be
a	DET	a
hive	NOUN	hive
of	ADP	of
bustling	ADJ	bustling
travelers	NOUN	traveler
,	PUNCT	,
their	PRON	their
faces	NOUN	face
alight	ADJ	alight
with	ADP	with
the	DET	the
eagerness	NOUN	eagerness
with	ADP	with
which	DET	which
they	PRON	they
desired	VERB	desire
to	PART	to
be	AUX	be
gone	VERB	go
their	PRON	their
many	ADJ	many
ways	NOUN	way
up	ADP	up
and	CCONJ	and
down	ADP	down
the	DET	the
world	NOUN	world
.	PUNCT	.
A	DET	a
stranger	NOUN	stranger
might	AUX	might
have	AUX	have
imagined	VERB	imagine
that	SCONJ	that
most	ADJ	most
of	ADP	of
Yokohama	PROPN	Yokohama
's	PART	's
European	ADJ	european
or	CCONJ	or
""""	PUNCT	""""
white	ADJ	white
""""	PUNCT	""""
population	NOUN	population
had	AUX	have
been	AUX	be
possessed	VERB	possess
of	ADP	of
a	DET	a
sudden	ADJ	sudden
desire	NOUN	desire
to	PART	to
flee	VERB	flee
beyond	ADP	beyond
the	DET	the
seas	NOUN	sea
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
scene	NOUN	scene
common	ADJ	common
enough	ADV	enough
,	PUNCT	,
however	ADV	however
,	PUNCT	,
for	ADP	for
that	DET	that
season	NOUN	season
in	ADP	in
the	DET	the
gateways	NOUN	gateway
of	ADP	of
the	DET	the
Far	PROPN	Far
East	PROPN	East
.	PUNCT	.
Spring	PROPN	Spring
,	PUNCT	,
with	ADP	with
its	PRON	its
heart	NOUN	heart
call	NOUN	call
to	ADP	to
distant	ADJ	distant
homelands	NOUN	homeland
,	PUNCT	,
had	AUX	have
come	VERB	come
again	ADV	again
to	PART	to
break	VERB	break
the	DET	the
spell	NOUN	spell
of	ADP	of
the	DET	the
Orient	PROPN	Orient
for	ADP	for
many	ADJ	many
and	CCONJ	and
to	PART	to
stir	VERB	stir
an	DET	an
unutterable	ADJ	unutterable
longing	NOUN	longing
in	ADP	in
the	DET	the
breasts	NOUN	breast
of	ADP	of
others	NOUN	other
--	PUNCT	--
the	DET	the
men	NOUN	man
and	CCONJ	and
women	NOUN	woman
who	PRON	who
dream	VERB	dream
always	ADV	always
of	ADP	of
the	DET	the
day	NOUN	day
they	PRON	they
will	AUX	will
""""	PUNCT	""""
go	VERB	go
back	ADV	back
,	PUNCT	,
""""	PUNCT	""""
but	CCONJ	but
who	PRON	who
never	ADV	never
do	AUX	do
.	PUNCT	.
The	DET	the
crowd	NOUN	crowd
was	AUX	be
a	DET	a
conglomerate	NOUN	conglomerate
,	PUNCT	,
as	ADP	as
crowds	NOUN	crowd
go	VERB	go
,	PUNCT	,
and	CCONJ	and
not	PART	not
lacking	VERB	lack
in	ADP	in
picturesque	ADJ	picturesque
touches	NOUN	touch
--	PUNCT	--
here	ADV	here
where	SCONJ	where
a	DET	a
Chinese	PROPN	Chinese
of	ADP	of
mandarin	ADJ	mandarin
rank	NOUN	rank
went	VERB	go
with	ADP	with
a	DET	a
silky	ADJ	silky
retinue	NOUN	retinue
;	PUNCT	;
there	ADV	there
where	SCONJ	where
a	DET	a
pair	NOUN	pair
of	ADP	of
turbaned	ADJ	turbaned
Sikhs	PROPN	Sikhs
stood	VERB	stand
near	ADP	near
two	NUM	two
begoggled	ADJ	begoggled
Korean	ADJ	korean
priests	NOUN	priest
,	PUNCT	,
muttering	VERB	mutter
in	ADP	in
gutturals	NOUN	guttural
over	ADP	over
their	PRON	their
tickets	NOUN	ticket
for	ADP	for
the	DET	the
South	PROPN	South
.	PUNCT	.
The	DET	the
placidity	NOUN	placidity
and	CCONJ	and
impenetrable	ADJ	impenetrable
calm	NOUN	calm
of	ADP	of
these	DET	these
few	ADJ	few
Oriental	PROPN	Oriental
faces	NOUN	face
served	VERB	serve
but	CCONJ	but
to	PART	to
