SILENCE	PROPN	SILENCE
IS	AUX	be
--	PUNCT	--
DEADLY	ADJ	deadly
By	ADP	by
Bertrand	PROPN	Bertrand
L.	PROPN	L.
Shurtleff	PROPN	Shurtleff
Radio	PROPN	Radio
is	AUX	be
an	DET	an
absolute	ADJ	absolute
necessity	NOUN	necessity
in	ADP	in
modern	NOUN	modern
organization	NOUN	organization
--	PUNCT	--
and	CCONJ	and
particularly	ADV	particularly
in	ADP	in
modern	ADJ	modern
naval	ADJ	naval
organization	NOUN	organization
.	PUNCT	.
If	SCONJ	if
you	PRON	you
could	AUX	could
silence	VERB	silence
all	DET	all
radio	NOUN	radio
--	PUNCT	--
silence	NOUN	silence
of	ADP	of
that	DET	that
sort	NOUN	sort
would	AUX	would
be	AUX	be
deadly	ADJ	deadly
!	PUNCT	!
The	DET	the
hurried	ADJ	hurried
_	PUNCT	_
rat	NOUN	rat
-	PUNCT	-
a	NOUN	a
-	PUNCT	-
tat	NOUN	tat
_	PUNCT	_
of	ADP	of
knuckles	NOUN	knuckle
hammered	VERB	hammer
on	ADP	on
the	DET	the
cabin	NOUN	cabin
door	NOUN	door
.	PUNCT	.
Commander	NOUN	commander
Bob	PROPN	Bob
Curtis	PROPN	Curtis
roused	VERB	rouse
himself	PRON	himself
from	ADP	from
his	PRON	his
doze	NOUN	doze
,	PUNCT	,
got	VERB	get
up	ADP	up
from	ADP	from
his	PRON	his
chair	NOUN	chair
,	PUNCT	,
stretched	VERB	stretch
himself	PRON	himself
to	ADP	to
his	PRON	his
full	ADJ	full
,	PUNCT	,
lanky	ADJ	lanky
height	NOUN	height
and	CCONJ	and
yawned	VERB	yawn
.	PUNCT	.
That	DET	that
would	AUX	would
be	AUX	be
Nelson	PROPN	Nelson
,	PUNCT	,
his	PRON	his
navigating	VERB	navigate
officer	NOUN	officer
.	PUNCT	.
Nelson	PROPN	Nelson
always	ADV	always
knocked	VERB	knock
that	DET	that
way	ADV	way
--	PUNCT	--
like	ADP	like
a	DET	a
man	NOUN	man
in	ADP	in
an	DET	an
external	ADJ	external
state	NOUN	state
of	ADP	of
jitters	NOUN	jitter
over	ADP	over
nothing	PRON	nothing
at	ADV	at
all	ADV	all
.	PUNCT	.
Curtis	PROPN	Curtis
did	AUX	do
n't	PART	not
hurry	VERB	hurry
.	PUNCT	.
It	PRON	it
pleased	VERB	please
him	PRON	he
to	PART	to
let	VERB	let
Nelson	PROPN	Nelson
wait	VERB	wait
.	PUNCT	.
He	PRON	he
moved	VERB	move
slowly	ADV	slowly
to	ADP	to
the	DET	the
door	NOUN	door
,	PUNCT	,
paused	VERB	pause
there	ADV	there
,	PUNCT	,
and	CCONJ	and
flung	VERB	fling
a	DET	a
backward	ADJ	backward
glance	NOUN	glance
at	ADP	at
the	DET	the
man	NOUN	man
in	ADP	in
the	DET	the
cabin	NOUN	cabin
with	ADP	with
him	PRON	he
--	PUNCT	--
Zukor	PROPN	Zukor
Androka	PROPN	Androka
,	PUNCT	,
the	DET	the
elderly	ADJ	elderly
Czech	ADJ	czech
scientist	NOUN	scientist
,	PUNCT	,
a	DET	a
guest	NOUN	guest
of	ADP	of
the	DET	the
United	PROPN	United
States	PROPN	States
navy	NOUN	navy
,	PUNCT	,
here	ADV	here
aboard	ADP	aboard
the	DET	the
cruiser	NOUN	cruiser
_	PROPN	_
Comerford	PROPN	Comerford
_	PUNCT	_
.	PUNCT	.
The	DET	the
wizened	ADJ	wizened
face	NOUN	face
of	ADP	of
the	DET	the
older	ADJ	old
man	NOUN	man
was	AUX	be
molded	VERB	mold
in	ADP	in
intent	ADJ	intent
lines	NOUN	line
of	ADP	of
concentration	NOUN	concentration
,	PUNCT	,
as	ADP	as
his	PRON	his
bushy	ADJ	bushy
gray	ADJ	gray
head	NOUN	head
bent	VERB	bend
over	ADP	over
his	PRON	his
drawing	NOUN	drawing
board	NOUN	board
.	PUNCT	.
Curtis	PROPN	Curtis
got	VERB	get
a	DET	a
glimpse	NOUN	glimpse
of	ADP	of
