REVOLT	PROPN	REVOLT
IN	ADP	in
THE	DET	the
ICE	NOUN	ice
EMPIRE	NOUN	empire
By	ADP	by
RAY	PROPN	RAY
CUMMINGS	PROPN	CUMMINGS
Frozen	ADJ	frozen
little	ADJ	little
Zura	PROPN	Zura
was	AUX	be
a	DET	a
stellar	ADJ	stellar
Utopia	PROPN	Utopia
,	PUNCT	,
until	ADP	until
the	DET	the
Earthmen	PROPN	Earthmen
came	VERB	come
to	PART	to
topple	VERB	topple
the	DET	the
rule	NOUN	rule
of	ADP	of
its	PRON	its
gentle	ADJ	gentle
queen	NOUN	queen
with	ADP	with
the	DET	the
cankerous	ADJ	cankerous
weapons	NOUN	weapon
of	ADP	of
revolt	NOUN	revolt
.	PUNCT	.
So	ADV	so
much	ADJ	much
has	AUX	have
been	AUX	be
written	VERB	write
into	ADP	into
the	DET	the
permanent	ADJ	permanent
chronologies	NOUN	chronology
of	ADP	of
science	NOUN	science
concerning	VERB	concern
our	PRON	our
pioneer	NOUN	pioneer
voyage	NOUN	voyage
to	ADP	to
the	DET	the
little	ADJ	little
asteroid	NOUN	asteroid
of	ADP	of
Zura	PROPN	Zura
--	PUNCT	--
facts	NOUN	fact
and	CCONJ	and
figures	NOUN	figure
and	CCONJ	and
sociological	ADJ	sociological
deductions	NOUN	deduction
,	PUNCT	,
most	ADJ	most
of	ADP	of
which	DET	which
are	AUX	be
,	PUNCT	,
of	ADP	of
actuality	NOUN	actuality
,	PUNCT	,
erroneous	ADJ	erroneous
--	PUNCT	--
that	SCONJ	that
even	ADV	even
now	ADV	now
after	ADP	after
these	DET	these
many	ADJ	many
years	NOUN	year
,	PUNCT	,
I	PRON	I
feel	VERB	feel
constrained	VERB	constrain
to	PART	to
set	VERB	set
down	ADP	down
,	PUNCT	,
as	ADV	as
simply	ADV	simply
as	ADP	as
I	PRON	I
can	AUX	can
,	PUNCT	,
exactly	ADV	exactly
what	PRON	what
occurred	VERB	occur
.	PUNCT	.
All	DET	all
my	PRON	my
life	NOUN	life
I	PRON	I
have	AUX	have
shunned	VERB	shun
publicity	NOUN	publicity
;	PUNCT	;
my	PRON	my
wife	NOUN	wife
has	AUX	have
shunned	VERB	shun
it	PRON	it
.	PUNCT	.
Zura	PROPN	Zura
,	PUNCT	,
weird	ADJ	weird
little	ADJ	little
wandering	VERB	wander
world	NOUN	world
,	PUNCT	,
has	AUX	have
never	ADV	never
returned	VERB	return
.	PUNCT	.
Why	SCONJ	why
,	PUNCT	,
after	ADP	after
coming	VERB	come
in	ADV	in
from	ADP	from
the	DET	the
realms	NOUN	realm
of	ADP	of
outer	ADJ	outer
space	NOUN	space
at	ADP	at
least	ADJ	least
twice	ADV	twice
and	CCONJ	and
rounding	VERB	round
our	PRON	our
Sun	PROPN	Sun
upon	SCONJ	upon
an	DET	an
elliptic	ADJ	elliptic
orbit	NOUN	orbit
,	PUNCT	,
it	PRON	it
should	AUX	should
now	ADV	now
have	AUX	have
failed	VERB	fail
to	PART	to
reappear	VERB	reappear
--	PUNCT	--
I	PRON	I
will	AUX	will
leave	VERB	leave
that	DET	that
to	ADP	to
the	DET	the
astronomers	NOUN	astronomer
to	PART	to
imagine	VERB	imagine
.	PUNCT	.
But	CCONJ	but
no	DET	no
one	NOUN	one
from	ADP	from
Earth	PROPN	Earth
,	PUNCT	,
quite	ADV	quite
obviously	ADV	obviously
,	PUNCT	,
will	AUX	will
ever	ADV	ever
go	VERB	go
to	ADP	to
Zura	PROPN	Zura
again	ADV	again
.	PUNCT	.
Tara	PROPN	Tara
and	CCONJ	and
I	PRON	I
,	PUNCT	,
so	ADV	so
to	PART	to
speak	VERB	speak
,	PUNCT	,
are	AUX	be
sole	ADJ	sole
survivors	NOUN	survivor
.	PUNCT	.
So	ADV	so
at	ADP	at
least	ADJ	least
I	PRON	I
think	VERB	think
I	PRON	I
am	AUX	be
qualified	ADJ	qualified
to	PART	to
tell	VERB	tell
what	PRON	what
happened	VERB	happen
;	PUNCT	;
to	PART	to
correct	VERB	correct
the	DET	the
Official	PROPN	Official
Chronolograph	PROPN	Chronolograph
in	ADP	in
its	PRON	its
implications	NOUN	implication
that	SCONJ	that
Zura	PROPN	Zura
was	AUX	be
a	DET	a
model	ADJ	model
little	ADJ	little
world	NOUN	world
,	PUNCT	,
from	ADP	from
which	DET	which
our	PRON	our
Earth	PROPN	Earth
might	AUX	might
learn	VERB	learn
much	ADJ	much
.	PUNCT	.
As	ADP	as
my	PRON	my
grandfather	NOUN	grandfather
might	AUX	might
have	AUX	have
quoted	VERB	quote
his	PRON	his
grandfather	NOUN	grandfather
saying	VERB	say
,	PUNCT	,
that	DET	that
is	AUX	be
the	DET	the
bunk	NOUN	bunk
.	PUNCT	.
When	SCONJ	when
you	PRON	you
put	VERB	put
humans	NOUN	human
on	ADP	on
a	DET	a
planet	NOUN	planet
,	PUNCT	,
you	PRON	you
will	AUX	will
get	VERB	get
love	NOUN	love
--	PUNCT	--
but	CCONJ	but
also	ADV	also
hate	NOUN	hate
;	PUNCT	;
honesty	NOUN	honesty
,	PUNCT	,
but	NOUN	but
dishonesty	NOUN	dishonesty
;	PUNCT	;
peace	NOUN	peace
,	PUNCT	,
but	CCONJ	but
also	ADV	also
war	NOUN	war
.	PUNCT	.
The	DET	the
weird	ADJ	weird
people	NOUN	people
of	ADP	of
Zura	PROPN	Zura
were	AUX	be
weird	ADJ	weird
to	ADP	to
us	PRON	we
only	ADV	only
because	SCONJ	because
their	PRON	their
environment	NOUN	environment
had	AUX	have
made	VERB	make
them	PRON	they
outwardly	ADV	outwardly
different	ADJ	different
from	ADP	from
us	PRON	we
.	PUNCT	.
Like	ADP	like
us	PRON	we
they	PRON	they
were	AUX	be
human	ADJ	human
--	PUNCT	--
and	CCONJ	and
there	PRON	there
could	AUX	could
never	ADV	never
have	AUX	have
been	AUX	be
Utopia	PROPN	Utopia
evolved	VERB	evolve
from	ADP	from
them	PRON	they
.	PUNCT	.
I	PRON	I
am	AUX	be
no	DET	no
philosopher	NOUN	philosopher
,	PUNCT	,
but	CCONJ	but
at	ADP	at
least	ADJ	least
I	PRON	I
must	AUX	must
have	AUX	have
my	PRON	my
say	NOUN	say
on	ADP	on
this	DET	this
.	PUNCT	.
Tara	PROPN	Tara
was	AUX	be
misguided	ADJ	misguided
.	PUNCT	.
She	PRON	she
admits	VERB	admit
it	PRON	it
now	ADV	now
.	PUNCT	.
Indeed	ADV	indeed
,	PUNCT	,
at	ADP	at
heart	NOUN	heart
she	PRON	she
is	AUX	be
more	ADV	more
opposed	ADJ	opposed
than	ADP	than
most	ADJ	most
of	ADP	of
you	PRON	you
who	PRON	who
read	VERB	read
this	DET	this
,	PUNCT	,
to	ADP	to
those	DET	those
crusaders	NOUN	crusader
here	ADV	here
on	ADP	on
earth	NOUN	earth
who	PRON	who
talk	VERB	talk
of	ADP	of
revolutions	NOUN	revolution
and	CCONJ	and
bloodshed	NOUN	bloodshed
so	SCONJ	so
that	SCONJ	that
some	DET	some
new	ADJ	new
Social	PROPN	Social
Order	PROPN	Order
may	AUX	may
evolve	VERB	evolve
and	CCONJ	and
bring	VERB	bring
the	DET	the
world	NOUN	world
Utopia	PROPN	Utopia
.	PUNCT	.
The	DET	the
ideals	NOUN	ideal
are	AUX	be
often	ADV	often
sound	ADJ	sound
,	PUNCT	,
but	CCONJ	but
always	ADV	always
impossible	ADJ	impossible
of	ADP	of
fulfillment	NOUN	fulfillment
.	PUNCT	.
And	CCONJ	and
those	DET	those
who	PRON	who
sponsor	VERB	sponsor
them	PRON	they
usually	ADV	usually
are	AUX	be
intelligent	ADJ	intelligent
enough	ADV	enough
to	PART	to
know	VERB	know
it	PRON	it
,	PUNCT	,
advancing	VERB	advance
themselves	PRON	themselves
upon	SCONJ	upon
the	DET	the
pitiful	ADJ	pitiful
hopes	NOUN	hope
of	ADP	of
the	DET	the
ignorant	ADJ	ignorant
,	PUNCT	,
who	PRON	who
think	VERB	think
they	PRON	they
are	AUX	be
being	AUX	be
led	VERB	lead
upward	ADV	upward
when	SCONJ	when
in	ADP	in
reality	NOUN	reality
they	PRON	they
are	AUX	be
often	ADV	often
worse	ADJ	bad
off	ADP	off
than	ADP	than
before	ADV	before
