EUGENE	PROPN	EUGENE
ZAMIATIN	PROPN	ZAMIATIN
WE	PROPN	WE
Authorized	VERB	authorize
Translation	NOUN	translation
from	ADP	from
the	DET	the
Russian	PROPN	Russian
By	ADP	by
GREGORY	PROPN	GREGORY
ZILBOORG	PROPN	ZILBOORG
New	PROPN	New
York	PROPN	York
E.	PROPN	E.
P.	PROPN	P.
DUTTON	PROPN	DUTTON
&	CCONJ	&
COMPANY	PROPN	COMPANY
681	NUM	681
FIFTH	PROPN	FIFTH
AVENUE	PROPN	AVENUE
Copyright	NOUN	copyright
,	PUNCT	,
1924	NUM	1924
By	ADP	by
E.	PROPN	E.
P.	PROPN	P.
Dutton	PROPN	Dutton
&	CCONJ	&
Company	PROPN	Company
_	PUNCT	_
All	DET	all
Rights	NOUN	right
Reserved	VERB	reserve
_	PUNCT	_
Printed	VERB	print
in	ADP	in
the	DET	the
United	PROPN	United
States	PROPN	States
of	ADP	of
America	PROPN	America
FOREWORD	PROPN	FOREWORD
In	ADP	in
submitting	VERB	submit
this	DET	this
book	NOUN	book
to	ADP	to
the	DET	the
American	ADJ	american
public	NOUN	public
the	DET	the
translator	NOUN	translator
has	AUX	have
this	DET	this
to	PART	to
say	VERB	say
.	PUNCT	.
The	DET	the
artistic	ADJ	artistic
and	CCONJ	and
psychological	ADJ	psychological
sides	NOUN	side
of	ADP	of
the	DET	the
novel	NOUN	novel
are	AUX	be
hardly	ADV	hardly
to	PART	to
be	AUX	be
discussed	VERB	discuss
in	ADP	in
a	DET	a
preface	NOUN	preface
.	PUNCT	.
Great	ADJ	great
as	ADP	as
the	DET	the
art	NOUN	art
of	ADP	of
a	DET	a
writer	NOUN	writer
may	AUX	may
be	AUX	be
and	CCONJ	and
profound	ADJ	profound
as	ADP	as
his	PRON	his
psychology	NOUN	psychology
may	AUX	may
seem	VERB	seem
to	ADP	to
one	NUM	one
,	PUNCT	,
the	DET	the
impression	NOUN	impression
is	AUX	be
largely	ADV	largely
a	DET	a
matter	NOUN	matter
of	ADP	of
individual	ADJ	individual
variations	NOUN	variation
,	PUNCT	,
and	CCONJ	and
this	DET	this
side	NOUN	side
must	AUX	must
naturally	ADV	naturally
be	AUX	be
left	VERB	leave
to	ADP	to
each	DET	each
individual	ADJ	individual
's	PART	's
judgment	NOUN	judgment
and	CCONJ	and
sensibilities	NOUN	sensibility
.	PUNCT	.
There	PRON	there
is	AUX	be
,	PUNCT	,
however	ADV	however
,	PUNCT	,
one	NUM	one
side	NOUN	side
of	ADP	of
the	DET	the
matter	NOUN	matter
which	DET	which
deserves	VERB	deserve
particular	NOUN	particular
mention	NOUN	mention
and	CCONJ	and
motivated	VERB	motivate
emphasis	NOUN	emphasis
.	PUNCT	.
It	PRON	it
is	AUX	be
perhaps	ADV	perhaps
for	ADP	for
the	DET	the
first	ADJ	first
time	NOUN	time
in	ADP	in
the	DET	the
history	NOUN	history
of	ADP	of
the	DET	the
last	ADJ	last
few	ADJ	few
decades	NOUN	decade
that	SCONJ	that
a	DET	a
Russian	ADJ	russian
book	NOUN	book
,	PUNCT	,
inspired	VERB	inspire
by	ADP	by
Russian	ADJ	russian
life	NOUN	life
,	PUNCT	,
written	VERB	write
in	ADP	in
Russia	PROPN	Russia
and	CCONJ	and
in	ADP	in
the	DET	the
Russian	ADJ	russian
language	NOUN	language
,	PUNCT	,
should	AUX	should
see	VERB	see
its	PRON	its
first	ADJ	first
light	NOUN	light
not	PART	not
in	ADP	in
Russia	PROPN	Russia
but	CCONJ	but
abroad	ADV	abroad
,	PUNCT	,
and	CCONJ	and
not	PART	not
in	ADP	in
the	DET	the
language	NOUN	language
it	PRON	it
was	AUX	be
originally	ADV	originally
written	VERB	write
but	CCONJ	but
translated	VERB	translate
into	ADP	into
a	DET	a
foreign	ADJ	foreign
tongue	NOUN	tongue
.	PUNCT	.
During	ADP	during
the	DET	the
darkest	ADJ	dark
years	NOUN	year
of	ADP	of
Russian	ADJ	russian
history	NOUN	history
,	PUNCT	,
in	ADP	in
