MONSTER	PROPN	MONSTER
OF	ADP	of
THE	DET	the
ASTEROID	PROPN	ASTEROID
By	ADP	by
RAY	PROPN	RAY
CUMMINGS	PROPN	CUMMINGS
They	PRON	they
might	AUX	might
gamble	VERB	gamble
,	PUNCT	,
but	CCONJ	but
win	VERB	win
or	CCONJ	or
lose	VERB	lose
the	DET	the
take	NOUN	take
was	AUX	be
death	NOUN	death
for	ADP	for
these	DET	these
two	NUM	two
new	ADJ	new
slaves	NOUN	slave
of	ADP	of
the	DET	the
Master	NOUN	master
of	ADP	of
that	DET	that
pitted	ADJ	pitted
Devil	PROPN	Devil
's	PART	's
Isle	PROPN	Isle
of	ADP	of
outer	ADJ	outer
space	NOUN	space
.	PUNCT	.
The	DET	the
amazing	ADJ	amazing
thing	NOUN	thing
began	VERB	begin
that	DET	that
summer	NOUN	summer
evening	NOUN	evening
of	ADP	of
1965	NUM	1965
while	SCONJ	while
I	PRON	I
was	AUX	be
sitting	VERB	sit
with	ADP	with
Dora	PROPN	Dora
Franklin	PROPN	Franklin
on	ADP	on
the	DET	the
third	ADJ	third
ramp	NOUN	ramp
at	ADP	at
the	DET	the
crossroads	NOUN	crossroad
,	PUNCT	,
listening	VERB	listen
to	ADP	to
the	DET	the
outdoor	ADJ	outdoor
public	NOUN	public
-	PUNCT	-
music	NOUN	music
.	PUNCT	.
We	PRON	we
were	AUX	be
on	ADP	on
the	DET	the
fringe	NOUN	fringe
of	ADP	of
the	DET	the
crowd	NOUN	crowd
in	ADP	in
a	DET	a
secluded	ADJ	secluded
little	ADJ	little
place	NOUN	place
where	SCONJ	where
there	PRON	there
was	AUX	be
a	DET	a
small	ADJ	small
bench	NOUN	bench
under	ADP	under
the	DET	the
overhanging	VERB	overhang
branches	NOUN	branch
of	ADP	of
a	DET	a
tree	NOUN	tree
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
romantic	ADJ	romantic
scene	NOUN	scene
with	ADP	with
the	DET	the
audience	NOUN	audience
seated	VERB	seat
in	ADP	in
crescent	NOUN	crescent
rows	NOUN	row
under	ADP	under
the	DET	the
strings	NOUN	string
of	ADP	of
colored	ADJ	colored
tubelights	NOUN	tubelight
.	PUNCT	.
My	PRON	my
arm	NOUN	arm
went	VERB	go
around	ADP	around
Dora	PROPN	Dora
,	PUNCT	,
with	ADP	with
her	PRON	her
head	NOUN	head
against	ADP	against
my	PRON	my
shoulder	NOUN	shoulder
as	ADP	as
we	PRON	we
listened	VERB	listen
to	ADP	to
the	DET	the
soft	ADJ	soft
exotic	ADJ	exotic
music	NOUN	music
.	PUNCT	.
Around	ADP	around
us	PRON	we
,	PUNCT	,
countless	ADJ	countless
other	ADJ	other
couples	NOUN	couple
were	AUX	be
also	ADV	also
listening	VERB	listen
in	ADP	in
silence	NOUN	silence
.	PUNCT	.
A	DET	a
pair	NOUN	pair
of	ADP	of
young	ADJ	young
lovers	NOUN	lover
.	PUNCT	.
I	PRON	I
realize	VERB	realize
now	ADV	now
that	DET	that
was	AUX	be
doubtless	ADV	doubtless
what	PRON	what
first	VERB	first
attracted	VERB	attract
the	DET	the
furtive	ADJ	furtive
man	NOUN	man
to	ADP	to
us	PRON	we
.	PUNCT	.
How	SCONJ	how
long	ADV	long
he	PRON	he
and	CCONJ	and
his	PRON	his
weird	ADJ	weird
little	NOUN	little
companion	NOUN	companion
had	AUX	have
been	AUX	be
watching	VERB	watch
us	PRON	we
I	PRON	I
have	AUX	have
no	DET	no
idea	NOUN	idea
.	PUNCT	.
I	PRON	I
was	AUX	be
aware	ADJ	aware
of	ADP	of
the	DET	the
two	NUM	two
dark	ADJ	dark
shapes	NOUN	shape
in	ADP	in
the	DET	the
shadow	NOUN	shadow
under	ADP	under
a	DET	a
nearby	ADJ	nearby
tree	NOUN	tree
--	PUNCT	--
a	DET	a
tall	ADJ	tall
blob	NOUN	blob
and	CCONJ	and
a	DET	a
short	ADJ	short
one	NOUN	one
.	PUNCT	.
Then	ADV	then
the	DET	the
tall	ADJ	tall
one	NUM	one
came	VERB	come
forward	ADV	forward
;	PUNCT	;
the	DET	the
short	ADJ	short
one	NOUN	one
lurked	VERB	lurk
in	ADP	in
the	DET	the
deep	ADJ	deep
shadows	NOUN	shadow
a	DET	a
few	ADJ	few
feet	NOUN	foot
away	ADV	away
.	PUNCT	.
""""	PUNCT	""""
The	DET	the
music	NOUN	music
is	AUX	be
very	ADV	very
pretty	ADJ	pretty
?	PUNCT	?
""""	PUNCT	""""
a	DET	a
guttural	ADJ	guttural
voice	NOUN	voice
said	VERB	say
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
man	NOUN	man
in	ADP	in
a	DET	a
long	ADJ	long
,	PUNCT	,
dull	ADJ	dull
-	PUNCT	-
black	ADJ	black
cloak	NOUN	cloak
.	PUNCT	.
His	PRON	his
black	ADJ	black
peaked	ADJ	peaked
hat	NOUN	hat
had	AUX	have
a	DET	a
fringe	NOUN	fringe
almost	ADV	almost
in	ADP	in
woman	ADJ	woman
fashion	NOUN	fashion
which	DET	which
dangled	VERB	dangle
past	ADP	past
his	PRON	his
ears	NOUN	ear
and	CCONJ	and
shrouded	VERB	shroud
his	PRON	his
face	NOUN	face
so	SCONJ	so
that	SCONJ	that
I	PRON	I
could	AUX	could
hardly	ADV	hardly
see	VERB	see
it	PRON	it
.	PUNCT	.
With	ADP	with
his	PRON	his
mumbled	ADJ	mumbled
greeting	NOUN	greeting
he	PRON	he
sidled	VERB	sidle
up	ADV	up
and	CCONJ	and
dropped	VERB	drop
to	ADP	to
the	DET	the
bench	NOUN	bench
beside	ADP	beside
me	PRON	I
,	PUNCT	,
peering	VERB	peer
past	ADP	past
me	PRON	I
at	ADP	at
Dora	PROPN	Dora
as	ADP	as
though	SCONJ	though
he	PRON	he
were	AUX	be
infinitely	ADV	infinitely
more	ADV	more
interested	ADJ	interested
in	ADP	in
her	PRON	she
rather	ADV	rather
than	ADP	than
me	PRON	I
which	DET	which
was	AUX	be
not	PART	not
in	ADP	in
itself	PRON	itself
a	DET	a
surprising	ADJ	surprising
fact	NOUN	fact
.	PUNCT	.
""""	PUNCT	""""
Yes	INTJ	yes
,	PUNCT	,
""""	PUNCT	""""
I	PRON	I
agreed	VERB	agree
.	PUNCT	.
Dora	PROPN	Dora
and	CCONJ	and
I	PRON	I
sat	VERB	sit
up	ADP	up
and	CCONJ	and
shifted	VERB	shift
reluctantly	ADV	reluctantly
to	PART	to
give	VERB	give
him	PRON	he
room	NOUN	room
.	PUNCT	.
The	DET	the
little	ADJ	little
figure	NOUN	figure
ten	NUM	ten
feet	NOUN	foot
away	ADV	away
,	PUNCT	,
stood	VERB	stand
impassive	ADJ	impassive
.	PUNCT	.
I	PRON	I
recall	VERB	recall
that	SCONJ	that
I	PRON	I
stared	VERB	stare
with	ADP	with
a	DET	a
sudden	ADJ	sudden
startled	ADJ	startled
astonishment	NOUN	astonishment
;	PUNCT	;
and	CCONJ	and
then	ADV	then
with	ADP	with
a	DET	a
vague	ADJ	vague
shudder	NOUN	shudder
stabbing	VERB	stab
into	ADP	into
me	PRON	I
.	PUNCT	.
The	DET	the
silent	ADJ	silent
shape	NOUN	shape
was	AUX	be
no	DET	no
more	ADJ	more
than	ADP	than
five	NUM	five
feet	NOUN	foot
tall	ADJ	tall
,	PUNCT	,
so	SCONJ	so
that	SCONJ	that
with	ADP	with
a	DET	a
quick	ADJ	quick
glance	NOUN	glance
here	ADV	here
in	ADP	in
the	DET	the
dimness	NOUN	dimness
one	PRON	one
might	AUX	might
have	AUX	have
thought	VERB	think
it	PRON	it
a	DET	a
half	ADV	half
grown	VERB	grow
boy	NOUN	boy
.	PUNCT	.
A	DET	a
man	NOUN	man
's	PART	's
long	ADJ	long
black	ADJ	black
overcoat	NOUN	overcoat
fell	VERB	fall
from	ADP	from
the	DET	the
top	NOUN	top
of	ADP	of
its	PRON	its
head	NOUN	head
almost	ADV	almost
to	ADP	to
the	DET	the
ground	NOUN	ground
,	PUNCT	,
as	ADP	as
though	SCONJ	though
a	DET	a
boy	NOUN	boy
had	AUX	have
the	DET	the
overcoat	NOUN	overcoat
hung	VERB	hang
on	ADP	on
his	PRON	his
head	NOUN	head
,	PUNCT	,
with	ADP	with
all	DET	all
of	ADP	of
him	PRON	he
shrouded	VERB	shroud
inside	ADP	inside
it	PRON	it
.	PUNCT	.
But	CCONJ	but
the	DET	the
top	NOUN	top
of	ADP	of
the	DET	the
overcoat	NOUN	overcoat
was	AUX	be
limp	ADJ	limp
,	PUNCT	,
sagging	VERB	sag
.	PUNCT	.
I	PRON	I
had	AUX	have
the	DET	the
sudden	ADJ	sudden
crazy	ADJ	crazy
thought	NOUN	thought
that	SCONJ	that
the	DET	the
thing	NOUN	thing
was	AUX	be
headless	ADJ	headless
--	PUNCT	--
an	DET	an
overcoat	NOUN	overcoat
hanging	VERB	hang
on	ADP	on
wide	ADJ	wide
square	ADJ	square
shoulders	NOUN	shoulder
without	ADP	without
any	DET	any
head	NOUN	head
above	ADP	above
them	PRON	they
!	PUNCT	!
I	PRON	I
shuddered	VERB	shudder
involuntarily	ADV	involuntarily
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
and	CCONJ	and
the	DET	the
young	ADJ	young
lady	NOUN	lady
like	ADP	like
music	NOUN	music
?	PUNCT	?
""""	PUNCT	""""
the	DET	the
man	NOUN	man
beside	ADP	beside
me	PRON	I
was	AUX	be
saying	VERB	say
.	PUNCT	.
""""	PUNCT	""""
It	PRON	it
is	AUX	be
romantic	ADJ	romantic
.	PUNCT	.
You	PRON	you
are	AUX	be
engaged	ADJ	engaged
maybe	ADV	maybe
?	PUNCT	?
Or	CCONJ	or
honeymooning	VERB	honeymoon
?	PUNCT	?
""""	PUNCT	""""
His	PRON	his
voice	NOUN	voice
was	AUX	be
almost	ADV	almost
too	ADV	too
solicitous	ADJ	solicitous
.	PUNCT	.
Between	ADP	between
the	DET	the
shrouding	VERB	shroud
fringe	NOUN	fringe
of	ADP	of
his	PRON	his
hat	NOUN	hat
the	DET	the
colored	ADJ	colored
tubelight	NOUN	tubelight
sheen	NOUN	sheen
gleamed	VERB	gleam
on	ADP	on
his	PRON	his
partly	ADV	partly
shrouded	VERB	shroud
face	NOUN	face
.	PUNCT	.
It	PRON	it
was	AUX	be
pallid	ADJ	pallid
,	PUNCT	,
hawk	NOUN	hawk
-	PUNCT	-
