Crypt	NOUN	crypt
-	PUNCT	-
City	PROPN	City
of	ADP	of
the	DET	the
Deathless	ADJ	deathless
One	NUM	one
A	DET	a
grimly	ADV	grimly
-	PUNCT	-
stirring	VERB	stir
novel	NOUN	novel
of	ADP	of
weird	NOUN	weird
adventure	NOUN	adventure
on	ADP	on
an	DET	an
alien	ADJ	alien
world	NOUN	world
By	ADP	by
Henry	PROPN	Henry
Kuttner	PROPN	Kuttner
Only	ADV	only
once	ADV	once
could	AUX	could
a	DET	a
man	NOUN	man
defy	VERB	defy
the	DET	the
deathless	ADJ	deathless
guardians	NOUN	guardian
of	ADP	of
the	DET	the
Ancient	NOUN	ancient
's	PART	's
tomb	NOUN	tomb
-	PUNCT	-
city	NOUN	city
deep	ADV	deep
in	ADP	in
Ganymede	PROPN	Ganymede
's	PART	's
hell	NOUN	hell
-	PUNCT	-
forest	NOUN	forest
and	CCONJ	and
expect	VERB	expect
to	PART	to
live	VERB	live
.	PUNCT	.
Yet	CCONJ	yet
Ed	PROPN	Ed
Garth	PROPN	Garth
had	AUX	have
to	PART	to
return	VERB	return
,	PUNCT	,
had	AUX	have
to	PART	to
lead	VERB	lead
men	NOUN	man
to	ADP	to
certain	ADJ	certain
doom	NOUN	doom
--	PUNCT	--
to	PART	to
keep	VERB	keep
a	DET	a
promise	NOUN	promise
to	ADP	to
a	DET	a
girl	NOUN	girl
he	PRON	he
would	AUX	would
never	ADV	never
see	VERB	see
again	ADV	again
.	PUNCT	.
Icy	ADJ	icy
water	NOUN	water
splashed	VERB	splash
into	ADP	into
Ed	PROPN	Ed
Garth	PROPN	Garth
's	PART	's
face	NOUN	face
and	CCONJ	and
dripped	VERB	drip
down	ADP	down
his	PRON	his
tattered	ADJ	tattered
,	PUNCT	,
grimy	ADJ	grimy
shirt	NOUN	shirt
.	PUNCT	.
It	PRON	it
was	AUX	be
a	DET	a
tremendous	ADJ	tremendous
effort	NOUN	effort
to	PART	to
open	VERB	open
his	PRON	his
eyes	NOUN	eye
.	PUNCT	.
Fumes	NOUN	fume
of	ADP	of
the	DET	the
native	ADJ	native
Ganymedean	ADJ	ganymedean
rotgut	NOUN	rotgut
liquor	NOUN	liquor
were	AUX	be
swimming	VERB	swim
in	ADP	in
his	PRON	his
brain	NOUN	brain
.	PUNCT	.
Someone	PRON	someone
was	AUX	be
shaking	VERB	shake
him	PRON	he
roughly	ADV	roughly
.	PUNCT	.
Garth	PROPN	Garth
's	PART	's
stocky	ADJ	stocky
body	NOUN	body
jerked	VERB	jerk
convulsively	ADV	convulsively
.	PUNCT	.
He	PRON	he
struck	VERB	strike
out	ADV	out
,	PUNCT	,
his	PRON	his
drink	NOUN	drink
-	PUNCT	-
swollen	VERB	swell
face	NOUN	face
twisted	VERB	twist
with	ADP	with
frightened	ADJ	frightened
fury	NOUN	fury
,	PUNCT	,
and	CCONJ	and
gasped	VERB	gasp
,	PUNCT	,
""""	PUNCT	""""
_	PUNCT	_
Ylgana	X	ylgana
!	PUNCT	!
Vo	X	vo
m'trana	X	m'trana
al	PROPN	al
-	PUNCT	-
khron_--	PUNCT	khron_--
""""	PUNCT	""""
The	DET	the
hand	NOUN	hand
on	ADP	on
his	PRON	his
shoulder	NOUN	shoulder
fell	VERB	fall
away	ADV	away
.	PUNCT	.
Someone	PRON	someone
said	VERB	say
,	PUNCT	,
""""	PUNCT	""""
That	DET	that
's	AUX	be
it	PRON	it
,	PUNCT	,
Paula	PROPN	Paula
!	PUNCT	!
The	DET	the
Ancient	PROPN	Ancient
Tongue	PROPN	Tongue
!	PUNCT	!
""""	PUNCT	""""
And	CCONJ	and
a	DET	a
girl	NOUN	girl
's	PART	's
voice	NOUN	voice
,	PUNCT	,
doubtful	ADJ	doubtful
,	PUNCT	,
a	DET	a
little	ADJ	little
disgusted	ADJ	disgusted
.	PUNCT	.
""""	PUNCT	""""
You	PRON	you
're	AUX	be
sure	ADJ	sure
?	PUNCT	?
But	CCONJ	but
how	SCONJ	how
in	ADP	in
the	DET	the
System	NOUN	system
did	AUX	do
this	DET	this
--	PUNCT	--
this--	PUNCT	this--
""""	PUNCT	""""
""""	PUNCT	""""
Bum	NOUN	bum
.	PUNCT	.
Tramp	NOUN	tramp
,	PUNCT	,
""""	PUNCT	""""
Garth	PROPN	Garth
muttered	VERB	mutter
,	PUNCT	,
peering	VERB	peer
blearily	ADV	blearily
at	ADP	at
the	DET	the
pale	ADJ	pale
ovals	NOUN	oval
of	ADP	of
unfocused	ADJ	unfocused
faces	NOUN	face
above	ADP	above
him	PRON	he
.	PUNCT	.
""""	PUNCT	""""
Do	AUX	do
n't	PART	not
mind	VERB	mind
me	PRON	I
,	PUNCT	,
sister	NOUN	sister
.	PUNCT	.
