Keeper	NOUN	keeper
of	ADP	of
the	DET	the
Deathless	ADJ	deathless
Sleep	PROPN	Sleep
by	ADP	by
Albert	PROPN	Albert
De	PROPN	De
Pina	PROPN	Pina
Nardon	PROPN	Nardon
,	PUNCT	,
the	DET	the
Correlator	NOUN	correlator
,	PUNCT	,
had	AUX	have
banded	VERB	band
together	ADV	together
the	DET	the
greatest	ADJ	great
brains	NOUN	brain
of	ADP	of
the	DET	the
Solar	PROPN	Solar
System	PROPN	System
to	PART	to
battle	VERB	battle
the	DET	the
menace	NOUN	menace
spawned	VERB	spawn
by	ADP	by
Saturn	PROPN	Saturn
--	PUNCT	--
was	AUX	be
leading	VERB	lead
them	PRON	they
into	ADP	into
the	DET	the
stronghold	NOUN	stronghold
of	ADP	of
the	DET	the
Energasts	PROPN	Energasts
themselves	PRON	themselves
.	PUNCT	.
_	PUNCT	_
""""	PUNCT	""""
We	PRON	we
can	AUX	can
not	PART	not
fight	VERB	fight
,	PUNCT	,
""""	PUNCT	""""
Antaran	PROPN	Antaran
said	VERB	say
.	PUNCT	.
""""	PUNCT	""""
Not	PART	not
now	ADV	now
....	PUNCT	....
We	PRON	we
must	AUX	must
be	AUX	be
patient	ADJ	patient
a	DET	a
while	NOUN	while
longer	ADV	long
.	PUNCT	.
Venus	PROPN	Venus
still	ADV	still
holds	VERB	hold
the	DET	the
secret	NOUN	secret
of	ADP	of
Vulcan	ADJ	vulcan
base	NOUN	base
and	CCONJ	and
without	ADJ	without
allotropic	ADJ	allotropic
metal	NOUN	metal
our	PRON	our
fleet	NOUN	fleet
would	AUX	would
be	AUX	be
so	ADV	so
much	ADV	much
papier	ADJ	papi
mache	NOUN	mache
!	PUNCT	!
""""	PUNCT	""""
He	PRON	he
fell	VERB	fall
silent	ADJ	silent
.	PUNCT	.
_	PUNCT	_
_	PUNCT	_
In	ADP	in
the	DET	the
soft	ADJ	soft
,	PUNCT	,
smoky	ADJ	smoky
-	PUNCT	-
blue	ADJ	blue
twilight	NOUN	twilight
of	ADP	of
the	DET	the
great	ADJ	great
subterranean	ADJ	subterranean
room	NOUN	room
beneath	ADP	beneath
the	DET	the
Universarium	PROPN	Universarium
,	PUNCT	,
Bill	PROPN	Bill
Nardon	PROPN	Nardon
gazed	VERB	gaze
expressionlessly	ADV	expressionlessly
at	ADP	at
the	DET	the
angular	ADJ	angular
austerity	NOUN	austerity
of	ADP	of
the	DET	the
Council	PROPN	Council
Leader	PROPN	Leader
's	PART	's
face	NOUN	face
,	PUNCT	,
and	CCONJ	and
remained	VERB	remain
silent	ADJ	silent
.	PUNCT	.
_	PUNCT	_
_	PUNCT	_
""""	PUNCT	""""
Three	NUM	three
more	ADJ	more
spacers	NOUN	spacer
today	NOUN	today
!	PUNCT	!
""""	PUNCT	""""
Antaran	PROPN	Antaran
sank	VERB	sink
slowly	ADV	slowly
into	ADP	into
the	DET	the
yielding	ADJ	yielding
firmness	NOUN	firmness
of	ADP	of
a	DET	a
priceless	ADJ	priceless
crysto	X	crysto
-	PUNCT	-
plast	ADJ	plast
chair	NOUN	chair
.	PUNCT	.
""""	PUNCT	""""
Disappeared	VERB	disappear
....	PUNCT	....
""""	PUNCT	""""
He	PRON	he
paused	VERB	pause
.	PUNCT	.
""""	PUNCT	""""
Must	AUX	must
you	PRON	you
have	AUX	have
this	DET	this
hellish	ADJ	hellish
blue	ADJ	blue
fog	NOUN	fog
,	PUNCT	,
Bill	PROPN	Bill
?	PUNCT	?
""""	PUNCT	""""
He	PRON	he
frowned	VERB	frown
in	ADP	in
distaste	NOUN	distaste
.	PUNCT	.
Bill	PROPN	Bill
Nardon	PROPN	Nardon
smiled	VERB	smile
slowly	ADV	slowly
from	ADP	from
where	SCONJ	where
he	PRON	he
lay	VERB	lay
on	ADP	on
a	DET	a
great	ADJ	great
couch	NOUN	couch
of	ADP	of
alabastrine	NOUN	alabastrine
,	PUNCT	,
utterly	ADV	utterly
relaxed	ADJ	relaxed
.	PUNCT	.
""""	PUNCT	""""
Would	AUX	would
you	PRON	you
rather	ADV	rather
have	AUX	have
a	DET	a
mountain	NOUN	mountain
night	NOUN	night
,	PUNCT	,
a	DET	a
summer	NOUN	summer
twilight	NOUN	twilight
,	PUNCT	,
or	CCONJ	or
dawn	NOUN	dawn
?	PUNCT	?
""""	PUNCT	""""
His	PRON	his
great	ADJ	great
shoulders	NOUN	shoulder
shook	VERB	shake
a	DET	a
little	ADJ	little
with	ADP	with
silent	ADJ	silent
laughter	NOUN	laughter
until	ADP	until
the	DET	the
mane	NOUN	mane
of	ADP	of
dark	ADJ	dark
red	ADJ	red
hair	NOUN	hair
that	PRON	that
hung	VERB	hang
to	ADP	to
his	PRON	his
shoulders	NOUN	shoulder
seemed	VERB	seem
to	PART	to
twinkle	VERB	twinkle
with	ADP	with
pinpoints	NOUN	pinpoint
of	ADP	of
light	NOUN	light
.	PUNCT	.
He	PRON	he
pressed	VERB	press
a	DET	a
series	NOUN	series
of	ADP	of
selectors	NOUN	selector
on	ADP	on
the	DET	the
back	NOUN	back
of	ADP	of
the	DET	the
couch	NOUN	couch
,	PUNCT	,
and	CCONJ	and
slowly	ADV	slowly
a	DET	a
rosy	ADJ	rosy
light	NOUN	light
like	ADJ	like
a	DET	a
tardy	ADJ	tardy
dawn	NOUN	dawn
diffused	VERB	diffuse
through	ADP	through
the	DET	the
room	NOUN	room
together	ADV	together
with	ADP	with
the	DET	the
smell	NOUN	smell
of	ADP	of
the	DET	the
sea	NOUN	sea
.	PUNCT	.
""""	PUNCT	""""
Do	AUX	do
n't	PART	not
look	VERB	look
so	ADV	so
outraged	ADJ	outraged
,	PUNCT	,
Antaran	PROPN	Antaran
;	PUNCT	;
that	DET	that
Spartan	ADJ	spartan
conditioning	NOUN	conditioning
of	ADP	of
yours	NOUN	your
is	AUX	be
a	DET	a
tragedy	NOUN	tragedy
!	PUNCT	!
""""	PUNCT	""""
The	DET	the
aged	ADJ	aged
Council	NOUN	council
leader	NOUN	leader
shrugged	VERB	shrug
his	PRON	his
shoulders	NOUN	shoulder
.	PUNCT	.
_	PUNCT	_
_	PUNCT	_
""""	PUNCT	""""
Listen	VERB	listen
to	ADP	to
me	PRON	I
!	PUNCT	!
""""	PUNCT	""""
Antaran	PROPN	Antaran
said	VERB	say
brusquely	ADV	brusquely
.	PUNCT	.
""""	PUNCT	""""
Half	DET	half
a	DET	a
hundred	NUM	hundred
thousand	NUM	thousand
men	NOUN	man
and	CCONJ	and
women	NOUN	woman
from	ADP	from
six	NUM	six
planets	NOUN	planet
can	AUX	can
not	PART	not
be	AUX	be
hidden	VERB	hide
away	ADV	away
like	ADP	like
so	ADV	so
much	ADJ	much
plunder	NOUN	plunder
.	PUNCT	.
Sooner	ADV	soon
or	CCONJ	or
later	ADV	later
someone	PRON	someone
is	AUX	be
bound	VERB	bind
to	PART	to
escape	VERB	escape
and	CCONJ	and
give	VERB	give
away	ADP	away
the	DET	the
mystery	NOUN	mystery
.	PUNCT	.
Yet	CCONJ	yet
months	NOUN	month
have	AUX	have
passed	VERB	pass
and	CCONJ	and
no	DET	no
trace	NOUN	trace
of	ADP	of
them	PRON	they
has	AUX	have
been	AUX	be
found	VERB	find
.	PUNCT	.
Correlate	ADJ	correlate
that	DET	that
!	PUNCT	!
""""	PUNCT	""""
_	PUNCT	_
_	PUNCT	_
He	PRON	he
sniffed	VERB	sniff
at	ADP	at
the	DET	the
marvelously	ADV	marvelously
fresh	ADJ	fresh
odor	NOUN	odor
of	ADP	of
the	DET	the
sea	NOUN	sea
and	CCONJ	and
blinked	VERB	blink
at	ADP	at
the	DET	the
rose	NOUN	rose
-	PUNCT	-
gold	NOUN	gold
light	NOUN	light
of	ADP	of
the	DET	the
static	ADJ	static
dawn	NOUN	dawn
as	ADP	as
if	SCONJ	if
it	PRON	it
were	AUX	be
n't	PART	not
a	DET	a
scientific	ADJ	scientific
and	CCONJ	and
artistic	ADJ	artistic
miracle	NOUN	miracle
,	PUNCT	,
but	CCONJ	but
something	PRON	something
not	PART	not
quite	ADV	quite
decent	ADJ	decent
.	PUNCT	.
_	PUNCT	_
_	PUNCT	_
""""	PUNCT	""""
The	DET	the
loss	NOUN	loss
in	ADP	in
terms	NOUN	term
of	ADP	of
life	NOUN	life
and	CCONJ	and
treasure	NOUN	treasure
is	AUX	be
negligible	ADJ	negligible
.	PUNCT	.
It	PRON	it
's	AUX	be
what	PRON	what
it	PRON	it
purports	VERB	purport
in	ADP	in
the	DET	the
long	ADJ	long
run	NOUN	run
that	PRON	that
's	AUX	be
serious	ADJ	serious
.	PUNCT	.
Already	ADV	already
Venus	PROPN	Venus
has	AUX	have
clamped	VERB	clamp
down	ADP	down
on	ADP	on
shipments	NOUN	shipment
of	ADP	of
radio	NOUN	radio
-	PUNCT	-
actives	NOUN	active
and	CCONJ	and
Mars	PROPN	Mars
has	AUX	have
declared	VERB	declare
limited	ADJ	limited
martial	NOUN	martial
law	NOUN	law
.	PUNCT	.
No	DET	no
trade	NOUN	trade
with	ADP	with
Neptune	PROPN	Neptune
is	AUX	be
possible	ADJ	possible
in	ADP	in
the	DET	the
face	NOUN	face
of	ADP	of
their	PRON	their
embargo	NOUN	embargo
,	PUNCT	,
and	CCONJ	and
the	DET	the
European	ADJ	european
coalition	NOUN	coalition
of	ADP	of
Terrans	PROPN	Terrans
and	CCONJ	and
Panadurs	PROPN	Panadurs
have	AUX	have
closed	VERB	close
their	PRON	their
world	NOUN	world
!	PUNCT	!
The	DET	the
logical	ADJ	logical
development	NOUN	development
of	ADP	of
this	DET	this
psychological	ADJ	psychological
state	NOUN	state
of	ADP	of
nerves	NOUN	nerves
is	AUX	be
....	PUNCT	....
""""	PUNCT	""""
_	PUNCT	_
_	PUNCT	_
""""	PUNCT	""""
War	NOUN	war
.	PUNCT	.
""""	PUNCT	""""
Bill	PROPN	Bill
Nardon	PROPN	Nardon
said	VERB	say
softly	ADV	softly
,	PUNCT	,
almost	ADV	almost
in	ADP	in
a	DET	a
whisper	NOUN	whisper
that	PRON	that
died	VERB	die
in	ADP	in
the	DET	the
faint	ADJ	faint
sea	NOUN	sea
-	PUNCT	-
breeze	NOUN	breeze
that	PRON	that
eddied	VERB	eddy
about	ADP	about
the	DET	the
room	NOUN	room
.	PUNCT	.
For	ADP	for
a	DET	a
long	ADJ	long
time	NOUN	time
there	PRON	there
was	AUX	be
silence	NOUN	silence
