Team	PROPN	Team
(	PUNCT	(
https://www.pgdp.net	X	https://www.pgdp.net
)	PUNCT	)
from	ADP	from
page	NOUN	page
images	NOUN	image
generously	ADV	generously
made	VERB	make
available	ADJ	available
by	ADP	by
Internet	PROPN	Internet
Archive	PROPN	Archive
(	PUNCT	(
https://archive.org	X	https://archive.org
)	PUNCT	)
Note	NOUN	note
:	PUNCT	:
Images	NOUN	image
of	ADP	of
the	DET	the
original	ADJ	original
pages	NOUN	page
are	AUX	be
available	ADJ	available
through	ADP	through
Internet	PROPN	Internet
Archive	PROPN	Archive
.	PUNCT	.
See	VERB	see
https://archive.org/details/pricelesspearl00mill	X	https://archive.org/details/pricelesspearl00mill
THE	DET	the
PRICELESS	PROPN	PRICELESS
PEARL	PROPN	PEARL
by	X	by
ALICE	PROPN	ALICE
DUER	PROPN	DUER
MILLER	PROPN	MILLER
Author	NOUN	author
of	ADP	of
_	PUNCT	_
""""	PUNCT	""""
Manslaughter	PROPN	Manslaughter
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Come	VERB	come
Out	ADP	out
of	ADP	of
the	DET	the
Kitchen	NOUN	kitchen
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
Are	AUX	be
Parents	NOUN	parent
People	NOUN	People
?	PUNCT	?
""""	PUNCT	""""
etc	X	etc
.	X	.
_	PUNCT	_
:	PUNCT	:
Decoration	NOUN	decoration
]	X	]
New	PROPN	New
York	PROPN	York
Dodd	PROPN	Dodd
,	PUNCT	,
Mead	PROPN	Mead
&	CCONJ	&
Company	PROPN	Company
1924	NUM	1924
Copyright	NOUN	copyright
1923	NUM	1923
,	PUNCT	,
1924	NUM	1924
By	ADP	by
Alice	PROPN	Alice
Duer	PROPN	Duer
Miller	PROPN	Miller
Printed	VERB	print
in	ADP	in
U.	PROPN	U.
S.	PROPN	S.
A.	PROPN	A.
THE	DET	the
PRICELESS	PROPN	PRICELESS
PEARL	PROPN	PEARL
CHAPTER	NOUN	chapter
I	NUM	i
""""	PUNCT	""""
The	DET	the
girl	NOUN	girl
is	AUX	be
simply	ADV	simply
too	ADV	too
good	ADV	good
-	PUNCT	-
looking	VERB	look
,	PUNCT	,
""""	PUNCT	""""
said	VERB	say
Bunner	PROPN	Bunner
,	PUNCT	,
the	DET	the
office	NOUN	office
manager	NOUN	manager
,	PUNCT	,
in	ADP	in
a	DET	a
high	ADJ	high
