TRENTON	PROPN	TRENTON
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
:	PUNCT	:
“	PUNCT	""""
_	PUNCT	_
GET	VERB	get
OUT	ADP	out
OF	ADP	of
THE	DET	the
WAY	NOUN	way
,	PUNCT	,
MY	PRON	my
HEARTY	NOUN	hearty
_	PUNCT	_
”	PUNCT	""""
]	X	]
The	DET	the
Young	PROPN	Young
Continentals	PROPN	Continentals
at	PROPN	at
Trenton	PROPN	Trenton
_	PUNCT	_
by	ADP	by
_	PUNCT	_
John	PROPN	John
T.	PROPN	T.
McIntyre	PROPN	McIntyre
_	PUNCT	_
Author	NOUN	author
of	ADP	of
_	PUNCT	_
“	PUNCT	""""
The	DET	the
Young	PROPN	Young
Continentals	PROPN	Continentals
at	ADP	at
Lexington	PROPN	Lexington
”	PUNCT	""""
“	PUNCT	""""
The	DET	the
Young	PROPN	Young
Continentals	PROPN	Continentals
at	ADP	at
Bunker	PROPN	Bunker
Hill	PROPN	Hill
”	PUNCT	""""
Illustrated	VERB	illustrate
by	ADP	by
Ralph	PROPN	Ralph
L.	PROPN	L.
Boyer	PROPN	Boyer
.	PUNCT	.
_	PUNCT	_
The	DET	the
Penn	PROPN	Penn
Publishing	PROPN	Publishing
Company	PROPN	Company
Philadelphia	PROPN	Philadelphia
MCMXI	PROPN	MCMXI
_	PUNCT	_
COPYRIGHT	PROPN	COPYRIGHT
1911	NUM	1911
BY	ADP	by
THE	DET	the
PENN	PROPN	PENN
PUBLISHING	PROPN	PUBLISHING
COMPANY	PROPN	COMPANY
Introduction	NOUN	introduction
“	PUNCT	""""
The	DET	the
Young	PROPN	Young
Continentals	PROPN	Continentals
”	PUNCT	""""
series	NOUN	series
deals	VERB	deal
with	ADP	with
the	DET	the
experiences	NOUN	experience
of	ADP	of
four	NOUN	four
boys	NOUN	boy
in	ADP	in
the	DET	the
American	PROPN	American
Revolution	PROPN	Revolution
.	PUNCT	.
One	NUM	one
of	ADP	of
them	PRON	they
,	PUNCT	,
Nat	PROPN	Nat
Brewster	PROPN	Brewster
,	PUNCT	,
is	AUX	be
from	ADP	from
the	DET	the
hills	NOUN	hill
about	ADP	about
Wyoming	PROPN	Wyoming
,	PUNCT	,
Ben	PROPN	Ben
Cooper	PROPN	Cooper
is	AUX	be
from	ADP	from
Philadelphia	PROPN	Philadelphia
,	PUNCT	,
while	SCONJ	while
the	DET	the
Prentiss	PROPN	Prentiss
