PEOPLE	NOUN	PEOPLE
*	PUNCT	*
*	PUNCT	*
*	PUNCT	*
_	PUNCT	_
BY	ADP	by
THE	DET	the
SAME	ADJ	same
AUTHOR	NOUN	author
.	PUNCT	.
_	PUNCT	_
WHEN	SCONJ	when
I	PRON	I
WAS	AUX	be
CZAR	PROPN	CZAR
.	PUNCT	.
The	DET	the
_	PUNCT	_
Court	PROPN	Court
Circular	PROPN	Circular
_	PUNCT	_
says:--“There	PUNCT	says:--“There
is	AUX	be
always	ADV	always
something	PRON	something
supremely	ADV	supremely
audacious	ADJ	audacious
about	ADP	about
Mr.	PROPN	Mr.
Marchmont	PROPN	Marchmont
's	PART	's
books	NOUN	book
.	PUNCT	.
This	DET	this
,	PUNCT	,
however	ADV	however
,	PUNCT	,
I	PRON	I
will	AUX	will
say	VERB	say
,	PUNCT	,
that	SCONJ	that
for	ADP	for
a	DET	a
long	ADJ	long
evening	NOUN	evening
's	PART	's
solid	ADJ	solid
enjoyment	NOUN	enjoyment
‘	PUNCT	'
When	SCONJ	when
I	PRON	I
was	AUX	be
Czar	PROPN	Czar
'	PUNCT	'
would	AUX	would
be	AUX	be
hard	ADJ	hard
to	PART	to
beat	VERB	beat
.	PUNCT	.
”	PUNCT	""""
The	DET	the
_	PUNCT	_
Nottingham	PROPN	Nottingham
Guardian	PROPN	Guardian
_	PUNCT	_
says:--“The	PUNCT	says:--“The
best	ADJ	good
story	NOUN	story
of	ADP	of
political	ADJ	political
intrigue	NOUN	intrigue
which	DET	which
has	AUX	have
been	AUX	be
written	VERB	write
since	SCONJ	since
‘	PUNCT	'
The	DET	the
Prisoner	NOUN	prisoner
of	ADP	of
Zenda	PROPN	Zenda
,	PUNCT	,
'	PUNCT	'
with	ADP	with
which	DET	which
it	PRON	it
compares	VERB	compare
for	ADP	for
the	DET	the
irresistible	ADJ	irresistible
buoyancy	NOUN	buoyancy
by	ADP	by
which	DET	which
it	PRON	it
is	AUX	be
told	VERB	tell
and	CCONJ	and
the	DET	the
skill	NOUN	skill
in	ADP	in
which	DET	which
expectation	NOUN	expectation
is	AUX	be
maintained	VERB	maintain
on	ADP	on
tiptoe	NOUN	tiptoe
till	SCONJ	till
the	DET	the
last	ADJ	last
move	NOUN	move
.	PUNCT	.
”	PUNCT	""""
The	DET	the
_	PROPN	_
Freeman	PROPN	Freeman
's	PART	's
Journal	PROPN	Journal
_	PUNCT	_
says:--“A	PUNCT	says:--“A
