WAY	NOUN	way
OF	ADP	of
THE	DET	the
GODS	PROPN	GODS
By	ADP	by
HENRY	PROPN	HENRY
KUTTNER	PROPN	KUTTNER
_	PUNCT	_
Spawn	NOUN	spawn
of	ADP	of
atomic	ADJ	atomic
fission	NOUN	fission
,	PUNCT	,
this	DET	this
strange	ADJ	strange
company	NOUN	company
of	ADP	of
mutants	NOUN	mutant
exiled	VERB	exile
by	ADP	by
humanity	NOUN	humanity
battles	VERB	battle
against	ADP	against
enslavement	NOUN	enslavement
in	ADP	in
a	DET	a
foreign	ADJ	foreign
world	NOUN	world
dominated	VERB	dominate
by	ADP	by
the	DET	the
evil	ADJ	evil
Spirit	PROPN	Spirit
of	ADP	of
the	DET	the
Crystal	PROPN	Crystal
Mountain	PROPN	Mountain
!	PUNCT	!
_	PUNCT	_
CHAPTER	NOUN	chapter
I	NUM	i
_	PUNCT	_
New	PROPN	New
Worlds	NOUN	world
_	PUNCT	_
He	PRON	he
looked	VERB	look
at	ADP	at
the	DET	the
October	PROPN	October
morning	NOUN	morning
all	ADV	all
about	ADP	about
him	PRON	he
as	ADP	as
if	SCONJ	if
he	PRON	he
had	AUX	have
never	ADV	never
seen	VERB	see
October	PROPN	October
before	ADP	before
.	PUNCT	.
That	DET	that
was	AUX	be
not	PART	not
true	ADJ	true
,	PUNCT	,
of	ADP	of
course	NOUN	course
.	PUNCT	.
But	CCONJ	but
he	PRON	he
knew	VERB	know
that	SCONJ	that
he	PRON	he
would	AUX	would
never	ADV	never
see	VERB	see
it	PRON	it
again	ADV	again
.	PUNCT	.
Unless	SCONJ	unless
they	PRON	they
had	AUX	have
mornings	NOUN	morning
,	PUNCT	,
and	CCONJ	and
Octobers	PROPN	Octobers
—	PUNCT	—
where	SCONJ	where
he	PRON	he
was	AUX	be
going	VERB	go
.	PUNCT	.
It	PRON	it
did	AUX	do
not	PART	not
seem	VERB	seem
likely	ADJ	likely
,	PUNCT	,
though	SCONJ	though
the	DET	the
old	ADJ	old
man	NOUN	man
had	AUX	have
talked	VERB	talk
a	DET	a
great	ADJ	great
deal	NOUN	deal
about	ADP	about
key	NOUN	key
-	PUNCT	-
patterns	NOUN	pattern
and	CCONJ	and
the	DET	the
selectivity	NOUN	selectivity
of	ADP	of
the	DET	the
machine	NOUN	machine
,	PUNCT	,
and	CCONJ	and
the	DET	the
multiple	ADJ	multiple
universes	NOUN	universe
spinning	VERB	spin
like	ADP	like
motes	NOUN	mote
in	ADP	in
a	DET	a
snowstorm	NOUN	snowstorm
through	ADP	through
infinity	NOUN	infinity
.	PUNCT	.
“	PUNCT	""""
But	CCONJ	but
I	PRON	I
'm	AUX	be
human	ADJ	human
!	PUNCT	!
”	PUNCT	""""
he	PRON	he
said	VERB	say
aloud	ADV	aloud
,	PUNCT	,
sitting	VERB	sit
cross	ADJ	cross
-	PUNCT	-
legged	ADJ	legged
on	ADP	on
the	DET	the
warm	ADJ	warm
brown	NOUN	brown
earth	NOUN	earth
and	CCONJ	and
feeling	VERB	feel
the	DET	the
breeze	NOUN	breeze
which	DET	which
gave	VERB	give
the	DET	the
lie	NOUN	lie
instantly	ADV	instantly
to	ADP	to
his	PRON	his
thought	NOUN	thought
.	PUNCT	.
He	PRON	he
felt	VERB	feel
the	DET	the
gentle	ADJ	gentle
pull	NOUN	pull
at	ADP	at
his	PRON	his
shoulder	NOUN	shoulder
-	PUNCT	-
blades	NOUN	blade
which	DET	which
meant	VERB	mean
that	SCONJ	that
his	PRON	his
wings	NOUN	wing
were	AUX	be
fluttered	VERB	flutter
a	DET	a
little	ADJ	little
by	ADP	by
the	DET	the
breeze	NOUN	breeze
,	PUNCT	,
and	CCONJ	and
instinctively	ADV	instinctively
he	PRON	he
flexed	VERB	flex
the	DET	the
heavy	ADJ	heavy
bands	NOUN	band
of	ADP	of
muscle	NOUN	muscle
across	ADP	across
his	PRON	his
chest	NOUN	chest
to	PART	to
control	VERB	control
the	DET	the
wing	NOUN	wing
-	PUNCT	-
surfaces	NOUN	surface
.	PUNCT	.
He	PRON	he
was	AUX	be
not	PART	not
human	ADJ	human
.	PUNCT	.
That	DET	that
was	AUX	be
the	DET	the
trouble	NOUN	trouble
.	PUNCT	.
And	CCONJ	and
this	DET	this
world	NOUN	world
,	PUNCT	,
this	DET	this
bright	ADJ	bright
October	PROPN	October
world	NOUN	world
that	PRON	that
stretched	VERB	stretch
to	ADP	to
the	DET	the
horizon	NOUN	horizon
around	ADP	around
him	PRON	he
was	AUX	be
made	VERB	make
to	PART	to
shelter	VERB	shelter
the	DET	the
race	NOUN	race
that	PRON	that
had	AUX	have
become	VERB	become
dominant	ADJ	dominant
,	PUNCT	,
and	CCONJ	and
was	AUX	be
jealous	ADJ	jealous
of	ADP	of
its	PRON	its
dominion	NOUN	dominion
.	PUNCT	.
Humanity	NOUN	humanity
,	PUNCT	,
that	PRON	that
had	AUX	have
no	DET	no
place	NOUN	place
for	ADP	for
strangers	NOUN	stranger
among	ADP	among
its	PRON	its
ranks	NOUN	rank
.	PUNCT	.
The	DET	the
others	NOUN	other
did	AUX	do
not	PART	not
seem	VERB	seem
to	PART	to
care	VERB	care
very	ADV	very
much	ADV	much
.	PUNCT	.
They	PRON	they
had	AUX	have
been	AUX	be
reared	VERB	rear
in	ADP	in
the	DET	the
creche	PROPN	creche
almost	ADV	almost
from	ADP	from
birth	NOUN	birth
,	PUNCT	,
under	ADP	under
a	DET	a
special	ADJ	special
regime	NOUN	regime
that	PRON	that
isolated	VERB	isolate
them	PRON	they
from	ADP	from
the	DET	the
humans	NOUN	human
.	PUNCT	.
The	DET	the
old	ADJ	old
man	NOUN	man
had	AUX	have
been	AUX	be
responsible	ADJ	responsible
for	ADP	for
that	DET	that
.	PUNCT	.
He	PRON	he
had	AUX	have
built	VERB	build
the	DET	the
huge	ADJ	huge
house	NOUN	house
on	ADP	on
the	DET	the
hillside	NOUN	hillside
,	PUNCT	,
swooping	VERB	swoop
curves	NOUN	curve
of	ADP	of
warmly	ADV	warmly
-	PUNCT	-
colored	VERB	color
plastic	NOUN	plastic
that	PRON	that
blended	VERB	blend
into	ADP	into
the	DET	the
brown	NOUN	brown
and	CCONJ	and
green	NOUN	green
of	ADP	of
the	DET	the
land	NOUN	land
—	PUNCT	—
an	DET	an
asylum	NOUN	asylum
that	PRON	that
had	AUX	have
finally	ADV	finally
failed	VERB	fail
.	PUNCT	.
The	DET	the
walls	NOUN	wall
were	AUX	be
breached	VERB	breach
.	PUNCT	.
“	PUNCT	""""
Kern	PROPN	Kern
,	PUNCT	,
”	PUNCT	""""
someone	PRON	someone
behind	ADP	behind
him	PRON	he
said	VERB	say
.	PUNCT	.
The	DET	the
winged	ADJ	winged
man	NOUN	man
turned	VERB	turn
his	PRON	his
head	NOUN	head
,	PUNCT	,
glancing	VERB	glance
up	ADP	up
past	ADP	past
the	DET	the
dark	ADJ	dark
curve	NOUN	curve
of	ADP	of
his	PRON	his
wings	NOUN	wing
.	PUNCT	.
A	DET	a
girl	NOUN	girl
came	VERB	come
toward	ADP	toward
him	PRON	he
down	ADP	down
the	DET	the
slope	NOUN	slope
from	ADP	from
the	DET	the
house	NOUN	house
.	PUNCT	.
Her	PRON	her
name	NOUN	name
was	AUX	be
Kua	PROPN	Kua
.	PUNCT	.
Her	PRON	her
parents	NOUN	parent
had	AUX	have
been	AUX	be
Polynesian	ADJ	polynesian
,	PUNCT	,
and	CCONJ	and
she	PRON	she
had	AUX	have
the	DET	the
height	NOUN	height
and	CCONJ	and
the	DET	the
lithe	ADJ	lithe
grace	NOUN	grace
of	ADP	of
her	PRON	her
Oceanic	ADJ	oceanic
race	NOUN	race
,	PUNCT	,
and	CCONJ	and
the	DET	the
shining	VERB	shine
dark	ADJ	dark
hair	NOUN	hair
,	PUNCT	,
the	DET	the
warm	ADJ	warm
,	PUNCT	,
honey	NOUN	honey
-	PUNCT	-
colored	ADJ	colored
skin	NOUN	skin
.	PUNCT	.
But	CCONJ	but
she	PRON	she
wore	VERB	wear
opaque	ADJ	opaque
dark	ADJ	dark
glasses	NOUN	glass
,	PUNCT	,
and	CCONJ	and
across	ADP	across
her	PRON	her
forehead	NOUN	forehead
a	DET	a
band	NOUN	band
of	ADP	of
dark	ADJ	dark
plastic	NOUN	plastic
that	PRON	that
looked	VERB	look
opaque	ADJ	opaque
too	ADV	too
,	PUNCT	,
and	CCONJ	and
was	AUX	be
not	PART	not
.	PUNCT	.
Beneath	ADV	beneath
,	PUNCT	,
her	PRON	her
face	NOUN	face
was	AUX	be
lovely	ADJ	lovely
,	PUNCT	,
the	DET	the
red	ADJ	red
mouth	NOUN	mouth
generously	ADV	generously
curved	ADJ	curved
,	PUNCT	,
the	DET	the
features	NOUN	feature
softly	ADV	softly
rounded	ADJ	rounded
like	ADP	like
the	DET	the
features	NOUN	feature
of	ADP	of
all	DET	all
her	PRON	her
race	NOUN	race
.	PUNCT	.
She	PRON	she
was	AUX	be
not	PART	not
human	ADJ	human
either	ADV	either
.	PUNCT	.
“	PUNCT	""""
It	PRON	it
's	AUX	be
no	DET	no
use	NOUN	use
worrying	VERB	worry
,	PUNCT	,
Kern	PROPN	Kern
,	PUNCT	,
”	PUNCT	""""
she	PRON	she
said	VERB	say
,	PUNCT	,
smiling	VERB	smile
down	ADP	down
at	ADP	at
him	PRON	he
.	PUNCT	.
“	PUNCT	""""
It	PRON	it
'll	AUX	will
work	VERB	work
out	ADP	out
all	ADV	all
right	ADV	right
.	PUNCT	.
You	PRON	you
'll	AUX	will
see	VERB	see
.	PUNCT	.
”	PUNCT	""""
“	PUNCT	""""
All	ADV	all
right	ADV	right
!	PUNCT	!
”	PUNCT	""""
Kern	PROPN	Kern
snorted	VERB	snort
scornfully	ADV	scornfully
.	PUNCT	.
“	PUNCT	""""
You	PRON	you
think	VERB	think
so	ADV	so
,	PUNCT	,
do	AUX	do
you	PRON	you
?	PUNCT	?
”	PUNCT	""""
Kua	PROPN	Kua
glanced	VERB	glance
instinctively	ADV	instinctively
around	ADP	around
the	DET	the
hillside	NOUN	hillside
,	PUNCT	,
making	VERB	make
sure	ADJ	sure
they	PRON	they
were	AUX	be
alone	ADV	alone
.	PUNCT	.
Then	ADV	then
she	PRON	she
put	VERB	put
both	DET	both
hands	NOUN	hand
to	ADP	to
her	PRON	her
face	NOUN	face
and	CCONJ	and
slipped	VERB	slip
off	ADP	off
the	DET	the
