GRAY	PROPN	GRAY
LENSMAN	PROPN	LENSMAN
By	ADP	by
E.	PROPN	E.
E.	PROPN	E.
SMITH	PROPN	SMITH
,	PUNCT	,
Ph	PROPN	Ph
.	NOUN	.
D.	PROPN	D.
_	PUNCT	_
PROLOGUE	NOUN	prologue
_	PUNCT	_
This	DET	this
is	AUX	be
not	PART	not
,	PUNCT	,
strictly	ADV	strictly
speaking	VERB	speak
,	PUNCT	,
a	DET	a
biography	NOUN	biography
.	PUNCT	.
It	PRON	it
is	AUX	be
not	PART	not
,	PUNCT	,
it	PRON	it
can	AUX	can
not	PART	not
be	AUX	be
,	PUNCT	,
comprehensive	ADJ	comprehensive
enough	ADV	enough
to	PART	to
be	AUX	be
called	VERB	call
that	DET	that
.	PUNCT	.
Nor	CCONJ	nor
,	PUNCT	,
since	SCONJ	since
of	ADP	of
necessity	NOUN	necessity
it	PRON	it
must	AUX	must
be	AUX	be
limited	VERB	limit
,	PUNCT	,
both	CCONJ	both
in	ADP	in
length	NOUN	length
and	CCONJ	and
in	ADP	in
scope	NOUN	scope
,	PUNCT	,
can	AUX	can
it	PRON	it
be	AUX	be
called	VERB	call
a	ADJ	a
history	NOUN	history
.	PUNCT	.
It	PRON	it
is	AUX	be
,	PUNCT	,
perhaps	ADV	perhaps
,	PUNCT	,
best	ADV	well
described	VERB	describe
as	ADP	as
a	DET	a
record	NOUN	record
--	PUNCT	--
the	DET	the
record	NOUN	record
of	ADP	of
the	DET	the
activities	NOUN	activity
of	ADP	of
Galactic	PROPN	Galactic
Co	PROPN	Co
-	PROPN	-
ordinator	PROPN	ordinator
Kimball	PROPN	Kimball
Kinnison	PROPN	Kinnison
,	PUNCT	,
Gray	PROPN	Gray
Lensman	PROPN	Lensman
,	PUNCT	,
of	ADP	of
Tellus	PROPN	Tellus
,	PUNCT	,
during	ADP	during
the	DET	the
Boskonian	PROPN	Boskonian
War	PROPN	War
.	PUNCT	.
Nevertheless	ADV	nevertheless
this	DET	this
record	NOUN	record
,	PUNCT	,
what	PRON	what
there	PRON	there
is	AUX	be
of	ADP	of
it	PRON	it
,	PUNCT	,
is	AUX	be
in	ADP	in
essence	NOUN	essence
biographical	ADJ	biographical
;	PUNCT	;
and	CCONJ	and
the	DET	the
biographer	NOUN	biographer
of	ADP	of
such	ADJ	such
a	DET	a
man	NOUN	man
as	ADP	as
Kinnison	PROPN	Kinnison
has	AUX	have
a	DET	a
peculiar	ADJ	peculiar
task	NOUN	task
.	PUNCT	.
In	ADP	in
one	NUM	one
way	NOUN	way
it	PRON	it
is	AUX	be
easy	ADJ	easy
,	PUNCT	,
in	ADP	in
two	NUM	two
others	NOUN	other
it	PRON	it
is	AUX	be
difficult	ADJ	difficult
in	ADP	in
the	DET	the
extreme	NOUN	extreme
.	PUNCT	.
""""	PUNCT	""""
Nuts	NOUN	nut
!	PUNCT	!
""""	PUNCT	""""
he	PRON	he
is	AUX	be
wo	PART	wo
nt	PART	not
to	PART	to
exclaim	VERB	exclaim
in	ADP	in
answer	NOUN	answer
to	ADP	to
a	DET	a
direct	ADJ	direct
question	NOUN	question
as	ADP	as
to	ADP	to
some	DET	some
particular	ADJ	particular
event	NOUN	event
or	CCONJ	or
situation	NOUN	situation
.	PUNCT	.
""""	PUNCT	""""
Why	SCONJ	why
in	ADP	in
all	DET	all
the	DET	the
nine	NUM	nine
hells	NOUN	hell
of	ADP	of
Valeria	PROPN	Valeria
are	AUX	be
you	PRON	you
still	ADV	still
wasting	VERB	waste
time	NOUN	time
writing	VERB	write
about	ADP	about
_	X	_
me	PRON	I
_	X	_
?	PUNCT	?
""""	PUNCT	""""
But	CCONJ	but
eventually	ADV	eventually
I	PRON	I
get	VERB	get
the	DET	the
data	NOUN	datum
I	PRON	I
need	VERB	need
,	PUNCT	,
and	CCONJ	and
thus	ADV	thus
it	PRON	it
is	AUX	be
comparatively	ADV	comparatively
easy	ADJ	easy
to	PART	to
make	VERB	make
this	DET	this
work	NOUN	work
completely	ADV	completely
authentic	ADJ	authentic
,	PUNCT	,
as	ADV	as
far	ADV	far
as	ADP	as
the	DET	the
Gray	PROPN	Gray
Lensman	PROPN	Lensman
himself	PRON	himself
is	AUX	be
concerned	VERB	concern
.	PUNCT	.
It	PRON	it
may	AUX	may
be	AUX	be
objected	VERB	object
that	SCONJ	that
I	PRON	I
have	AUX	have
recorded	VERB	record
as	ADP	as
facts	NOUN	fact
certain	ADJ	certain
minutiae	NOUN	minutia
which	DET	which
,	PUNCT	,
considering	VERB	consider
what	PRON	what
happened	VERB	happen
to	ADP	to
the	DET	the
planet	NOUN	planet
of	ADP	of
the	DET	the
Eich	PROPN	Eich
and	CCONJ	and
in	ADP	in
the	DET	the
light	NOUN	light
of	ADP	of
other	ADJ	other
happenings	NOUN	happening
elsewhere	ADV	elsewhere
,	PUNCT	,
can	AUX	can
not	PART	not
be	AUX	be
known	VERB	know
so	ADV	so
exactly	ADV	exactly
by	ADP	by
any	DET	any
living	VERB	live
entity	NOUN	entity
.	PUNCT	.
This	DET	this
objection	NOUN	objection
is	AUX	be
untenable	ADJ	untenable
;	PUNCT	;
as	ADP	as
profound	ADJ	profound
research	NOUN	research
upon	SCONJ	upon
every	DET	every
debatable	ADJ	debatable
point	NOUN	point
has	AUX	have
shown	VERB	show
conclusively	ADV	conclusively
that	SCONJ	that
something	PRON	something
very	ADV	very
similar	ADJ	similar
to	ADP	to
,	PUNCT	,
if	SCONJ	if
not	PART	not
in	ADP	in
fact	NOUN	fact
identical	ADJ	identical
with	ADP	with
,	PUNCT	,
each	DET	each
such	ADJ	such
detail	NOUN	detail
must	AUX	must
have	AUX	have
occurred	VERB	occur
.	PUNCT	.
Of	ADP	of
the	DET	the
two	NUM	two
great	ADJ	great
difficulties	NOUN	difficulty
,	PUNCT	,
one	NUM	one
lies	VERB	lie
in	ADP	in
the	DET	the
selection	NOUN	selection
of	ADP	of
material	NOUN	material
.	PUNCT	.
The	DET	the
story	NOUN	story
of	ADP	of
Kimball	PROPN	Kimball
Kinnison	PROPN	Kinnison
easily	ADV	easily
could	AUX	could
--	PUNCT	--
and	CCONJ	and
really	ADV	really
should	AUX	should
--	PUNCT	--
fill	VERB	fill
a	DET	a
dozen	NOUN	dozen
encyclopedic	ADJ	encyclopedic
spools	NOUN	spool
;	PUNCT	;
it	PRON	it
is	AUX	be
a	DET	a
Galactic	ADJ	galactic
shame	NOUN	shame
and	CCONJ	and
an	DET	an
almost	ADV	almost
impossible	ADJ	impossible
undertaking	NOUN	undertaking
to	PART	to
compress	VERB	compress
it	PRON	it
into	ADP	into
one	NUM	one
two	NUM	two
-	PUNCT	-
hour	NOUN	hour
tape	NOUN	tape
