EDGAR	PROPN	EDGAR
RICE	NOUN	rice
BURROUGHS	NOUN	burrough
PIRATES	NOUN	pirate
OF	ADP	of
VENUS	NOUN	venu
CONTENTS	NOUN	content
I	NOUN	i
Carson	PROPN	Carson
Napier	PROPN	Napier
5	NUM	5
II	NUM	ii
Off	ADV	off
for	ADP	for
Mars	PROPN	Mars
15	NUM	15
III	NUM	iii
Rushing	VERB	rush
Toward	ADP	toward
Venus	PROPN	Venus
26	NUM	26
IV	NUM	iv
To	ADP	to
the	DET	the
House	NOUN	house
of	ADP	of
the	DET	the
King	NOUN	king
42	NUM	42
V	NUM	v
The	DET	the
Girl	NOUN	girl
in	ADP	in
the	DET	the
Garden	NOUN	garden
53	NUM	53
VI	X	vi
Gathering	VERB	gather
Tarel	PROPN	Tarel
67	NUM	67
VII	NUM	vii
By	ADP	by
Kamlot	PROPN	Kamlot
's	PART	's
Grave	NOUN	grave
79	NUM	79
VIII	NUM	viii
On	ADP	on
Board	NOUN	board
the	DET	the
_	PUNCT	_
Sofal	PROPN	Sofal
_	X	_
91	NUM	91
IX	NUM	ix
Soldiers	NOUN	soldier
of	ADP	of
Liberty	PROPN	Liberty
102	NUM	102
X	NUM	x
Mutiny	NOUN	mutiny
111	NUM	111
XI	NUM	xi
Duare	PROPN	Duare
123	NUM	123
XII	NUM	xii
“	PUNCT	""""
A	DET	a
Ship	NOUN	ship
!	PUNCT	!
”	PUNCT	""""
132	NUM	132
XIII	NUM	xiii
Catastrophe	NOUN	catastrophe
144	NUM	144
XIV	PROPN	XIV
Storm	NOUN	storm
155	NUM	155
I	PROPN	I
CARSON	PROPN	CARSON
NAPIER	PROPN	NAPIER
“	PUNCT	""""
If	SCONJ	if
a	DET	a
female	ADJ	female
figure	NOUN	figure
in	ADP	in
a	DET	a
white	ADJ	white
shroud	NOUN	shroud
enters	VERB	enter
your	PRON	your
bedchamber	NOUN	bedchamber
at	ADP	at
midnight	NOUN	midnight
on	ADP	on
the	DET	the
thirteenth	ADJ	thirteenth
day	NOUN	day
of	ADP	of
