AT	ADP	at
AGINCOURT	PROPN	AGINCOURT
By	ADP	by
G.	PROPN	G.
A.	PROPN	A.
Henty	PROPN	Henty
:	PUNCT	:
GUY	PROPN	GUY
AYLMER	PROPN	AYLMER
SAVES	VERB	save
THE	DET	the
KING	NOUN	king
'S	PART	's
LIFE	NOUN	life
AT	ADP	at
THE	DET	the
BATTLE	NOUN	battle
OF	ADP	of
AGINCOURT	PROPN	AGINCOURT
.	PUNCT	.
]	X	]
PREFACE	PROPN	PREFACE
The	DET	the
long	ADJ	long
and	CCONJ	and
bloody	ADJ	bloody
feud	NOUN	feud
between	ADP	between
the	DET	the
houses	NOUN	house
of	ADP	of
Orleans	PROPN	Orleans
and	CCONJ	and
Burgundy	PROPN	Burgundy
--	PUNCT	--
which	DET	which
for	ADP	for
many	ADJ	many
years	NOUN	year
devastated	VERB	devastate
France	PROPN	France
,	PUNCT	,
caused	VERB	cause
a	DET	a
prodigious	ADJ	prodigious
destruction	NOUN	destruction
of	ADP	of
life	NOUN	life
and	CCONJ	and
property	NOUN	property
,	PUNCT	,
and	CCONJ	and
was	AUX	be
not	PART	not
even	ADV	even
relaxed	VERB	relax
in	ADP	in
the	DET	the
presence	NOUN	presence
of	ADP	of
a	DET	a
common	ADJ	common
enemy	NOUN	enemy
--	PUNCT	--
is	AUX	be
very	ADV	very
fully	ADV	fully
recorded	VERB	record
in	ADP	in
the	DET	the
pages	NOUN	page
of	ADP	of
Monstrellet	PROPN	Monstrellet
and	CCONJ	and
other	ADJ	other
contemporary	ADJ	contemporary
historians	NOUN	historian
.	PUNCT	.
I	PRON	I
have	AUX	have
here	ADV	here
only	ADV	only
attempted	VERB	attempt
to	PART	to
relate	VERB	relate
the	DET	the
events	NOUN	event
of	ADP	of
the	DET	the
early	ADJ	early
portion	NOUN	portion
of	ADP	of
the	DET	the
struggle	NOUN	struggle
--	PUNCT	--
from	ADP	from
its	PRON	its
commencement	NOUN	commencement
up	ADP	up
to	ADP	to
the	DET	the
astonishing	ADJ	astonishing
victory	NOUN	victory
of	ADP	of
Agincourt	PROPN	Agincourt
,	PUNCT	,
won	VERB	win
by	ADP	by
a	DET	a
handful	NOUN	handful
of	ADP	of
Englishmen	PROPN	Englishmen
over	ADP	over
the	DET	the
chivalry	NOUN	chivalry
of	ADP	of
France	PROPN	France
.	PUNCT	.
Here	ADV	here
the	DET	the
two	NUM	two
factions	NOUN	faction
,	PUNCT	,
with	ADP	with
the	DET	the
exception	NOUN	exception
of	ADP	of
the	DET	the
Duke	PROPN	Duke
of	ADP	of
Burgundy	PROPN	Burgundy
himself	PRON	himself
,	PUNCT	,
laid	VERB	lay
aside	ADV	aside
their	PRON	their
differences	NOUN	difference
for	ADP	for
the	DET	the
moment	NOUN	moment
,	PUNCT	,
only	ADV	only
to	PART	to
renew	VERB	renew
them	PRON	they
while	SCONJ	while
France	PROPN	France
still	ADV	still
lay	VERB	lie
prostrate	ADJ	prostrate
at	ADP	at
