Tono	PROPN	Tono
-	PUNCT	-
Bungay	PROPN	Bungay
by	PROPN	by
H.G.	PROPN	H.G.
Wells	PROPN	Wells
Contents	NOUN	content
BOOK	NOUN	book
THE	DET	the
FIRST	NOUN	first
CHAPTER	NOUN	chapter
THE	DET	the
FIRST	NOUN	first
CHAPTER	NOUN	chapter
THE	DET	the
SECOND	NOUN	second
CHAPTER	NOUN	chapter
THE	DET	the
THIRD	NOUN	third
BOOK	NOUN	book
THE	DET	the
SECOND	NOUN	second
CHAPTER	NOUN	chapter
THE	DET	the
FIRST	NOUN	first
CHAPTER	NOUN	chapter
THE	DET	the
SECOND	NOUN	second
CHAPTER	NOUN	chapter
THE	DET	the
THIRD	NOUN	third
CHAPTER	NOUN	chapter
THE	DET	the
FOURTH	NOUN	fourth
BOOK	NOUN	book
THE	DET	the
THIRD	NOUN	third
CHAPTER	NOUN	chapter
THE	DET	the
FIRST	NOUN	first
CHAPTER	NOUN	chapter
THE	DET	the
SECOND	NOUN	second
CHAPTER	NOUN	chapter
THE	DET	the
THIRD	NOUN	third
CHAPTER	NOUN	chapter
THE	DET	the
FOURTH	NOUN	fourth
BOOK	NOUN	book
THE	DET	the
FOURTH	NOUN	fourth
CHAPTER	NOUN	chapter
THE	DET	the
FIRST	NOUN	first
CHAPTER	NOUN	chapter
THE	DET	the
SECOND	NOUN	second
CHAPTER	NOUN	chapter
THE	DET	the
THIRD	NOUN	third
BOOK	NOUN	book
THE	DET	the
FIRST	NOUN	first
THE	DET	the
DAYS	NOUN	day
BEFORE	ADP	before
TONO	PROPN	TONO
-	PUNCT	-
BUNGAY	PROPN	BUNGAY
WAS	AUX	be
INVENTED	VERB	invent
CHAPTER	NOUN	chapter
THE	DET	the
FIRST	PROPN	FIRST
OF	ADP	of
BLADESOVER	PROPN	BLADESOVER
HOUSE	PROPN	HOUSE
,	PUNCT	,
AND	CCONJ	and
MY	PRON	my
MOTHER	NOUN	mother
;	PUNCT	;
AND	CCONJ	and
THE	DET	the
CONSTITUTION	NOUN	constitution
OF	ADP	of
SOCIETY	NOUN	society
I	PROPN	I
Most	ADJ	Most
people	NOUN	people
in	ADP	in
this	DET	this
world	NOUN	world
seem	VERB	seem
to	PART	to
live	VERB	live
“	PUNCT	""""
in	ADP	in
character	NOUN	character
”	PUNCT	""""
;	PUNCT	;
they	PRON	they
have	AUX	have
a	DET	a
beginning	NOUN	beginning
,	PUNCT	,
a	DET	a
middle	NOUN	middle
and	CCONJ	and
an	DET	an
end	NOUN	end
,	PUNCT	,
and	CCONJ	and
the	DET	the
three	NUM	three
are	AUX	be
congruous	ADJ	congruous
one	NUM	one
with	ADP	with
another	DET	another
and	CCONJ	and
true	ADJ	true
to	ADP	to
the	DET	the
rules	NOUN	rule
of	ADP	of
their	PRON	their
type	NOUN	type
.	PUNCT	.
You	PRON	you
can	AUX	can
speak	VERB	speak
of	ADP	of
them	PRON	they
as	ADP	as
being	AUX	be
of	ADP	of
this	DET	this
sort	NOUN	sort
of	ADP	of
people	NOUN	people
or	CCONJ	or
that	DET	that
.	PUNCT	.
They	PRON	they
are	AUX	be
,	PUNCT	,
as	ADP	as
theatrical	ADJ	theatrical
people	NOUN	people
say	VERB	say
,	PUNCT	,
no	DET	no
more	ADJ	more
(	PUNCT	(
and	CCONJ	and
no	DET	no
less	ADJ	less
)	PUNCT	)
than	ADP	than
“	PUNCT	""""
character	NOUN	character
actors	NOUN	actor
.	PUNCT	.
”	PUNCT	""""
They	PRON	they
have	AUX	have
a	DET	a
class	NOUN	class
,	PUNCT	,
they	PRON	they
have	AUX	have
a	DET	a
place	NOUN	place
,	PUNCT	,
they	PRON	they
know	VERB	know
what	PRON	what
is	AUX	be
becoming	VERB	become
in	ADP	in
them	PRON	they
and	CCONJ	and
what	PRON	what
is	AUX	be
due	ADJ	due
to	ADP	to
them	PRON	they
,	PUNCT	,
and	CCONJ	and
their	PRON	their
proper	ADJ	proper
size	NOUN	size
of	ADP	of
tombstone	NOUN	tombstone
tells	VERB	tell
at	ADP	at
last	ADV	last
how	SCONJ	how
properly	ADV	properly
they	PRON	they
have	AUX	have
played	VERB	play
the	DET	the
part	NOUN	part
.	PUNCT	.
But	CCONJ	but
there	PRON	there
is	AUX	be
also	ADV	also
another	DET	another
kind	NOUN	kind
of	ADP	of
life	NOUN	life
that	PRON	that
is	AUX	be
