Distributed	VERB	distribute
Proofreaders	NOUN	proofreader
AN	X	an
AMIABLE	PROPN	AMIABLE
CHARLATAN	PROPN	CHARLATAN
BY	PROPN	BY
E.	PROPN	E.
PHILLIPS	PROPN	PHILLIPS
OPPENHEIM	PROPN	OPPENHEIM
(	PUNCT	(
AUTHOR	NOUN	author
OF	ADP	of
""""	PUNCT	""""
MR	PROPN	MR
.	PROPN	.
GREX	PROPN	GREX
OF	ADP	of
MONTE	PROPN	MONTE
CARLO	PROPN	CARLO
,	PUNCT	,
""""	PUNCT	""""
""""	PUNCT	""""
THE	DET	the
DOUBLE	ADJ	double
TRAITOR	NOUN	traitor
""""	PUNCT	""""
,	PUNCT	,
ETC	PROPN	ETC
.	PUNCT	.
)	PUNCT	)
WITH	ADP	with
ILLUSTRATIONS	NOUN	illustration
BY	ADP	by
WILL	PROPN	WILL
GREF	PROPN	GREF
:	PUNCT	:
""""	PUNCT	""""
No	DET	no
one	PRON	one
can	AUX	can
be	AUX	be
more	ADV	more
glad	ADJ	glad
than	ADP	than
Mrs.	PROPN	Mrs.
Delaporte	PROPN	Delaporte
and	CCONJ	and
myself	PRON	myself
that	SCONJ	that
this	DET	this
little	ADJ	little
affair	NOUN	affair
has	AUX	have
been	AUX	be
concluded	VERB	conclude
so	ADV	so
amicably	ADV	amicably
.	PUNCT	.
""""	PUNCT	""""
]	X	]
CONTENTS	NOUN	content
CHAPTER	X	chapter
I	X	i
THE	DET	the
MAN	NOUN	man
AT	ADP	at
STEPHANO	PROPN	STEPHANO
'S	PROPN	'S
II	PROPN	II
THE	DET	the
COUP	NOUN	coup
IN	ADP	in
THE	DET	the
GAMBLING	NOUN	gambling
DEN	PROPN	DEN
III	PROPN	III
CULLEN	PROPN	CULLEN
GIVES	VERB	give
ADVICE	PROPN	ADVICE
IV	PROPN	IV
THE	DET	the
WOOING	NOUN	wooing
OF	ADP	of
EVE	PROPN	EVE
V	PROPN	V
MR	PROPN	MR
.	PROPN	.
SAMUELSON	PROPN	SAMUELSON
VI	PROPN	VI
THE	DET	the
PARTY	NOUN	party
AT	ADP	at
THE	DET	the
MILAN	PROPN	MILAN
VII	PROPN	VII
""""	PUNCT	""""
ONE	NUM	one
OF	ADP	of
US	PROPN	US
""""	X	""""
VIII	PROPN	VIII
AT	ADP	at
THE	DET	the
ALHAMBRA	PROPN	ALHAMBRA
IX	PROPN	IX
THE	DET	the
EXPOSURE	NOUN	exposure
X	PROPN	X
A	DET	a
BROKEN	PROPN	BROKEN
PARTNERSHIP	NOUN	partnership
XI	PROPN	XI
MR	PROPN	MR
.	PROPN	.
BUNDERCOMBE	PROPN	BUNDERCOMBE
'S	PART	's
WINK	PROPN	WINK
XII	PROPN	XII
THE	DET	the
EMANCIPATION	NOUN	emancipation
OF	ADP	of
LOUIS	PROPN	LOUIS
XIII	PROPN	XIII
""""	PUNCT	""""
THE	DET	the
SHORN	PROPN	SHORN
LAMB	PROPN	LAMB
""""	PUNCT	""""
XIV	PROPN	XIV
MR	PROPN	MR
.	PROPN	.
BUNDERCOMBE	PROPN	BUNDERCOMBE
'S	PROPN	'S
LOVE	PROPN	LOVE
AFFAIR	PROPN	AFFAIR
XV	PROPN	XV
LORD	PROPN	LORD
PORTHONING	PROPN	PORTHONING
'S	PART	's
LESSON	NOUN	lesson
LIST	NOUN	list
OF	ADP	of
ILLUSTRATIONS	NOUN	illustration
""""	PUNCT	""""
No	DET	no
one	NOUN	one
can	AUX	can
be	AUX	be
more	ADV	more
glad	ADJ	glad
than	ADP	than
Mrs.	PROPN	Mrs.
Delaporte	PROPN	Delaporte
and	CCONJ	and
myself	PRON	myself
that	SCONJ	that
this	DET	this
little	NOUN	little
affair	NOUN	affair
has	AUX	have
been	AUX	be
concluded	VERB	conclude
so	ADV	so
amicably	ADV	amicably
""""	PUNCT	""""
""""	PUNCT	""""
Ladies	NOUN	lady
and	CCONJ	and
gentlemen	NOUN	gentleman
,	PUNCT	,
if	SCONJ	if
you	PRON	you
please	VERB	please
!	PUNCT	!
Nothing	PRON	nothing
has	AUX	have
happened	VERB	happen
""""	PUNCT	""""
""""	PUNCT	""""
I	PRON	I
have	AUX	have
n't	PART	not
interrupted	VERB	interrupt
anything	PRON	anything
,	PUNCT	,
have	AUX	have
I	PRON	I
--	PUNCT	--
any	DET	any
little	ADJ	little
celebration	NOUN	celebration
,	PUNCT	,
or	CCONJ	or
anything	PRON	anything
of	ADP	of
that	DET	that
sort	NOUN	sort
?	PUNCT	?
""""	PUNCT	""""
""""	PUNCT	""""
Eve	PROPN	Eve
was	AUX	be
one	NUM	one
of	ADP	of
the	DET	the
first	ADJ	first
to	PART	to
congratulate	VERB	congratulate
me	PRON	I
""""	PUNCT	""""
AN	DET	an
AMIABLE	ADJ	amiable
CHARLATAN	PROPN	CHARLATAN
CHAPTER	NOUN	chapter
I	NOUN	i
--	PUNCT	--
THE	DET	the
MAN	NOUN	man
AT	ADP	at
STEPHANO	PROPN	STEPHANO
's	PART	's
The	DET	the
thing	NOUN	thing
happened	VERB	happen
so	ADV	so
suddenly	ADV	suddenly
that	SCONJ	that
I	PRON	I
really	ADV	really
had	AUX	have
very	ADV	very
little	ADJ	little
time	NOUN	time
to	PART	to
make	VERB	make
up	ADP	up
my	PRON	my
mind	NOUN	mind
what	PRON	what
course	NOUN	course
to	PART	to
adopt	VERB	adopt
under	ADP	under
somewhat	ADV	somewhat
singular	ADJ	singular
circumstances	NOUN	circumstance
.	PUNCT	.
I	PRON	I
was	AUX	be
seated	VERB	seat
at	ADP	at
my	PRON	my
favorite	ADJ	favorite
table	NOUN	table
against	ADP	against
the	DET	the
wall	NOUN	wall
on	ADP	on
the	DET	the
right	ADJ	right
-	PUNCT	-
hand	NOUN	hand
side	NOUN	side
in	ADP	in
Stephano	PROPN	Stephano
's	PART	's
restaurant	NOUN	restaurant
,	PUNCT	,
with	ADP	with
a	DET	a
newspaper	NOUN	newspaper
propped	VERB	prop
up	ADP	up
before	ADP	before
me	PRON	I
,	PUNCT	,
a	DET	a
glass	NOUN	glass
of	ADP	of
hock	NOUN	hock
by	ADP	by
my	PRON	my
side	NOUN	side
,	PUNCT	,
and	CCONJ	and
a	DET	a
portion	NOUN	portion
of	ADP	of
the	DET	the
_	PUNCT	_
plat	X	plat
du	X	du
jour	X	jour
_	PUNCT	_
,	PUNCT	,
which	DET	which
happened	VERB	happen
to	PART	to
be	AUX	be
chicken	VERB	chicken
_	PUNCT	_
en	ADP	en
casserole	NOUN	casserole
_	PUNCT	_
,	PUNCT	,
on	ADP	on
the	DET	the
plate	NOUN	plate
in	ADP	in
front	NOUN	front
of	ADP	of
me	PRON	I
.	PUNCT	.
I	PRON	I
was	AUX	be
,	PUNCT	,
in	ADP	in
fact	NOUN	fact
,	PUNCT	,
halfway	ADV	halfway
through	ADP	through
dinner	NOUN	dinner
when	SCONJ	when
,	PUNCT	,
without	ADP	without
a	DET	a
word	NOUN	word
of	ADP	of
warning	NOUN	warning
,	PUNCT	,
a	DET	a
man	NOUN	man
who	PRON	who
seemed	VERB	seem
to	PART	to
enter	VERB	enter
with	ADP	with
a	DET	a
lightfooted	ADJ	lightfooted
speed	NOUN	speed
that	PRON	that
,	PUNCT	,
considering	VERB	consider
his	PRON	his
size	NOUN	size
,	PUNCT	,
was	AUX	be
almost	ADV	almost
incredible	ADJ	incredible
,	PUNCT	,
drew	VERB	draw
a	DET	a
chair	NOUN	chair
toward	ADP	toward
him	PRON	he
and	CCONJ	and
took	VERB	take
the	DET	the
vacant	ADJ	vacant
place	NOUN	place
at	ADP	at
my	PRON	my
table	NOUN	table
.	PUNCT	.
My	PRON	my
glass	NOUN	glass
of	ADP	of
wine	NOUN	wine
and	CCONJ	and
my	PRON	my
plate	NOUN	plate
were	AUX	be
